HOME/AWAY,Opponent,勝敗,shon_得点,shon_失点,shon_ゴール期待値,Opponent_ゴール期待値,shon_シュート,Opponent_シュート,shon_枠内シュート,Opponent_枠内シュート,shon_PKによるシュート,Opponent_PKによるシュート,shon_パス,Opponent_パス,shon_クロス,Opponent_クロス,shon_直接ＦＫ,Opponent_直接ＦＫ,shon_間接ＦＫ,Opponent_間接ＦＫ,shon_ＣＫ,Opponent_ＣＫ,shon_スローイン,Opponent_スローイン,shon_ドリブル,Opponent_ドリブル,shon_タックル,Opponent_タックル,shon_クリア,Opponent_クリア,shon_インターセプト,Opponent_インターセプト,shon_オフサイド,Opponent_オフサイド,shon_警告,Opponent_警告,shon_退場,Opponent_退場,shon_３０ｍライン進入,Opponent_３０ｍライン進入,shon_ペナルティエリア進入,Opponent_ペナルティエリア進入,shon_総移動距離,Opponent_総移動距離,shon_スプリント,Opponent_スプリント,shon_攻撃回数,Opponent_攻撃回数,shon_チャンス構築率,Opponent_チャンス構築率,shon_ボール保持率,Opponent_ボール保持率,URL
H,鳥栖,L,0,1,1.196,1.735,9,10,1,4,0,1,400,475,18,10,13,9,3,2,2,7,31,25,9,10,25,24,12,29,3,0,2,2,1,2,0,0,47,37,10,9,"115,543m","117,355m",176,148,129,129,7.0%,7.8%,46%,54%,https://www.football-lab.jp/shon/report/?year=2021&month=02&date=27
A,柏,L,1,2,1.148,0.907,12,8,2,4,0,0,459,397,13,14,12,12,0,2,6,2,35,26,7,11,12,31,19,43,1,0,2,0,0,0,0,0,35,31,10,10,"117,575m","113,424m",177,163,145,127,8.3%,6.3%,50.3%,49.7%,https://www.football-lab.jp/shon/report/?year=2021&month=03&date=06
A,鹿島,L,1,3,1.013,2.224,6,20,3,7,0,0,378,636,7,22,8,8,1,1,1,10,24,29,6,12,27,13,19,14,1,2,0,1,1,1,0,0,21,57,3,22,"118,113m","120,753m",191,214,129,141,4.7%,14.2%,39.7%,60.3%,https://www.football-lab.jp/shon/report/?year=2021&month=03&date=10
H,仙台,W,3,1,0.84,1.29,11,16,6,10,0,0,361,581,19,13,12,12,1,2,4,5,19,20,7,14,28,18,21,30,0,2,2,1,1,2,0,0,35,37,11,19,"121,090m","117,598m",190,173,120,136,9.2%,11.8%,41.8%,58.2%,https://www.football-lab.jp/shon/report/?year=2021&month=03&date=13
A,FC東京,L,2,3,0.992,1.707,12,15,3,9,0,0,457,398,24,13,12,16,2,2,6,4,29,21,10,8,18,25,20,24,4,2,2,2,1,0,0,0,41,32,11,20,"116,708m","114,489m",190,217,121,114,9.9%,13.2%,53%,47%,https://www.football-lab.jp/shon/report/?year=2021&month=03&date=17
H,Ｃ大阪,D,0,0,1.622,0.66,15,13,3,1,0,0,439,409,22,19,5,12,2,1,8,8,19,25,15,8,18,21,35,21,3,1,1,2,1,0,0,0,39,45,15,8,"114,655m","113,468m",201,205,116,126,12.9%,10.3%,51.8%,48.2%,https://www.football-lab.jp/shon/report/?year=2021&month=03&date=21
A,横浜FM,D,1,1,1.255,1.773,11,14,2,4,0,0,310,704,12,24,17,13,1,1,6,9,19,29,6,9,22,17,26,19,4,1,1,1,0,1,0,0,25,66,11,23,"123,486m","123,300m",217,222,118,128,9.3%,10.9%,38.3%,61.7%,https://www.football-lab.jp/shon/report/?year=2021&month=04&date=03
H,名古屋,D,0,0,0.23,1.149,3,15,0,7,0,0,238,648,2,30,12,11,3,1,1,9,18,28,8,25,25,12,30,14,0,2,1,3,4,2,1,0,19,79,3,19,"114,874m","119,567m",153,153,104,116,2.9%,12.9%,38%,62%,https://www.football-lab.jp/shon/report/?year=2021&month=04&date=07
A,広島,W,1,0,0.422,0.81,5,13,1,1,0,0,302,703,2,16,9,12,2,4,2,7,24,31,7,12,34,24,35,13,3,0,4,2,1,0,0,0,24,58,5,9,"117,826m","113,644m",146,135,131,142,3.8%,9.2%,37.3%,62.7%,https://www.football-lab.jp/shon/report/?year=2021&month=04&date=10
H,神戸,D,0,0,1.7,0.446,13,11,3,2,0,0,376,566,10,16,11,13,1,3,3,4,27,30,6,15,19,21,27,25,0,3,3,1,1,3,0,0,23,36,10,11,"119,101m","119,943m",182,189,130,136,10.0%,8.1%,42.3%,57.7%,https://www.football-lab.jp/shon/report/?year=2021&month=04&date=17
A,清水,D,1,1,0.792,1.304,10,16,2,5,0,0,454,464,13,10,7,13,0,1,3,3,20,24,11,11,18,13,20,29,2,2,0,0,1,1,0,0,30,34,8,15,"118,584m","114,737m",147,159,110,115,9.1%,13.9%,49.9%,50.1%,https://www.football-lab.jp/shon/report/?year=2021&month=04&date=25
H,札幌,D,0,0,0.92,1.103,8,16,2,5,0,0,313,464,10,18,14,15,2,3,7,2,24,23,6,14,17,26,22,26,1,1,3,2,2,0,0,0,21,32,7,15,"107,915m","104,248m",166,151,131,123,6.1%,13.0%,42.4%,57.6%,https://www.football-lab.jp/shon/report/?year=2021&month=05&date=02
H,大分,W,2,0,0.936,0.601,11,4,4,2,0,0,356,627,13,16,10,7,1,1,5,2,38,29,18,8,20,25,13,21,1,2,1,1,0,1,0,0,33,32,12,8,"120,522m","117,564m",167,136,137,125,8.0%,3.2%,41.2%,58.8%,https://www.football-lab.jp/shon/report/?year=2021&month=05&date=09
A,横浜FC,L,0,2,1.249,0.648,14,11,5,4,0,0,437,293,21,7,18,14,1,3,8,2,31,25,12,12,19,24,12,40,0,0,3,1,1,0,0,0,36,22,11,2,"119,367m","117,469m",176,167,144,130,9.7%,8.5%,54.4%,45.6%,https://www.football-lab.jp/shon/report/?year=2021&month=05&date=15
A,福岡,L,1,2,1.248,2.565,10,10,3,4,0,1,419,392,16,10,8,12,0,2,3,7,26,19,7,6,17,20,16,27,1,1,2,0,1,1,0,0,29,27,9,4,"107,999m","104,371m",160,135,121,115,8.3%,8.7%,52%,48%,https://www.football-lab.jp/shon/report/?year=2021&month=05&date=22
H,川崎Ｆ,D,1,1,1.303,1.233,13,15,3,5,0,0,360,792,11,9,12,7,2,2,2,3,18,32,13,15,22,24,21,14,2,2,2,2,1,0,0,0,29,66,5,18,"123,760m","118,166m",230,200,116,121,11.2%,12.4%,36.3%,63.7%,https://www.football-lab.jp/shon/report/?year=2021&month=05&date=26
A,徳島,D,1,1,0.925,0.734,8,6,3,3,0,0,282,516,11,7,9,13,1,0,6,4,25,21,14,8,20,26,16,27,6,2,0,1,0,0,0,0,25,29,10,7,"111,505m","110,329m",220,174,122,117,6.6%,5.1%,36.9%,63.1%,https://www.football-lab.jp/shon/report/?year=2021&month=05&date=30
H,Ｇ大阪,D,0,0,1.505,0.383,13,6,3,1,0,0,472,421,16,10,8,13,0,0,6,4,30,23,7,5,11,19,20,28,0,1,0,0,0,1,0,0,47,19,14,7,"114,757m","112,890m",202,182,127,127,10.2%,4.7%,53.6%,46.4%,https://www.football-lab.jp/shon/report/?year=2021&month=06&date=02
A,浦和,W,3,0,0.652,2.139,5,19,3,8,0,0,362,625,13,18,6,13,3,0,2,9,20,13,11,16,22,19,28,18,5,1,0,3,0,0,0,0,23,51,7,12,"116,271m","111,559m",193,136,107,120,4.7%,15.8%,39.7%,60.3%,https://www.football-lab.jp/shon/report/?year=2021&month=06&date=20
H,柏,L,2,4,1.447,3.41,14,20,4,7,0,1,355,460,12,15,11,11,3,3,3,3,19,26,9,11,22,19,30,22,0,1,3,3,1,2,0,0,26,37,6,13,"114,331m","109,945m",182,154,119,124,11.8%,16.1%,46.1%,53.9%,https://www.football-lab.jp/shon/report/?year=2021&month=06&date=27
A,神戸,L,1,3,2.153,1.962,17,12,6,4,0,0,313,523,17,9,7,12,2,0,6,3,22,15,4,4,15,14,13,24,1,2,0,2,0,0,0,0,30,32,11,12,"105,384m","106,943m",132,125,104,106,16.3%,11.3%,41.5%,58.5%,https://www.football-lab.jp/shon/report/?year=2021&month=07&date=03
H,FC東京,L,0,1,0.291,0.716,8,9,3,2,0,0,308,459,5,14,10,20,1,1,3,5,32,21,5,13,28,24,16,20,1,2,1,1,0,1,1,0,21,33,8,15,"112,471m","109,181m",182,206,139,141,5.8%,6.4%,44.8%,55.2%,https://www.football-lab.jp/shon/report/?year=2021&month=07&date=11
H,鹿島,L,1,2,0.624,1,8,13,3,3,0,0,277,523,10,22,9,11,0,1,3,8,20,26,6,14,20,14,23,11,1,2,1,0,0,2,0,0,25,54,4,11,"109,034m","109,329m",196,194,119,128,6.7%,10.2%,38.5%,61.5%,https://www.football-lab.jp/shon/report/?year=2021&month=08&date=09
A,名古屋,L,0,1,0.832,1.357,12,11,2,5,0,0,518,461,16,11,12,16,3,1,1,5,21,13,19,7,11,21,17,18,4,2,1,3,2,1,0,0,44,27,8,11,"109,424m","108,253m",163,134,107,114,11.2%,9.6%,52.6%,47.4%,https://www.football-lab.jp/shon/report/?year=2021&month=08&date=15
H,清水,D,1,1,1.476,0.667,16,9,5,3,0,0,331,464,19,17,7,12,1,0,12,2,20,16,9,6,17,13,14,27,1,1,0,1,3,1,0,0,33,41,11,12,"107,347m","102,532m",144,140,104,96,15.4%,9.4%,43.2%,56.8%,https://www.football-lab.jp/shon/report/?year=2021&month=08&date=21
A,Ｃ大阪,W,5,1,1.397,1.989,9,20,5,5,0,1,275,620,5,27,8,10,1,0,2,10,12,18,8,17,20,12,31,10,2,0,0,1,1,0,0,0,22,53,6,15,"114,574m","108,781m",137,129,95,115,9.5%,17.4%,37.7%,62.3%,https://www.football-lab.jp/shon/report/?year=2021&month=08&date=25
H,浦和,D,0,0,1.107,0.642,13,9,1,0,0,0,384,435,16,14,9,9,1,0,7,7,18,22,11,17,14,25,21,20,4,2,0,1,1,0,0,0,42,31,11,18,"109,052m","102,654m",189,148,114,114,11.4%,7.9%,47%,53%,https://www.football-lab.jp/shon/report/?year=2021&month=08&date=29
A,大分,L,0,2,0.747,0.245,9,3,2,2,0,0,488,342,15,12,13,10,3,3,5,2,23,16,7,3,15,20,16,28,2,1,1,3,1,3,0,0,45,14,15,6,"112,524m","117,242m",149,173,109,96,8.3%,3.1%,57.6%,42.4%,https://www.football-lab.jp/shon/report/?year=2021&month=09&date=11
H,福岡,D,1,1,1.068,1.479,13,5,5,3,0,1,502,233,18,11,12,12,2,2,7,2,39,21,15,6,21,25,14,52,2,0,2,2,3,2,0,0,55,19,19,8,"107,195m","105,880m",131,139,132,116,9.8%,4.3%,61.2%,38.8%,https://www.football-lab.jp/shon/report/?year=2021&month=09&date=18
A,川崎Ｆ,L,1,2,0.995,1.918,12,21,4,5,0,0,425,741,16,16,8,14,0,0,3,2,20,20,13,16,27,15,28,18,1,1,0,0,1,2,0,0,35,63,16,20,"122,504m","118,175m",161,169,124,125,9.7%,16.8%,38.9%,61.1%,https://www.football-lab.jp/shon/report/?year=2021&month=09&date=26
H,横浜FM,L,0,1,0.655,0.919,9,5,3,1,0,0,371,669,13,15,10,18,1,4,5,4,28,32,7,6,20,15,19,22,2,1,4,1,0,1,0,0,31,37,13,4,"121,138m","120,855m",189,196,131,143,6.9%,3.5%,38.7%,61.3%,https://www.football-lab.jp/shon/report/?year=2021&month=10&date=01
A,鳥栖,D,1,1,0.484,1.333,6,10,3,3,0,0,355,620,2,14,12,11,2,1,0,7,17,32,4,12,15,11,27,9,1,1,1,2,0,0,0,0,22,34,4,9,"124,040m","126,205m",203,205,120,131,5.0%,7.6%,41.3%,58.7%,https://www.football-lab.jp/shon/report/?year=2021&month=10&date=16
H,横浜FC,W,2,1,1.483,0.327,9,8,4,3,0,0,420,269,22,9,13,10,2,2,6,1,32,40,13,12,27,27,18,26,1,2,2,1,1,1,0,0,39,27,10,7,"112,579m","107,406m",200,144,132,121,6.8%,6.6%,57.5%,42.5%,https://www.football-lab.jp/shon/report/?year=2021&month=10&date=23
A,札幌,D,1,1,2.385,1.201,15,14,1,4,0,0,397,556,13,14,9,6,2,1,6,2,18,25,11,12,18,18,20,14,2,0,1,2,2,2,0,0,37,43,11,11,"122,434m","115,176m",212,206,131,122,11.5%,11.5%,44.3%,55.7%,https://www.football-lab.jp/shon/report/?year=2021&month=11&date=03
H,広島,D,0,0,3.195,0.065,26,2,4,0,0,0,682,188,28,4,5,10,2,2,5,2,22,8,16,9,14,18,5,34,0,2,2,2,0,2,0,1,103,5,21,0,"115,289m","105,004m",173,104,110,104,23.6%,1.9%,70%,30%,https://www.football-lab.jp/shon/report/?year=2021&month=11&date=07
A,仙台,W,2,0,1.165,1.598,12,11,3,2,0,0,390,541,10,19,7,15,4,1,4,3,16,27,6,18,20,21,23,15,2,2,0,4,1,1,0,0,42,40,9,9,"118,810m","116,710m",188,192,118,119,10.2%,9.2%,41.9%,58.1%,https://www.football-lab.jp/shon/report/?year=2021&month=11&date=20
H,徳島,L,0,1,0.541,1.122,7,7,1,2,0,0,382,522,15,13,8,11,1,1,4,2,29,27,7,18,28,19,16,24,3,0,1,1,0,1,0,0,31,21,3,5,"116,413m","114,729m",182,168,129,120,5.4%,5.8%,39.4%,60.6%,https://www.football-lab.jp/shon/report/?year=2021&month=11&date=27
A,Ｇ大阪,D,0,0,1.538,0.498,19,5,6,1,0,0,489,374,25,5,8,9,2,3,9,3,31,22,15,8,15,27,10,37,6,0,3,2,1,0,0,0,62,20,14,6,"109,592m","105,264m",178,167,133,122,14.3%,4.1%,57.4%,42.6%,https://www.football-lab.jp/shon/report/?year=2021&month=12&date=04
