HOME/AWAY,Opponent,勝敗,toku_得点,toku_失点,Opponent_ゴール期待値,toku_ゴール期待値,Opponent_シュート,toku_シュート,Opponent_枠内シュート,toku_枠内シュート,Opponent_PKによるシュート,toku_PKによるシュート,Opponent_パス,toku_パス,Opponent_クロス,toku_クロス,Opponent_直接ＦＫ,toku_直接ＦＫ,Opponent_間接ＦＫ,toku_間接ＦＫ,Opponent_ＣＫ,toku_ＣＫ,Opponent_スローイン,toku_スローイン,Opponent_ドリブル,toku_ドリブル,Opponent_タックル,toku_タックル,Opponent_クリア,toku_クリア,Opponent_インターセプト,toku_インターセプト,Opponent_オフサイド,toku_オフサイド,Opponent_警告,toku_警告,Opponent_退場,toku_退場,Opponent_３０ｍライン進入,toku_３０ｍライン進入,Opponent_ペナルティエリア進入,toku_ペナルティエリア進入,Opponent_総移動距離,toku_総移動距離,Opponent_スプリント,toku_スプリント,Opponent_攻撃回数,toku_攻撃回数,Opponent_チャンス構築率,toku_チャンス構築率,Opponent_ボール保持率,toku_ボール保持率,URL
A,大分,D,1,1,0.924,1.094,10,13,2,2,0,0,384,620,13,21,5,10,0,0,4,4,21,17,7,13,19,13,33,16,4,1,0,0,0,0,0,0,21,58,6,13,"125,513m","121,497m",166,165,106,103,9.4%,12.6%,37.4%,62.6%,https://www.football-lab.jp/toku/report/?year=2021&month=02&date=27
H,神戸,D,1,1,1.711,0.722,12,11,2,3,0,0,615,366,13,13,8,12,1,1,5,1,21,27,17,18,23,22,12,16,2,2,1,0,2,1,0,0,35,32,7,10,"115,570m","120,078m",214,148,123,118,9.8%,9.3%,59.8%,40.2%,https://www.football-lab.jp/toku/report/?year=2021&month=03&date=06
A,川崎Ｆ,L,0,2,1.697,0.08,18,2,6,0,0,0,622,546,10,4,10,9,1,1,4,4,15,13,7,10,17,16,13,12,3,2,1,1,0,0,0,0,57,30,13,5,"116,282m","119,533m",172,152,111,108,16.2%,1.9%,49.2%,50.8%,https://www.football-lab.jp/toku/report/?year=2021&month=03&date=10
H,福岡,L,1,2,1.613,0.98,9,11,2,5,1,0,353,520,11,9,10,12,3,0,2,6,18,28,5,13,24,8,26,14,0,1,0,3,1,1,0,0,30,35,8,8,"112,202m","113,020m",163,144,100,111,9.0%,9.9%,38.8%,61.2%,https://www.football-lab.jp/toku/report/?year=2021&month=03&date=13
A,横浜FM,L,0,1,1.194,0.915,9,12,2,1,0,0,538,401,14,14,6,11,4,0,4,3,27,29,8,9,33,28,18,21,3,2,0,4,3,0,0,0,44,31,12,9,"127,516m","127,614m",251,234,144,136,6.3%,8.8%,53.7%,46.3%,https://www.football-lab.jp/toku/report/?year=2021&month=03&date=17
H,横浜FC,W,2,1,1.182,1.211,10,13,3,4,0,0,529,430,14,13,11,8,3,0,4,4,16,20,2,11,17,14,21,24,1,0,0,3,4,1,0,0,36,32,5,13,"118,398m","121,443m",187,167,105,104,9.5%,12.5%,53.3%,46.7%,https://www.football-lab.jp/toku/report/?year=2021&month=03&date=21
A,清水,W,3,0,0.856,1.728,14,12,3,6,0,1,472,423,20,6,10,13,1,0,6,5,18,15,13,12,14,18,10,27,0,4,0,1,0,0,0,0,37,33,10,6,"116,530m","119,529m",165,190,105,105,13.3%,11.4%,49.8%,50.2%,https://www.football-lab.jp/toku/report/?year=2021&month=04&date=04
H,仙台,W,1,0,1.054,1.448,14,9,3,3,0,0,377,466,19,7,10,12,2,1,3,6,30,19,12,7,15,20,11,28,7,3,1,2,1,2,0,0,30,34,13,3,"115,211m","112,189m",145,173,119,118,11.8%,7.6%,39.8%,60.2%,https://www.football-lab.jp/toku/report/?year=2021&month=04&date=07
A,浦和,L,0,1,0.559,1.057,7,12,2,4,0,0,483,545,8,9,8,9,0,2,2,2,21,22,6,10,27,26,17,6,2,1,2,0,2,0,0,0,26,36,7,8,"113,620m","117,537m",162,160,103,104,6.8%,11.5%,47%,53%,https://www.football-lab.jp/toku/report/?year=2021&month=04&date=11
A,Ｃ大阪,W,2,1,1.377,1.752,12,17,2,5,0,0,403,514,12,12,13,11,0,0,4,7,20,23,3,13,12,24,17,30,0,3,0,0,0,0,0,0,21,45,9,12,"124,492m","122,806m",164,174,125,130,9.6%,13.1%,45.2%,54.8%,https://www.football-lab.jp/toku/report/?year=2021&month=04&date=14
