HOME/AWAY,Opponent,勝敗,uraw_得点,uraw_失点,uraw_ゴール期待値,Opponent_ゴール期待値,uraw_シュート,Opponent_シュート,uraw_枠内シュート,Opponent_枠内シュート,uraw_PKによるシュート,Opponent_PKによるシュート,uraw_パス,Opponent_パス,uraw_クロス,Opponent_クロス,uraw_直接ＦＫ,Opponent_直接ＦＫ,uraw_間接ＦＫ,Opponent_間接ＦＫ,uraw_ＣＫ,Opponent_ＣＫ,uraw_スローイン,Opponent_スローイン,uraw_ドリブル,Opponent_ドリブル,uraw_タックル,Opponent_タックル,uraw_クリア,Opponent_クリア,uraw_インターセプト,Opponent_インターセプト,uraw_オフサイド,Opponent_オフサイド,uraw_警告,Opponent_警告,uraw_退場,Opponent_退場,uraw_３０ｍライン進入,Opponent_３０ｍライン進入,uraw_ペナルティエリア進入,Opponent_ペナルティエリア進入,uraw_総移動距離,Opponent_総移動距離,uraw_スプリント,Opponent_スプリント,uraw_攻撃回数,Opponent_攻撃回数,uraw_チャンス構築率,Opponent_チャンス構築率,uraw_ボール保持率,Opponent_ボール保持率,URL
H,FC東京,D,1,1,1.404,0.283,11,5,5,1,0,0,531,332,20,10,15,13,0,1,9,1,25,23,14,7,22,25,22,19,3,0,1,0,0,0,0,0,54,28,13,5,"114,029m","111,206m",196,216,128,120,8.6%,4.2%,58.7%,41.3%,https://www.football-lab.jp/uraw/report/?year=2021&month=02&date=27
A,鳥栖,L,0,2,0.881,1.707,11,14,1,4,0,0,463,470,12,7,11,8,1,1,4,5,14,13,5,11,21,23,13,25,0,4,1,1,0,2,0,0,25,39,7,10,"119,007m","124,957m",195,214,108,106,10.2%,13.2%,47.9%,52.1%,https://www.football-lab.jp/uraw/report/?year=2021&month=03&date=06
H,横浜FC,W,2,0,2.584,1.644,9,14,4,4,2,0,556,508,9,14,5,14,1,4,3,5,18,15,11,14,20,23,33,11,0,3,4,1,1,1,0,0,24,48,9,9,"120,207m","117,611m",207,181,100,102,9.0%,13.7%,51.9%,48.1%,https://www.football-lab.jp/uraw/report/?year=2021&month=03&date=10
A,横浜FM,L,0,3,0.855,2.573,8,21,2,8,0,0,635,624,13,11,9,12,1,0,2,5,24,13,10,8,23,19,14,18,1,2,0,1,1,0,0,0,28,53,8,13,"120,389m","125,429m",195,225,125,117,6.4%,17.9%,53.7%,46.3%,https://www.football-lab.jp/uraw/report/?year=2021&month=03&date=14
H,札幌,D,0,0,1.267,1.628,11,20,4,4,0,0,359,637,9,28,10,7,2,0,1,10,6,13,7,19,19,19,44,14,0,2,0,2,0,0,0,0,33,60,6,21,"118,877m","116,068m",189,148,105,118,10.5%,16.9%,41.5%,58.5%,https://www.football-lab.jp/uraw/report/?year=2021&month=03&date=17
H,川崎Ｆ,L,0,5,0.48,1.853,6,15,1,8,0,0,604,525,7,16,6,10,0,0,7,5,28,14,8,12,19,24,16,19,1,4,0,0,0,0,0,0,32,48,5,14,"111,012m","110,484m",133,143,117,108,5.1%,13.9%,55.7%,44.3%,https://www.football-lab.jp/uraw/report/?year=2021&month=03&date=21
H,鹿島,W,2,1,1.545,1.13,8,13,5,4,1,0,465,334,14,7,8,8,0,2,8,7,26,19,12,6,21,20,17,28,0,0,2,0,1,3,0,0,40,21,12,6,"109,737m","110,483m",191,187,125,107,6.4%,12.1%,54.4%,45.6%,https://www.football-lab.jp/uraw/report/?year=2021&month=04&date=03
A,清水,W,2,0,0.895,0.277,10,8,2,2,0,0,624,522,15,13,7,7,0,2,5,3,27,20,10,7,20,10,19,15,2,4,2,0,0,1,0,0,43,32,12,2,"119,078m","121,680m",158,146,107,100,9.3%,8.0%,54.7%,45.3%,https://www.football-lab.jp/uraw/report/?year=2021&month=04&date=07
H,徳島,W,1,0,0.559,1.057,7,12,2,4,0,0,483,545,8,9,8,9,0,2,2,2,21,22,6,10,27,26,17,6,2,1,2,0,2,0,0,0,26,36,7,8,"113,620m","117,537m",162,160,103,104,6.8%,11.5%,47%,53%,https://www.football-lab.jp/uraw/report/?year=2021&month=04&date=11
A,Ｃ大阪,L,0,1,1.177,1.201,14,13,3,5,0,0,734,383,13,9,9,13,0,1,3,2,15,14,6,8,16,14,6,15,0,1,1,0,3,0,0,0,77,24,15,7,"116,644m","119,726m",148,167,103,111,13.6%,11.7%,62.1%,37.9%,https://www.football-lab.jp/uraw/report/?year=2021&month=04&date=18
H,大分,W,3,2,1.385,1.923,9,16,4,6,0,0,771,426,19,14,12,4,0,0,4,6,29,12,12,4,15,23,18,22,3,4,0,0,0,1,0,0,45,41,16,11,"121,077m","127,764m",141,173,113,108,8.0%,14.8%,63.5%,36.5%,https://www.football-lab.jp/uraw/report/?year=2021&month=04&date=25
A,福岡,L,0,2,0.773,0.892,9,13,5,4,0,0,781,237,22,11,15,12,0,0,8,2,16,8,8,11,17,21,13,36,1,2,0,0,1,1,0,0,61,24,17,7,"114,783m","115,801m",159,171,104,94,8.7%,13.8%,68.5%,31.5%,https://www.football-lab.jp/uraw/report/?year=2021&month=05&date=01
H,仙台,W,2,0,0.985,0.695,8,10,3,5,0,0,638,425,14,14,13,9,0,1,3,6,29,11,6,12,18,20,13,19,2,2,1,0,0,1,0,0,40,40,13,7,"112,097m","115,236m",150,132,110,106,7.3%,9.4%,61.7%,38.3%,https://www.football-lab.jp/uraw/report/?year=2021&month=05&date=09
A,Ｇ大阪,W,3,0,1.843,1.019,11,14,7,2,0,0,498,696,10,20,10,9,1,2,1,6,13,21,7,12,23,9,23,7,2,2,2,1,1,0,0,0,27,62,8,7,"117,226m","118,419m",163,169,106,111,10.4%,12.6%,43.4%,56.6%,https://www.football-lab.jp/uraw/report/?year=2021&month=05&date=16
H,神戸,W,2,0,0.859,1.915,10,17,4,2,0,0,442,602,10,15,8,7,2,1,7,4,13,17,8,16,22,10,25,13,1,3,1,2,0,0,0,0,32,50,9,14,"112,682m","110,826m",158,159,103,107,9.7%,15.9%,44.5%,55.5%,https://www.football-lab.jp/uraw/report/?year=2021&month=05&date=22
A,広島,D,2,2,1.769,1.194,6,15,3,4,1,0,559,488,8,19,13,8,2,1,3,3,16,24,1,15,18,11,19,15,2,2,1,2,1,0,0,0,20,44,6,18,"118,406m","115,535m",174,202,107,108,5.6%,13.9%,55.5%,44.5%,https://www.football-lab.jp/uraw/report/?year=2021&month=05&date=26
H,名古屋,D,0,0,0.428,1.069,5,12,0,2,0,0,529,573,4,14,11,11,0,3,1,3,16,21,8,9,13,18,11,13,4,3,3,0,0,0,0,0,24,40,6,9,"115,118m","116,472m",142,168,108,116,4.6%,10.3%,51.6%,48.4%,https://www.football-lab.jp/uraw/report/?year=2021&month=05&date=30
H,湘南,L,0,3,2.139,0.652,19,5,8,3,0,0,625,362,18,13,13,6,0,3,9,2,13,20,16,11,19,22,18,28,1,5,3,0,0,0,0,0,51,23,12,7,"111,559m","116,271m",136,193,120,107,15.8%,4.7%,60.3%,39.7%,https://www.football-lab.jp/uraw/report/?year=2021&month=06&date=20
A,柏,W,2,0,1.356,1.334,11,11,3,2,0,0,598,365,12,15,10,10,1,2,8,1,26,22,10,6,16,21,16,23,1,5,2,1,1,0,0,0,37,25,13,5,"113,443m","114,132m",191,162,129,118,8.5%,9.3%,61.1%,38.9%,https://www.football-lab.jp/uraw/report/?year=2021&month=06&date=23
