HOME/AWAY,Opponent,勝敗,c-os_得点,c-os_失点,Opponent_ゴール期待値,c-os_ゴール期待値,Opponent_シュート,c-os_シュート,Opponent_枠内シュート,c-os_枠内シュート,Opponent_PKによるシュート,c-os_PKによるシュート,Opponent_パス,c-os_パス,Opponent_クロス,c-os_クロス,Opponent_直接ＦＫ,c-os_直接ＦＫ,Opponent_間接ＦＫ,c-os_間接ＦＫ,Opponent_ＣＫ,c-os_ＣＫ,Opponent_スローイン,c-os_スローイン,Opponent_ドリブル,c-os_ドリブル,Opponent_タックル,c-os_タックル,Opponent_クリア,c-os_クリア,Opponent_インターセプト,c-os_インターセプト,Opponent_オフサイド,c-os_オフサイド,Opponent_警告,c-os_警告,Opponent_退場,c-os_退場,Opponent_３０ｍライン進入,c-os_３０ｍライン進入,Opponent_ペナルティエリア進入,c-os_ペナルティエリア進入,Opponent_総移動距離,c-os_総移動距離,Opponent_スプリント,c-os_スプリント,Opponent_攻撃回数,c-os_攻撃回数,Opponent_チャンス構築率,c-os_チャンス構築率,Opponent_ボール保持率,c-os_ボール保持率,URL
A,横浜FM,D,2,2,3.204,0.892,26,11,9,2,1,0,748,301,22,8,14,10,4,0,6,6,23,18,14,9,27,30,17,25,4,3,1,4,0,3,0,0,71,24,31,5,"121,754m","120,379m",200,196,126,119,20.6%,9.2%,64.8%,35.2%,https://www.football-lab.jp/c-os/report/?year=2022&month=02&date=19
H,京都,D,1,1,1.185,1.975,9,17,4,9,0,0,398,511,16,17,11,11,4,0,3,5,22,32,14,13,25,17,28,13,4,1,0,4,1,2,0,0,31,47,10,22,"118,031m","115,527m",241,214,138,152,6.5%,11.2%,45.6%,54.4%,https://www.football-lab.jp/c-os/report/?year=2022&month=02&date=26
H,FC東京,L,0,1,1.44,1.227,9,14,4,3,0,0,383,467,11,29,10,16,2,2,5,8,18,26,14,7,19,14,36,13,3,0,1,2,3,0,1,0,31,42,10,13,"114,398m","119,619m",182,222,127,144,7.1%,9.7%,46.9%,53.1%,https://www.football-lab.jp/c-os/report/?year=2022&month=03&date=06
A,清水,W,3,1,0.95,0.986,12,10,6,2,0,0,480,457,6,11,8,14,2,2,3,3,21,27,14,5,16,19,19,11,2,3,2,2,1,1,0,0,32,47,12,9,"117,002m","117,515m",202,151,119,122,10.1%,8.2%,50%,50%,https://www.football-lab.jp/c-os/report/?year=2022&month=03&date=12
H,札幌,D,2,2,2.48,0.993,16,9,7,3,0,0,460,354,20,6,9,15,4,3,7,2,26,27,19,5,32,23,13,17,4,1,3,4,0,0,0,0,41,17,11,6,"112,392m","112,973m",196,192,132,133,12.1%,6.8%,55%,45%,https://www.football-lab.jp/c-os/report/?year=2022&month=03&date=19
A,川崎Ｆ,W,4,1,1.176,2.376,17,21,3,8,0,0,769,312,18,16,4,6,1,1,6,4,32,31,10,4,30,21,19,23,0,4,1,1,0,0,0,0,65,36,24,13,"116,172m","120,653m",190,204,143,141,11.9%,14.9%,64.5%,35.5%,https://www.football-lab.jp/c-os/report/?year=2022&month=04&date=02
H,柏,L,0,1,1.712,0.809,11,10,4,1,0,0,452,535,10,14,13,12,4,0,1,8,9,33,10,7,13,13,36,10,2,0,0,4,1,3,0,0,30,37,7,11,"120,307m","120,076m",225,238,111,135,9.9%,7.4%,47.9%,52.1%,https://www.football-lab.jp/c-os/report/?year=2022&month=04&date=05
A,神戸,W,1,0,1.029,1.272,14,13,3,3,0,0,697,407,18,17,7,3,1,0,6,1,30,26,13,12,19,21,22,35,6,4,0,1,0,0,0,0,60,32,15,12,"120,498m","119,488m",164,191,136,119,10.3%,10.9%,60.3%,39.7%,https://www.football-lab.jp/c-os/report/?year=2022&month=04&date=10
A,福岡,D,0,0,1.442,1.243,11,17,2,4,0,0,330,442,17,22,9,14,4,1,2,4,15,21,11,9,18,17,30,10,0,3,1,3,1,1,0,0,40,40,10,15,"113,898m","112,628m",226,196,114,122,9.6%,13.9%,44.9%,55.1%,https://www.football-lab.jp/c-os/report/?year=2022&month=04&date=17
H,鹿島,L,0,3,1.134,1.396,10,16,6,4,0,0,325,510,14,25,9,13,2,1,0,8,21,38,10,9,23,23,43,12,0,1,1,1,1,1,0,0,31,38,11,15,"120,980m","118,803m",232,237,135,165,7.4%,9.7%,44.7%,55.3%,https://www.football-lab.jp/c-os/report/?year=2022&month=04&date=29
A,鳥栖,D,1,1,0.758,1.596,14,12,5,6,0,1,565,354,22,12,7,10,1,2,11,3,25,22,26,9,22,20,18,36,3,0,2,1,1,1,0,0,49,26,20,11,"122,894m","117,270m",248,204,123,116,11.4%,10.3%,56.4%,43.6%,https://www.football-lab.jp/c-os/report/?year=2022&month=05&date=03
