HOME/AWAY,Opponent,勝敗,g-os_得点,g-os_失点,g-os_ゴール期待値,Opponent_ゴール期待値,g-os_シュート,Opponent_シュート,g-os_枠内シュート,Opponent_枠内シュート,g-os_PKによるシュート,Opponent_PKによるシュート,g-os_パス,Opponent_パス,g-os_クロス,Opponent_クロス,g-os_直接ＦＫ,Opponent_直接ＦＫ,g-os_間接ＦＫ,Opponent_間接ＦＫ,g-os_ＣＫ,Opponent_ＣＫ,g-os_スローイン,Opponent_スローイン,g-os_ドリブル,Opponent_ドリブル,g-os_タックル,Opponent_タックル,g-os_クリア,Opponent_クリア,g-os_インターセプト,Opponent_インターセプト,g-os_オフサイド,Opponent_オフサイド,g-os_警告,Opponent_警告,g-os_退場,Opponent_退場,g-os_３０ｍライン進入,Opponent_３０ｍライン進入,g-os_ペナルティエリア進入,Opponent_ペナルティエリア進入,g-os_総移動距離,Opponent_総移動距離,g-os_スプリント,Opponent_スプリント,g-os_攻撃回数,Opponent_攻撃回数,g-os_チャンス構築率,Opponent_チャンス構築率,g-os_ボール保持率,Opponent_ボール保持率,URL
H,鹿島,L,1,3,0.656,3.054,9,34,3,13,0,0,348,584,8,22,7,9,2,1,5,10,19,24,12,13,16,18,34,21,2,0,1,2,0,0,1,0,28,62,4,23,"111,503m","120,342m",166,200,123,129,7.3%,26.4%,44.7%,55.3%,https://www.football-lab.jp/g-os/report/?year=2022&month=02&date=19
A,浦和,W,1,0,0.966,1.463,9,13,3,3,0,0,313,685,14,18,18,16,0,0,2,4,18,14,9,3,20,10,21,15,2,1,0,0,0,3,0,1,25,48,6,7,"118,800m","113,638m",163,186,122,125,7.4%,10.4%,33.6%,66.4%,https://www.football-lab.jp/g-os/report/?year=2022&month=02&date=26
H,川崎Ｆ,D,2,2,0.529,1.303,6,17,3,5,0,0,361,730,14,15,16,11,0,0,0,5,15,30,12,15,29,22,38,12,4,4,0,0,1,1,0,0,27,73,8,24,"118,900m","112,417m",144,123,121,132,5.0%,12.9%,39.6%,60.4%,https://www.football-lab.jp/g-os/report/?year=2022&month=03&date=06
A,磐田,D,1,1,1.639,0.499,13,8,3,3,0,0,629,497,24,8,9,12,3,3,7,1,28,13,11,3,11,20,11,30,3,1,3,3,1,2,0,0,50,31,17,11,"118,592m","114,239m",156,149,122,111,10.7%,7.2%,54.7%,45.3%,https://www.football-lab.jp/g-os/report/?year=2022&month=03&date=12
H,福岡,L,2,3,1.162,1.371,11,12,2,4,0,0,569,348,15,24,16,16,1,4,4,3,27,18,4,9,13,11,19,34,0,0,4,1,3,2,0,0,34,37,11,16,"112,823m","113,423m",139,194,118,110,9.3%,10.9%,58.7%,41.3%,https://www.football-lab.jp/g-os/report/?year=2022&month=03&date=19
H,名古屋,W,3,1,1.392,1.726,15,18,7,7,0,0,389,521,7,24,10,14,1,1,4,10,15,24,9,13,19,17,26,14,2,1,1,1,0,0,0,0,17,53,7,16,"117,526m","116,513m",171,161,119,131,12.6%,13.7%,44.4%,55.6%,https://www.football-lab.jp/g-os/report/?year=2022&month=04&date=02
A,京都,D,1,1,1.006,1.684,11,17,5,4,0,0,359,372,9,22,14,14,3,1,4,5,19,25,8,15,23,10,21,26,2,2,1,3,0,0,0,0,27,34,10,14,"109,410m","114,314m",160,200,124,124,8.9%,13.7%,48.4%,51.6%,https://www.football-lab.jp/g-os/report/?year=2022&month=04&date=06
A,清水,D,1,1,1.32,1.623,17,19,6,4,0,0,478,475,16,20,14,9,1,1,1,5,26,16,8,13,19,10,17,16,0,0,1,1,0,0,0,0,40,38,14,17,"115,593m","117,384m",156,179,115,109,14.8%,17.4%,48.1%,51.9%,https://www.football-lab.jp/g-os/report/?year=2022&month=04&date=10
H,湘南,L,0,1,0.699,0.78,9,11,2,4,0,0,502,465,11,18,12,11,1,3,2,6,21,22,4,12,17,11,21,18,0,0,3,1,0,1,0,0,44,39,11,14,"118,255m","119,095m",144,157,116,116,7.8%,9.5%,52.9%,47.1%,https://www.football-lab.jp/g-os/report/?year=2022&month=04&date=17
A,FC東京,L,0,2,0.896,1.111,12,10,1,3,0,0,407,421,22,10,13,13,1,3,7,4,27,35,7,11,19,16,20,23,4,2,3,1,0,2,0,0,30,28,12,13,"117,126m","113,747m",201,207,126,125,9.5%,8.0%,49.5%,50.5%,https://www.football-lab.jp/g-os/report/?year=2022&month=04&date=29
