HOME/AWAY,Opponent,勝敗,hiro_得点,hiro_失点,hiro_ゴール期待値,Opponent_ゴール期待値,hiro_シュート,Opponent_シュート,hiro_枠内シュート,Opponent_枠内シュート,hiro_PKによるシュート,Opponent_PKによるシュート,hiro_パス,Opponent_パス,hiro_クロス,Opponent_クロス,hiro_直接ＦＫ,Opponent_直接ＦＫ,hiro_間接ＦＫ,Opponent_間接ＦＫ,hiro_ＣＫ,Opponent_ＣＫ,hiro_スローイン,Opponent_スローイン,hiro_ドリブル,Opponent_ドリブル,hiro_タックル,Opponent_タックル,hiro_クリア,Opponent_クリア,hiro_インターセプト,Opponent_インターセプト,hiro_オフサイド,Opponent_オフサイド,hiro_警告,Opponent_警告,hiro_退場,Opponent_退場,hiro_３０ｍライン進入,Opponent_３０ｍライン進入,hiro_ペナルティエリア進入,Opponent_ペナルティエリア進入,hiro_総移動距離,Opponent_総移動距離,hiro_スプリント,Opponent_スプリント,hiro_攻撃回数,Opponent_攻撃回数,hiro_チャンス構築率,Opponent_チャンス構築率,hiro_ボール保持率,Opponent_ボール保持率,URL
H,鳥栖,D,0,0,0.545,0.664,7,8,0,3,0,0,433,659,7,19,11,7,0,3,1,10,32,27,7,6,24,21,27,9,0,3,3,0,0,0,0,0,28,58,5,13,"118,300m","125,268m",210,230,125,126,5.6%,6.3%,43%,57%,https://www.football-lab.jp/hiro/report/?year=2022&month=02&date=19
A,札幌,D,1,1,1.345,1.165,17,19,1,4,0,0,417,500,15,8,12,11,3,0,2,3,22,22,11,18,34,26,26,23,2,3,0,3,2,1,0,0,43,41,16,21,"117,803m","114,065m",221,228,129,141,13.2%,13.5%,45.6%,54.4%,https://www.football-lab.jp/hiro/report/?year=2022&month=02&date=26
H,神戸,D,1,1,0.73,1.485,10,10,5,5,0,0,516,444,24,10,13,8,1,2,6,10,30,19,25,10,21,31,22,36,2,4,2,1,0,0,0,0,60,27,12,6,"114,692m","117,813m",206,180,139,138,7.2%,7.2%,51.8%,48.2%,https://www.football-lab.jp/hiro/report/?year=2022&month=03&date=06
A,FC東京,L,1,2,0.649,1.168,14,11,5,3,0,0,444,384,21,6,7,16,2,5,6,5,28,31,14,7,22,17,16,24,2,1,5,2,1,1,0,0,51,22,11,8,"114,381m","112,897m",215,173,119,132,11.8%,8.3%,50.1%,49.9%,https://www.football-lab.jp/hiro/report/?year=2022&month=03&date=12
H,川崎Ｆ,L,0,2,1.156,1.113,14,8,3,3,0,0,512,548,20,6,10,13,2,2,4,6,33,26,21,10,23,32,17,30,1,3,2,2,0,1,0,0,59,35,8,10,"118,105m","118,281m",236,194,133,130,10.5%,6.2%,48.6%,51.4%,https://www.football-lab.jp/hiro/report/?year=2022&month=03&date=19
A,湘南,W,1,0,0.872,0.778,15,9,7,1,0,0,536,447,10,9,15,12,0,2,1,3,28,17,12,6,28,27,18,6,4,1,2,0,0,0,0,0,46,33,8,8,"110,105m","117,507m",207,213,140,132,10.7%,6.8%,56%,44%,https://www.football-lab.jp/hiro/report/?year=2022&month=04&date=02
H,横浜FM,W,2,0,2.158,0.154,20,4,4,0,0,0,401,692,23,9,11,14,2,4,4,6,31,24,16,11,16,16,19,22,4,1,4,2,2,1,0,0,42,34,16,4,"120,743m","119,650m",226,176,131,135,15.3%,3.0%,39.6%,60.4%,https://www.football-lab.jp/hiro/report/?year=2022&month=04&date=06
H,福岡,W,1,0,1.902,0.331,12,3,4,1,1,0,524,292,16,10,15,14,2,2,9,2,28,22,15,10,15,20,17,23,2,1,2,2,2,0,0,0,39,30,17,3,"104,536m","105,073m",172,191,123,116,9.8%,2.6%,60.4%,39.6%,https://www.football-lab.jp/hiro/report/?year=2022&month=04&date=10
A,磐田,D,2,2,1.885,1.221,21,7,9,2,0,0,640,425,19,11,11,11,2,2,5,3,27,17,24,5,24,24,15,33,0,1,2,2,1,2,0,0,55,22,21,13,"117,147m","119,975m",186,156,126,121,16.7%,5.8%,57.7%,42.3%,https://www.football-lab.jp/hiro/report/?year=2022&month=04&date=17
A,清水,D,2,2,2.917,1.55,23,14,6,5,0,0,667,414,27,10,10,7,1,2,7,2,36,17,16,9,20,21,11,27,3,4,2,1,0,2,0,0,61,38,22,5,"120,371m","125,891m",222,215,150,125,15.3%,11.2%,57.1%,42.9%,https://www.football-lab.jp/hiro/report/?year=2022&month=04&date=29
