HOME/AWAY,Opponent,勝敗,iwat_得点,iwat_失点,Opponent_ゴール期待値,iwat_ゴール期待値,Opponent_シュート,iwat_シュート,Opponent_枠内シュート,iwat_枠内シュート,Opponent_PKによるシュート,iwat_PKによるシュート,Opponent_パス,iwat_パス,Opponent_クロス,iwat_クロス,Opponent_直接ＦＫ,iwat_直接ＦＫ,Opponent_間接ＦＫ,iwat_間接ＦＫ,Opponent_ＣＫ,iwat_ＣＫ,Opponent_スローイン,iwat_スローイン,Opponent_ドリブル,iwat_ドリブル,Opponent_タックル,iwat_タックル,Opponent_クリア,iwat_クリア,Opponent_インターセプト,iwat_インターセプト,Opponent_オフサイド,iwat_オフサイド,Opponent_警告,iwat_警告,Opponent_退場,iwat_退場,Opponent_３０ｍライン進入,iwat_３０ｍライン進入,Opponent_ペナルティエリア進入,iwat_ペナルティエリア進入,Opponent_総移動距離,iwat_総移動距離,Opponent_スプリント,iwat_スプリント,Opponent_攻撃回数,iwat_攻撃回数,Opponent_チャンス構築率,iwat_チャンス構築率,Opponent_ボール保持率,iwat_ボール保持率,URL
A,福岡,D,1,1,1.173,0.602,12,8,5,3,0,0,418,630,27,8,8,17,0,0,6,1,18,23,18,4,28,19,25,23,1,0,0,0,0,1,0,0,46,29,13,10,"114,747m","114,746m",221,159,118,138,10.2%,5.8%,44.1%,55.9%,https://www.football-lab.jp/iwat/report/?year=2022&month=02&date=19
H,清水,L,1,2,1.37,0.412,21,8,7,4,0,0,477,566,6,11,9,10,0,0,4,0,11,31,14,9,23,19,19,11,5,1,0,0,0,3,0,2,47,41,13,10,"118,420m","112,307m",207,174,114,130,18.4%,6.2%,48%,52%,https://www.football-lab.jp/iwat/report/?year=2022&month=02&date=26
A,京都,W,4,1,0.894,3.053,13,20,4,10,0,0,403,590,8,19,8,10,4,1,2,3,25,22,14,9,18,32,19,18,1,2,2,4,1,0,1,0,30,52,6,19,"111,370m","114,116m",201,169,115,123,11.3%,16.3%,45.1%,54.9%,https://www.football-lab.jp/iwat/report/?year=2022&month=03&date=05
H,Ｇ大阪,D,1,1,1.639,0.499,13,8,3,3,0,0,629,497,24,8,9,12,3,3,7,1,28,13,11,3,11,20,11,30,3,1,3,3,1,2,0,0,50,31,17,11,"118,592m","114,239m",156,149,122,111,10.7%,7.2%,54.7%,45.3%,https://www.football-lab.jp/iwat/report/?year=2022&month=03&date=12
A,浦和,L,1,4,3.076,1.065,20,11,13,3,1,0,598,537,14,12,7,6,1,1,3,4,23,25,9,10,32,33,23,20,1,2,1,1,0,1,0,0,38,38,18,9,"115,631m","113,840m",187,159,111,112,18.0%,9.8%,53.6%,46.4%,https://www.football-lab.jp/iwat/report/?year=2022&month=03&date=19
A,柏,L,0,2,1.391,0.488,15,7,5,2,0,0,584,594,17,13,8,7,1,0,8,2,18,19,18,9,25,32,17,28,5,3,0,1,2,1,0,0,51,27,15,13,"120,071m","119,828m",215,187,129,127,11.6%,5.5%,52.5%,47.5%,https://www.football-lab.jp/iwat/report/?year=2022&month=04&date=02
H,川崎Ｆ,D,1,1,2.267,0.963,22,8,8,4,0,0,609,405,18,11,13,6,1,3,6,2,26,29,11,5,24,17,19,27,3,3,3,1,0,2,0,0,56,23,19,9,"114,056m","117,326m",194,172,124,123,17.7%,6.5%,56.3%,43.7%,https://www.football-lab.jp/iwat/report/?year=2022&month=04&date=06
A,湘南,D,0,0,0.656,0.762,13,10,4,0,0,0,431,445,19,13,10,17,2,2,4,1,25,24,9,9,13,14,12,26,0,2,2,2,3,1,0,0,41,25,12,8,"119,405m","115,124m",164,137,118,124,11.0%,8.1%,46.7%,53.3%,https://www.football-lab.jp/iwat/report/?year=2022&month=04&date=10
H,広島,D,2,2,1.885,1.221,21,7,9,2,0,0,640,425,19,11,11,11,2,2,5,3,27,17,24,5,24,24,15,33,0,1,2,2,1,2,0,0,55,22,21,13,"117,147m","119,975m",186,156,126,121,16.7%,5.8%,57.7%,42.3%,https://www.football-lab.jp/iwat/report/?year=2022&month=04&date=17
H,名古屋,W,2,1,0.46,1.094,10,13,2,4,0,0,550,515,14,12,8,12,3,0,2,6,26,14,7,9,19,13,19,25,4,2,0,3,0,1,0,0,42,50,4,14,"115,302m","116,624m",155,131,117,120,8.5%,10.8%,51.8%,48.2%,https://www.football-lab.jp/iwat/report/?year=2022&month=04&date=28
