HOME/AWAY,Opponent,勝敗,kasm_得点,kasm_失点,Opponent_ゴール期待値,kasm_ゴール期待値,Opponent_シュート,kasm_シュート,Opponent_枠内シュート,kasm_枠内シュート,Opponent_PKによるシュート,kasm_PKによるシュート,Opponent_パス,kasm_パス,Opponent_クロス,kasm_クロス,Opponent_直接ＦＫ,kasm_直接ＦＫ,Opponent_間接ＦＫ,kasm_間接ＦＫ,Opponent_ＣＫ,kasm_ＣＫ,Opponent_スローイン,kasm_スローイン,Opponent_ドリブル,kasm_ドリブル,Opponent_タックル,kasm_タックル,Opponent_クリア,kasm_クリア,Opponent_インターセプト,kasm_インターセプト,Opponent_オフサイド,kasm_オフサイド,Opponent_警告,kasm_警告,Opponent_退場,kasm_退場,Opponent_３０ｍライン進入,kasm_３０ｍライン進入,Opponent_ペナルティエリア進入,kasm_ペナルティエリア進入,Opponent_総移動距離,kasm_総移動距離,Opponent_スプリント,kasm_スプリント,Opponent_攻撃回数,kasm_攻撃回数,Opponent_チャンス構築率,kasm_チャンス構築率,Opponent_ボール保持率,kasm_ボール保持率,URL
A,Ｇ大阪,W,3,1,0.656,3.054,9,34,3,13,0,0,348,584,8,22,7,9,2,1,5,10,19,24,12,13,16,18,34,21,2,0,1,2,0,0,1,0,28,62,4,23,"111,503m","120,342m",166,200,123,129,7.3%,26.4%,44.7%,55.3%,https://www.football-lab.jp/kasm/report/?year=2022&month=02&date=19
H,川崎Ｆ,L,0,2,1.37,0.688,13,9,4,3,0,0,495,599,6,17,16,11,2,3,2,7,34,30,6,11,20,28,31,21,4,4,2,2,0,0,0,0,38,38,17,8,"117,078m","120,159m",195,182,152,154,8.6%,5.8%,46.4%,53.6%,https://www.football-lab.jp/kasm/report/?year=2022&month=02&date=26
H,柏,W,1,0,0.886,0.887,10,12,4,2,0,0,418,420,15,21,9,13,1,1,4,7,30,32,12,17,27,17,25,27,1,1,1,1,3,2,0,0,34,32,11,9,"115,436m","120,363m",199,221,142,151,7.0%,7.9%,50%,50%,https://www.football-lab.jp/kasm/report/?year=2022&month=03&date=06
A,神戸,W,2,0,0.524,1.119,8,11,3,6,0,0,642,292,11,8,24,11,0,2,7,5,35,22,11,6,18,25,13,42,0,1,2,0,1,4,0,0,37,26,11,9,"113,016m","117,208m",137,183,148,123,5.4%,8.9%,64%,36%,https://www.football-lab.jp/kasm/report/?year=2022&month=03&date=11
H,湘南,W,2,1,0.582,1.308,8,13,1,5,0,0,293,455,11,24,12,16,3,3,7,4,31,32,10,20,26,37,24,25,2,2,3,3,1,1,0,0,30,52,11,4,"118,609m","119,817m",216,241,149,152,5.4%,8.6%,42%,58%,https://www.football-lab.jp/kasm/report/?year=2022&month=03&date=19
H,清水,W,2,1,0.585,1.45,9,21,2,7,0,0,291,450,7,30,13,12,1,0,3,9,18,42,4,16,24,24,40,15,1,1,0,1,1,2,0,1,26,59,6,19,"116,685m","121,647m",178,219,116,145,7.8%,14.5%,45%,55%,https://www.football-lab.jp/kasm/report/?year=2022&month=04&date=02
A,福岡,W,1,0,0.83,1.694,8,14,5,4,0,0,338,357,17,20,12,17,2,0,5,6,31,31,18,15,15,21,31,16,1,2,0,2,1,2,0,0,34,35,9,12,"107,876m","112,637m",194,235,123,138,6.5%,10.1%,51.1%,48.9%,https://www.football-lab.jp/kasm/report/?year=2022&month=04&date=06
H,横浜FM,L,0,3,2.727,1.053,25,12,3,5,0,0,663,263,34,13,13,10,5,1,7,4,40,24,22,10,17,31,22,36,1,6,1,5,0,0,0,0,63,21,23,4,"116,487m","116,820m",209,216,157,135,15.9%,8.9%,64.2%,35.8%,https://www.football-lab.jp/kasm/report/?year=2022&month=04&date=10
H,名古屋,D,0,0,0.945,0.43,9,8,3,1,0,0,361,396,13,23,12,19,1,2,3,5,22,34,16,19,24,28,25,18,1,1,2,1,1,3,0,0,40,31,10,13,"111,373m","112,210m",192,190,125,132,7.2%,6.1%,47.6%,52.4%,https://www.football-lab.jp/kasm/report/?year=2022&month=04&date=17
A,Ｃ大阪,W,3,0,1.396,1.134,16,10,4,6,0,0,510,325,25,14,13,9,1,2,8,0,38,21,9,10,23,23,12,43,1,0,1,1,1,1,0,0,38,31,15,11,"118,803m","120,980m",237,232,165,135,9.7%,7.4%,55.3%,44.7%,https://www.football-lab.jp/kasm/report/?year=2022&month=04&date=29
H,磐田,W,3,1,0.708,1.985,7,20,2,5,0,0,475,506,16,16,5,6,3,2,6,7,23,21,14,14,24,19,18,27,3,1,1,3,1,0,0,0,34,43,10,19,"114,108m","119,168m",180,218,126,127,5.6%,15.7%,47.2%,52.8%,https://www.football-lab.jp/kasm/report/?year=2022&month=05&date=03
A,広島,L,0,3,1.528,0.776,17,6,6,2,0,0,398,466,18,8,8,18,0,2,5,4,25,22,18,11,18,23,10,14,3,2,2,0,2,1,0,0,44,36,19,6,"112,461m","112,303m",174,178,112,122,15.2%,4.9%,46.2%,53.8%,https://www.football-lab.jp/kasm/report/?year=2022&month=05&date=07
H,札幌,W,4,1,1.499,2.848,14,20,2,6,0,1,480,309,11,11,6,8,0,1,6,2,25,28,13,8,17,15,15,21,2,2,1,0,3,0,0,0,43,29,9,12,"106,094m","112,767m",167,203,125,119,11.2%,16.8%,56.7%,43.3%,https://www.football-lab.jp/kasm/report/?year=2022&month=05&date=14
A,浦和,D,1,1,1.606,0.937,10,15,3,6,1,0,469,340,11,22,14,10,0,0,4,9,29,29,18,16,15,18,24,19,0,1,0,0,0,0,0,0,42,35,12,10,"108,141m","113,105m",175,219,121,124,8.3%,12.1%,58.6%,41.4%,https://www.football-lab.jp/kasm/report/?year=2022&month=05&date=21
H,鳥栖,D,4,4,2.188,1.879,9,17,6,8,0,0,282,442,7,21,10,21,1,1,6,6,21,31,6,9,16,13,25,12,3,1,1,1,1,0,0,0,19,50,7,19,"121,067m","113,685m",219,185,108,124,8.3%,13.7%,41.7%,58.3%,https://www.football-lab.jp/kasm/report/?year=2022&month=05&date=25
A,FC東京,L,1,3,1.833,0.883,11,12,7,2,1,0,368,357,7,16,16,12,3,3,7,2,33,22,12,10,25,24,20,9,3,1,2,2,0,4,0,0,24,30,16,11,"105,555m","105,051m",174,167,143,126,7.7%,9.5%,52.8%,47.2%,https://www.football-lab.jp/kasm/report/?year=2022&month=05&date=29
H,京都,W,1,0,1.112,0.841,12,12,4,5,0,0,283,357,11,10,10,10,3,2,6,8,29,29,13,10,21,19,24,20,2,3,2,3,1,1,0,0,22,30,6,3,"110,575m","108,008m",178,169,126,125,9.5%,9.6%,44.8%,55.2%,https://www.football-lab.jp/kasm/report/?year=2022&month=06&date=18
A,名古屋,D,1,1,2.147,1.654,17,13,8,1,1,0,471,354,13,9,16,9,2,1,5,2,19,14,13,3,11,13,11,18,0,4,1,2,1,2,0,0,51,22,14,6,"108,741m","109,850m",149,164,113,100,15.0%,13.0%,56.2%,43.8%,https://www.football-lab.jp/kasm/report/?year=2022&month=06&date=26
A,柏,W,2,1,1.609,1.48,16,8,4,3,0,1,385,371,18,10,9,12,4,1,6,1,37,18,11,5,11,23,12,36,1,2,1,4,1,1,0,0,34,22,15,7,"107,455m","110,200m",152,181,123,109,13.0%,7.3%,49.1%,50.9%,https://www.football-lab.jp/kasm/report/?year=2022&month=07&date=02
H,Ｃ大阪,D,3,3,0.594,1.127,10,16,4,6,0,0,362,426,8,24,17,13,1,1,2,1,23,21,7,15,13,13,17,8,1,3,1,0,1,0,0,0,29,38,9,15,"113,219m","112,088m",155,185,121,110,8.3%,14.5%,49.6%,50.4%,https://www.football-lab.jp/kasm/report/?year=2022&month=07&date=06
A,札幌,D,0,0,0.929,0.226,10,5,0,1,0,0,528,409,11,12,18,9,2,2,3,3,18,15,17,8,14,12,16,22,1,3,2,2,1,3,0,0,33,32,12,7,"104,963m","108,146m",127,151,114,104,8.8%,4.8%,55.8%,44.2%,https://www.football-lab.jp/kasm/report/?year=2022&month=07&date=10
H,神戸,D,1,1,1.077,0.82,9,14,4,5,0,0,449,431,6,11,12,12,0,2,4,2,29,26,16,9,17,25,30,17,1,3,2,0,2,3,0,1,32,34,10,10,"109,681m","106,175m",171,155,116,110,7.8%,12.7%,52%,48%,https://www.football-lab.jp/kasm/report/?year=2022&month=07&date=16
A,横浜FM,L,0,2,2.144,0.515,20,6,3,1,0,0,483,295,19,15,19,10,5,2,5,4,21,20,14,6,15,20,15,24,2,0,2,4,1,1,0,0,58,24,24,4,"109,202m","106,433m",175,167,123,113,16.3%,5.3%,58.8%,41.2%,https://www.football-lab.jp/kasm/report/?year=2022&month=07&date=30
H,広島,L,0,2,1.335,0.419,12,7,3,2,0,0,486,402,22,13,11,10,4,1,6,2,18,26,13,12,23,15,20,26,3,1,1,4,3,1,0,0,49,30,19,11,"111,943m","112,033m",169,169,121,123,9.9%,5.7%,53.9%,46.1%,https://www.football-lab.jp/kasm/report/?year=2022&month=08&date=06
H,福岡,W,2,0,0.99,1.039,10,12,2,4,0,0,327,382,20,10,12,14,3,0,6,0,15,16,15,4,14,18,13,27,0,1,0,3,2,3,0,0,25,32,12,8,"99,554m","103,754m",149,163,102,89,9.8%,13.5%,50.1%,49.9%,https://www.football-lab.jp/kasm/report/?year=2022&month=08&date=14
A,湘南,D,1,1,1.56,0.399,16,7,5,4,0,0,394,348,18,11,14,16,3,1,9,4,27,16,13,8,21,20,10,29,0,4,1,3,1,0,0,0,40,24,15,8,"112,461m","107,862m",171,150,139,128,11.5%,5.5%,51.2%,48.8%,https://www.football-lab.jp/kasm/report/?year=2022&month=08&date=21
