HOME/AWAY,Opponent,勝敗,kobe_得点,kobe_失点,Opponent_ゴール期待値,kobe_ゴール期待値,Opponent_シュート,kobe_シュート,Opponent_枠内シュート,kobe_枠内シュート,Opponent_PKによるシュート,kobe_PKによるシュート,Opponent_パス,kobe_パス,Opponent_クロス,kobe_クロス,Opponent_直接ＦＫ,kobe_直接ＦＫ,Opponent_間接ＦＫ,kobe_間接ＦＫ,Opponent_ＣＫ,kobe_ＣＫ,Opponent_スローイン,kobe_スローイン,Opponent_ドリブル,kobe_ドリブル,Opponent_タックル,kobe_タックル,Opponent_クリア,kobe_クリア,Opponent_インターセプト,kobe_インターセプト,Opponent_オフサイド,kobe_オフサイド,Opponent_警告,kobe_警告,Opponent_退場,kobe_退場,Opponent_３０ｍライン進入,kobe_３０ｍライン進入,Opponent_ペナルティエリア進入,kobe_ペナルティエリア進入,Opponent_総移動距離,kobe_総移動距離,Opponent_スプリント,kobe_スプリント,Opponent_攻撃回数,kobe_攻撃回数,Opponent_チャンス構築率,kobe_チャンス構築率,Opponent_ボール保持率,kobe_ボール保持率,URL
A,名古屋,L,0,2,2.23,0.912,17,12,4,1,0,0,411,657,13,11,9,10,3,2,1,8,18,28,7,8,34,14,30,16,4,4,1,3,0,3,0,1,42,35,11,9,"121,995m","115,545m",191,174,117,133,14.5%,9.0%,41.1%,58.9%,https://www.football-lab.jp/kobe/report/?year=2022&month=02&date=19
A,浦和,D,2,2,0.798,3.978,9,20,5,5,0,1,274,568,12,36,6,7,2,1,9,7,16,18,12,13,19,17,50,24,4,1,1,2,2,1,1,0,22,65,11,24,"109,659m","116,116m",175,157,112,110,8.0%,18.2%,39.9%,60.1%,https://www.football-lab.jp/kobe/report/?year=2022&month=02&date=23
H,福岡,D,0,0,1.098,0.844,11,10,3,2,0,0,279,573,14,9,13,14,1,2,5,5,22,26,8,15,26,17,21,19,2,2,2,1,1,3,0,0,27,33,8,7,"109,128m","109,717m",176,146,128,132,8.6%,7.6%,35.1%,64.9%,https://www.football-lab.jp/kobe/report/?year=2022&month=02&date=26
A,横浜FM,L,0,2,2.412,2.595,22,25,8,5,0,0,465,526,20,19,13,12,2,0,7,10,24,34,13,12,18,21,31,10,3,0,0,2,1,0,0,0,40,41,22,18,"125,969m","121,233m",235,225,130,141,16.9%,17.7%,46.9%,53.1%,https://www.football-lab.jp/kobe/report/?year=2022&month=03&date=02
A,広島,D,1,1,0.73,1.485,10,10,5,5,0,0,516,444,24,10,13,8,1,2,6,10,30,19,25,10,21,31,22,36,2,4,2,1,0,0,0,0,60,27,12,6,"114,692m","117,813m",206,180,139,138,7.2%,7.2%,51.8%,48.2%,https://www.football-lab.jp/kobe/report/?year=2022&month=03&date=06
H,鹿島,L,0,2,1.119,0.524,11,8,6,3,0,0,292,642,8,11,11,24,2,0,5,7,22,35,6,11,25,18,42,13,1,0,0,2,4,1,0,0,26,37,9,11,"117,208m","113,016m",183,137,123,148,8.9%,5.4%,36%,64%,https://www.football-lab.jp/kobe/report/?year=2022&month=03&date=11
A,清水,D,0,0,0.982,1.464,12,19,3,5,0,0,283,661,9,17,5,12,3,0,5,9,22,25,8,7,15,17,25,11,1,0,0,3,0,0,0,0,21,40,5,13,"116,727m","115,185m",199,155,114,114,10.5%,16.7%,34.9%,65.1%,https://www.football-lab.jp/kobe/report/?year=2022&month=03&date=19
H,京都,L,1,3,1.167,1.582,13,13,6,3,0,0,345,610,18,14,6,17,3,1,5,4,24,22,11,14,25,25,27,18,0,2,1,3,0,0,0,0,32,56,9,19,"116,633m","111,554m",210,147,116,126,11.2%,10.3%,39.4%,60.6%,https://www.football-lab.jp/kobe/report/?year=2022&month=04&date=02
A,FC東京,L,1,3,1.566,1.096,16,10,6,2,0,0,491,468,17,15,10,9,1,1,5,7,32,17,14,12,17,30,21,27,2,1,1,1,0,0,0,0,42,34,16,9,"117,995m","118,469m",206,171,127,113,12.6%,8.8%,50.5%,49.5%,https://www.football-lab.jp/kobe/report/?year=2022&month=04&date=06
H,Ｃ大阪,L,0,1,1.272,1.029,13,14,3,3,0,0,407,697,17,18,3,7,0,1,1,6,26,30,12,13,21,19,35,22,4,6,1,0,0,0,0,0,32,60,12,15,"119,488m","120,498m",191,164,119,136,10.9%,10.3%,39.7%,60.3%,https://www.football-lab.jp/kobe/report/?year=2022&month=04&date=10
