HOME/AWAY,Opponent,勝敗,kyot_得点,kyot_失点,kyot_ゴール期待値,Opponent_ゴール期待値,kyot_シュート,Opponent_シュート,kyot_枠内シュート,Opponent_枠内シュート,kyot_PKによるシュート,Opponent_PKによるシュート,kyot_パス,Opponent_パス,kyot_クロス,Opponent_クロス,kyot_直接ＦＫ,Opponent_直接ＦＫ,kyot_間接ＦＫ,Opponent_間接ＦＫ,kyot_ＣＫ,Opponent_ＣＫ,kyot_スローイン,Opponent_スローイン,kyot_ドリブル,Opponent_ドリブル,kyot_タックル,Opponent_タックル,kyot_クリア,Opponent_クリア,kyot_インターセプト,Opponent_インターセプト,kyot_オフサイド,Opponent_オフサイド,kyot_警告,Opponent_警告,kyot_退場,Opponent_退場,kyot_３０ｍライン進入,Opponent_３０ｍライン進入,kyot_ペナルティエリア進入,Opponent_ペナルティエリア進入,kyot_総移動距離,Opponent_総移動距離,kyot_スプリント,Opponent_スプリント,kyot_攻撃回数,Opponent_攻撃回数,kyot_チャンス構築率,Opponent_チャンス構築率,kyot_ボール保持率,Opponent_ボール保持率,URL
H,浦和,W,1,0,0.876,1.629,9,15,2,6,0,0,408,507,13,20,8,12,0,0,3,4,22,34,10,16,33,30,30,14,2,1,0,0,0,0,0,0,32,45,11,16,"120,897m","113,405m",209,208,124,141,7.3%,10.6%,45%,55%,https://www.football-lab.jp/kyot/report/?year=2022&month=02&date=19
A,Ｃ大阪,D,1,1,1.185,1.975,9,17,4,9,0,0,398,511,16,17,11,11,4,0,3,5,22,32,14,13,25,17,28,13,4,1,0,4,1,2,0,0,31,47,10,22,"118,031m","115,527m",241,214,138,152,6.5%,11.2%,45.6%,54.4%,https://www.football-lab.jp/kyot/report/?year=2022&month=02&date=26
H,磐田,L,1,4,0.894,3.053,13,20,4,10,0,0,403,590,8,19,8,10,4,1,2,3,25,22,14,9,18,32,19,18,1,2,2,4,1,0,1,0,30,52,6,19,"111,370m","114,116m",201,169,115,123,11.3%,16.3%,45.1%,54.9%,https://www.football-lab.jp/kyot/report/?year=2022&month=03&date=05
A,湘南,D,1,1,0.524,2.332,7,21,2,7,0,0,399,375,9,25,12,19,3,4,0,9,21,21,5,10,24,16,39,11,0,2,4,3,2,1,1,0,33,38,9,14,"110,638m","118,458m",187,235,109,129,6.4%,16.3%,51%,49%,https://www.football-lab.jp/kyot/report/?year=2022&month=03&date=12
H,FC東京,L,0,1,1.15,1.008,10,6,3,2,0,0,329,513,19,19,12,15,0,2,7,11,19,30,12,14,24,15,26,18,2,3,2,0,2,2,0,0,32,53,12,8,"115,592m","112,574m",221,197,116,133,8.6%,4.5%,44%,56%,https://www.football-lab.jp/kyot/report/?year=2022&month=03&date=19
A,神戸,W,3,1,1.167,1.582,13,13,6,3,0,0,345,610,18,14,6,17,3,1,5,4,24,22,11,14,25,25,27,18,0,2,1,3,0,0,0,0,32,56,9,19,"116,633m","111,554m",210,147,116,126,11.2%,10.3%,39.4%,60.6%,https://www.football-lab.jp/kyot/report/?year=2022&month=04&date=02
H,Ｇ大阪,D,1,1,1.684,1.006,17,11,4,5,0,0,372,359,22,9,14,14,1,3,5,4,25,19,15,8,10,23,26,21,2,2,3,1,0,0,0,0,34,27,14,10,"114,314m","109,410m",200,160,124,124,13.7%,8.9%,51.6%,48.4%,https://www.football-lab.jp/kyot/report/?year=2022&month=04&date=06
H,鳥栖,W,3,1,1.148,1.387,11,10,4,3,0,1,289,570,8,15,9,14,4,2,4,3,17,29,8,8,16,23,20,7,3,3,2,4,3,1,0,0,36,45,14,12,"117,100m","115,148m",225,197,108,122,10.2%,8.2%,40.1%,59.9%,https://www.football-lab.jp/kyot/report/?year=2022&month=04&date=10
A,柏,W,2,0,1.454,0.785,10,12,3,1,0,0,323,583,8,14,11,9,5,1,6,3,20,39,12,15,27,18,32,13,2,2,1,5,2,1,0,0,30,50,11,9,"123,719m","118,938m",239,203,120,135,8.3%,8.9%,40.6%,59.4%,https://www.football-lab.jp/kyot/report/?year=2022&month=04&date=17
H,福岡,L,0,1,0.693,0.992,7,9,0,2,0,0,350,324,12,25,13,15,6,1,1,4,29,20,18,14,16,34,22,29,3,5,1,5,2,1,0,0,29,32,9,12,"112,255m","107,929m",173,175,131,135,5.3%,6.7%,51.2%,48.8%,https://www.football-lab.jp/kyot/report/?year=2022&month=04&date=29
A,名古屋,D,1,1,0.631,1.918,8,17,1,1,0,0,405,352,13,24,8,13,2,1,5,13,16,30,7,17,14,25,32,21,2,3,1,2,1,1,0,0,34,35,10,12,"113,820m","110,843m",218,191,111,129,7.2%,13.2%,52.4%,47.6%,https://www.football-lab.jp/kyot/report/?year=2022&month=05&date=03
A,札幌,L,0,1,0.981,1.177,11,16,3,4,0,0,429,454,14,16,9,10,4,1,2,5,21,20,9,13,26,20,18,24,1,5,1,4,1,0,0,0,32,46,13,20,"114,607m","110,319m",216,201,129,129,8.5%,12.4%,49.3%,50.7%,https://www.football-lab.jp/kyot/report/?year=2022&month=05&date=07
H,清水,D,0,0,1.109,1.059,12,15,3,7,0,0,481,345,15,23,8,12,2,1,4,5,22,16,20,12,14,24,21,28,1,2,1,2,2,0,0,0,47,40,12,16,"114,964m","112,454m",212,209,132,139,9.1%,10.8%,55.1%,44.9%,https://www.football-lab.jp/kyot/report/?year=2022&month=05&date=14
A,広島,L,1,3,0.951,1.983,10,17,3,5,0,0,345,479,12,18,10,11,3,1,4,8,20,30,11,11,21,23,35,16,3,0,1,3,1,0,0,0,29,46,11,19,"111,912m","109,658m",226,239,117,129,8.5%,13.2%,45.5%,54.5%,https://www.football-lab.jp/kyot/report/?year=2022&month=05&date=21
A,横浜FM,L,0,2,0.359,2.162,5,28,0,13,0,0,284,535,9,18,16,14,1,6,2,4,29,47,9,14,21,12,35,9,1,0,5,1,2,2,0,0,15,54,5,21,"126,716m","125,350m",252,237,129,143,3.9%,19.6%,39.2%,60.8%,https://www.football-lab.jp/kyot/report/?year=2022&month=05&date=25
H,川崎Ｆ,W,1,0,0.712,0.993,7,11,0,1,0,0,307,495,9,17,8,12,6,1,6,1,16,26,7,13,19,22,16,16,1,5,1,6,3,1,0,0,15,41,5,22,"110,701m","101,962m",173,127,102,110,6.9%,10.0%,43.3%,56.7%,https://www.football-lab.jp/kyot/report/?year=2022&month=05&date=29
A,鹿島,L,0,1,1.112,0.841,12,12,4,5,0,0,283,357,11,10,10,10,3,2,6,8,29,29,13,10,21,19,24,20,2,3,2,3,1,1,0,0,22,30,6,3,"110,575m","108,008m",178,169,126,125,9.5%,9.6%,44.8%,55.2%,https://www.football-lab.jp/kyot/report/?year=2022&month=06&date=18
H,湘南,L,0,1,0.535,1.345,7,13,3,4,0,0,321,281,8,12,15,14,2,2,3,4,24,23,7,8,20,17,19,17,0,2,2,1,3,1,0,0,26,37,7,12,"105,341m","104,833m",178,162,117,114,6.0%,11.4%,52.6%,47.4%,https://www.football-lab.jp/kyot/report/?year=2022&month=06&date=26
H,札幌,W,2,1,1.934,0.896,10,11,3,5,0,0,441,435,11,19,8,14,0,1,5,4,24,18,8,19,17,17,17,16,3,3,1,0,2,0,0,1,28,33,9,12,"111,252m","98,248m",160,130,111,107,9.0%,10.3%,52.7%,47.3%,https://www.football-lab.jp/kyot/report/?year=2022&month=07&date=02
A,浦和,D,2,2,0.56,3.447,8,20,2,5,0,2,470,378,16,21,8,8,0,0,4,6,9,24,10,18,16,8,21,15,3,3,0,0,2,0,0,0,43,34,7,18,"110,835m","107,497m",190,187,97,107,8.2%,18.7%,54.4%,45.6%,https://www.football-lab.jp/kyot/report/?year=2022&month=07&date=06
A,福岡,L,0,1,1.02,0.967,11,9,2,2,0,0,518,291,14,18,8,7,1,2,6,8,21,24,8,11,23,17,23,38,2,1,2,1,0,0,0,0,37,31,6,11,"106,985m","105,015m",145,143,98,102,11.2%,8.8%,59.9%,40.1%,https://www.football-lab.jp/kyot/report/?year=2022&month=07&date=10
H,広島,D,1,1,1.323,0.97,13,13,3,5,0,0,373,447,6,17,10,16,2,0,5,6,21,15,12,15,12,19,25,16,2,0,0,2,2,2,0,0,24,48,5,11,"108,077m","106,411m",174,164,118,111,11.0%,11.7%,51.8%,48.2%,https://www.football-lab.jp/kyot/report/?year=2022&month=07&date=17
A,Ｇ大阪,D,1,1,1.478,2.436,12,18,4,6,1,0,390,269,11,8,9,14,3,2,2,3,30,13,14,12,18,17,13,18,2,3,2,3,4,0,1,0,30,28,6,9,"104,625m","107,488m",170,155,116,112,10.3%,16.1%,55.8%,44.2%,https://www.football-lab.jp/kyot/report/?year=2022&month=07&date=30
H,柏,L,1,2,1.096,1.281,13,15,3,3,0,0,431,358,9,14,10,13,2,2,5,4,26,14,6,6,13,19,12,18,1,3,2,2,0,2,0,0,27,33,6,15,"107,471m","104,027m",144,159,128,120,10.2%,12.5%,54%,46%,https://www.football-lab.jp/kyot/report/?year=2022&month=08&date=06
A,清水,L,0,1,1.669,0.854,13,14,3,5,0,0,305,355,17,9,8,16,3,1,9,4,24,20,10,13,12,17,13,25,0,1,1,3,1,2,0,0,29,23,9,11,"107,395m","104,784m",156,146,104,95,12.5%,14.7%,47.2%,52.8%,https://www.football-lab.jp/kyot/report/?year=2022&month=08&date=27
H,神戸,W,2,0,0.947,1.463,14,15,4,1,0,0,264,488,7,30,10,6,3,0,1,11,25,31,10,17,12,22,39,16,0,1,0,3,0,1,0,1,22,47,9,19,"109,557m","105,156m",162,152,113,128,12.4%,11.7%,37.6%,62.4%,https://www.football-lab.jp/kyot/report/?year=2022&month=09&date=03
H,鹿島,D,1,1,1.173,1.11,9,13,3,6,0,0,232,567,8,20,10,18,5,3,3,4,13,22,12,14,12,28,35,16,3,0,3,5,2,1,0,0,19,62,15,15,"113,404m","112,216m",177,165,107,118,8.4%,11.0%,37.5%,62.5%,https://www.football-lab.jp/kyot/report/?year=2022&month=09&date=10
H,横浜FM,L,1,2,2.596,0.901,19,8,6,5,0,0,406,520,16,11,8,16,1,3,6,5,24,12,11,5,22,21,17,23,1,3,3,1,3,1,0,0,37,45,11,13,"111,195m","111,395m",177,154,125,127,15.2%,6.3%,47.6%,52.4%,https://www.football-lab.jp/kyot/report/?year=2022&month=09&date=14
A,FC東京,L,0,2,0.218,1.304,7,15,1,5,0,0,391,416,10,7,14,17,1,0,4,4,19,20,9,5,18,20,26,22,2,2,0,1,1,2,0,0,39,31,4,8,"103,985m","102,522m",119,128,109,116,6.4%,12.9%,49.6%,50.4%,https://www.football-lab.jp/kyot/report/?year=2022&month=09&date=18
A,鳥栖,W,1,0,0.688,1.012,7,11,1,2,0,0,229,558,11,17,7,12,5,2,2,4,30,22,11,5,17,19,29,12,3,0,2,5,2,0,0,0,25,41,9,8,"111,630m","107,760m",188,151,114,116,6.1%,9.5%,35.6%,64.4%,https://www.football-lab.jp/kyot/report/?year=2022&month=10&date=01
H,名古屋,D,1,1,2.411,0.463,16,7,6,2,1,0,493,284,21,7,5,17,5,0,5,3,26,20,10,4,16,18,6,24,1,1,0,4,1,0,0,0,57,16,15,3,"110,410m","106,771m",177,193,120,122,13.3%,5.7%,59.8%,40.2%,https://www.football-lab.jp/kyot/report/?year=2022&month=10&date=08
A,川崎Ｆ,L,1,3,1.884,2.255,14,17,5,7,0,0,463,538,17,22,9,17,3,0,7,6,23,14,16,12,17,21,14,25,6,5,0,3,2,0,0,0,37,53,7,19,"116,494m","111,657m",176,169,121,118,11.6%,14.4%,47.7%,52.3%,https://www.football-lab.jp/kyot/report/?year=2022&month=10&date=12
