HOME/AWAY,Opponent,勝敗,nago_得点,nago_失点,nago_ゴール期待値,Opponent_ゴール期待値,nago_シュート,Opponent_シュート,nago_枠内シュート,Opponent_枠内シュート,nago_PKによるシュート,Opponent_PKによるシュート,nago_パス,Opponent_パス,nago_クロス,Opponent_クロス,nago_直接ＦＫ,Opponent_直接ＦＫ,nago_間接ＦＫ,Opponent_間接ＦＫ,nago_ＣＫ,Opponent_ＣＫ,nago_スローイン,Opponent_スローイン,nago_ドリブル,Opponent_ドリブル,nago_タックル,Opponent_タックル,nago_クリア,Opponent_クリア,nago_インターセプト,Opponent_インターセプト,nago_オフサイド,Opponent_オフサイド,nago_警告,Opponent_警告,nago_退場,Opponent_退場,nago_３０ｍライン進入,Opponent_３０ｍライン進入,nago_ペナルティエリア進入,Opponent_ペナルティエリア進入,nago_総移動距離,Opponent_総移動距離,nago_スプリント,Opponent_スプリント,nago_攻撃回数,Opponent_攻撃回数,nago_チャンス構築率,Opponent_チャンス構築率,nago_ボール保持率,Opponent_ボール保持率,URL
H,神戸,W,2,0,2.23,0.912,17,12,4,1,0,0,411,657,13,11,9,10,3,2,1,8,18,28,7,8,34,14,30,16,4,4,1,3,0,3,0,1,42,35,11,9,"121,995m","115,545m",191,174,117,133,14.5%,9.0%,41.1%,58.9%,https://www.football-lab.jp/nago/report/?year=2022&month=02&date=19
H,鳥栖,D,1,1,1.348,0.846,13,7,6,2,0,0,452,642,11,9,17,8,6,0,8,3,27,20,6,7,21,24,11,26,3,5,0,6,1,1,0,0,21,54,10,10,"126,407m","132,265m",229,222,137,119,9.5%,5.9%,43.7%,56.3%,https://www.football-lab.jp/nago/report/?year=2022&month=03&date=06
A,川崎Ｆ,L,0,1,1.27,0.684,12,9,2,1,0,0,394,630,12,4,17,13,1,1,11,3,29,24,13,9,26,23,8,33,3,6,1,1,1,1,0,0,23,45,8,12,"116,719m","113,540m",196,201,139,125,8.6%,7.2%,42.6%,57.4%,https://www.football-lab.jp/nago/report/?year=2022&month=03&date=12
H,柏,D,1,1,1.248,1.479,12,14,5,6,0,0,439,451,15,10,12,8,1,2,6,8,31,31,16,12,27,17,18,26,1,4,2,1,2,3,0,0,28,36,7,12,"121,170m","116,902m",224,213,124,124,9.7%,11.3%,48.3%,51.7%,https://www.football-lab.jp/nago/report/?year=2022&month=03&date=20
A,Ｇ大阪,L,1,3,1.726,1.392,18,15,7,7,0,0,521,389,24,7,14,10,1,1,10,4,24,15,13,9,17,19,14,26,1,2,1,1,0,0,0,0,53,17,16,7,"116,513m","117,526m",161,171,131,119,13.7%,12.6%,55.6%,44.4%,https://www.football-lab.jp/nago/report/?year=2022&month=04&date=02
H,湘南,W,2,1,2.12,0.794,15,9,5,3,1,0,500,338,18,10,15,10,1,2,7,7,31,22,11,10,17,18,30,25,5,3,2,1,3,0,0,1,39,29,12,3,"119,373m","120,411m",216,227,130,115,11.5%,7.8%,57.7%,42.3%,https://www.football-lab.jp/nago/report/?year=2022&month=04&date=06
H,札幌,L,0,2,2.148,0.79,12,5,5,2,0,0,364,569,11,9,15,13,3,2,7,7,18,20,9,12,23,15,22,10,0,4,2,3,2,1,0,0,33,43,8,11,"112,260m","113,121m",176,177,121,119,9.9%,4.2%,41.8%,58.2%,https://www.football-lab.jp/nago/report/?year=2022&month=04&date=10
A,鹿島,D,0,0,0.945,0.43,9,8,3,1,0,0,361,396,13,23,12,19,1,2,3,5,22,34,16,19,24,28,25,18,1,1,2,1,1,3,0,0,40,31,10,13,"111,373m","112,210m",192,190,125,132,7.2%,6.1%,47.6%,52.4%,https://www.football-lab.jp/nago/report/?year=2022&month=04&date=17
A,FC東京,D,0,0,1.499,0.95,14,10,5,4,0,0,375,514,15,12,8,10,3,1,4,8,21,38,16,9,20,17,32,23,6,1,1,3,0,0,0,0,36,38,12,7,"113,007m","110,851m",193,185,115,136,12.2%,7.4%,44.9%,55.1%,https://www.football-lab.jp/nago/report/?year=2022&month=04&date=20
A,磐田,L,1,2,0.46,1.094,10,13,2,4,0,0,550,515,14,12,8,12,3,0,2,6,26,14,7,9,19,13,19,25,4,2,0,3,0,1,0,0,42,50,4,14,"115,302m","116,624m",155,131,117,120,8.5%,10.8%,51.8%,48.2%,https://www.football-lab.jp/nago/report/?year=2022&month=04&date=28
H,京都,D,1,1,1.918,0.631,17,8,1,1,0,0,352,405,24,13,13,8,1,2,13,5,30,16,17,7,25,14,21,32,3,2,2,1,1,1,0,0,35,34,12,10,"110,843m","113,820m",191,218,129,111,13.2%,7.2%,47.6%,52.4%,https://www.football-lab.jp/nago/report/?year=2022&month=05&date=03
A,横浜FM,L,1,2,1.047,1.403,10,15,3,5,0,0,313,554,14,7,16,14,2,6,9,6,25,21,10,9,23,11,18,20,0,0,6,2,1,1,0,0,24,46,5,7,"116,644m","116,653m",228,206,113,115,8.8%,13.0%,40.1%,59.9%,https://www.football-lab.jp/nago/report/?year=2022&month=05&date=07
H,Ｃ大阪,W,1,0,0.506,0.711,7,10,1,2,0,0,460,585,8,17,11,7,0,4,2,6,14,29,12,8,30,16,25,9,2,3,4,0,1,1,0,0,31,55,4,9,"118,723m","118,124m",197,195,123,129,5.7%,7.8%,46%,54%,https://www.football-lab.jp/nago/report/?year=2022&month=05&date=14
A,清水,W,2,1,0.861,1.386,14,17,7,4,0,0,420,555,13,20,9,7,0,1,7,2,38,24,16,11,11,17,19,25,1,3,1,0,0,1,0,0,27,45,9,13,"116,479m","115,034m",190,178,121,103,11.6%,16.5%,43.8%,56.2%,https://www.football-lab.jp/nago/report/?year=2022&month=05&date=21
H,福岡,W,1,0,1.023,0.473,7,9,1,0,0,0,229,556,5,32,16,8,1,0,3,4,23,32,5,21,12,13,43,6,1,1,0,1,0,3,1,0,10,63,3,11,"109,735m","109,386m",158,157,120,121,5.8%,7.4%,37%,63%,https://www.football-lab.jp/nago/report/?year=2022&month=05&date=25
A,広島,L,0,1,0.571,1.377,10,17,1,6,0,0,443,399,17,9,16,14,1,1,4,5,27,26,11,14,23,22,22,23,3,0,1,1,0,1,0,0,29,39,13,13,"111,079m","109,997m",197,188,127,126,7.9%,13.5%,53.2%,46.8%,https://www.football-lab.jp/nago/report/?year=2022&month=05&date=28
A,浦和,L,0,3,0.582,2.193,9,16,1,5,0,0,442,407,16,10,8,13,0,3,7,10,10,19,14,15,16,20,19,16,1,2,3,0,2,1,0,0,37,45,9,13,"111,499m","115,664m",196,228,104,109,8.7%,14.7%,49%,51%,https://www.football-lab.jp/nago/report/?year=2022&month=06&date=18
H,鹿島,D,1,1,2.147,1.654,17,13,8,1,1,0,471,354,13,9,16,9,2,1,5,2,19,14,13,3,11,13,11,18,0,4,1,2,1,2,0,0,51,22,14,6,"108,741m","109,850m",149,164,113,100,15.0%,13.0%,56.2%,43.8%,https://www.football-lab.jp/nago/report/?year=2022&month=06&date=26
A,湘南,D,0,0,0.48,1.005,10,12,3,3,0,0,421,460,8,15,8,8,3,1,2,7,17,24,10,8,17,14,38,14,0,3,1,3,0,0,0,0,22,41,6,10,"110,616m","111,904m",172,208,103,108,9.7%,11.1%,49.8%,50.2%,https://www.football-lab.jp/nago/report/?year=2022&month=07&date=02
