HOME/AWAY,Opponent,勝敗,tosu_得点,tosu_失点,Opponent_ゴール期待値,tosu_ゴール期待値,Opponent_シュート,tosu_シュート,Opponent_枠内シュート,tosu_枠内シュート,Opponent_PKによるシュート,tosu_PKによるシュート,Opponent_パス,tosu_パス,Opponent_クロス,tosu_クロス,Opponent_直接ＦＫ,tosu_直接ＦＫ,Opponent_間接ＦＫ,tosu_間接ＦＫ,Opponent_ＣＫ,tosu_ＣＫ,Opponent_スローイン,tosu_スローイン,Opponent_ドリブル,tosu_ドリブル,Opponent_タックル,tosu_タックル,Opponent_クリア,tosu_クリア,Opponent_インターセプト,tosu_インターセプト,Opponent_オフサイド,tosu_オフサイド,Opponent_警告,tosu_警告,Opponent_退場,tosu_退場,Opponent_３０ｍライン進入,tosu_３０ｍライン進入,Opponent_ペナルティエリア進入,tosu_ペナルティエリア進入,Opponent_総移動距離,tosu_総移動距離,Opponent_スプリント,tosu_スプリント,Opponent_攻撃回数,tosu_攻撃回数,Opponent_チャンス構築率,tosu_チャンス構築率,Opponent_ボール保持率,tosu_ボール保持率,URL
A,広島,D,0,0,0.545,0.664,7,8,0,3,0,0,433,659,7,19,11,7,0,3,1,10,32,27,7,6,24,21,27,9,0,3,3,0,0,0,0,0,28,58,5,13,"118,300m","125,268m",210,230,125,126,5.6%,6.3%,43%,57%,https://www.football-lab.jp/tosu/report/?year=2022&month=02&date=19
H,湘南,D,1,1,0.822,1.183,10,10,2,1,0,0,438,579,16,13,16,12,0,1,5,4,24,18,6,4,25,13,14,25,7,2,1,0,1,0,0,0,34,39,13,7,"125,221m","126,584m",207,207,129,125,7.8%,8.0%,44.5%,55.5%,https://www.football-lab.jp/tosu/report/?year=2022&month=02&date=26
A,名古屋,D,1,1,1.348,0.846,13,7,6,2,0,0,452,642,11,9,17,8,6,0,8,3,27,20,6,7,21,24,11,26,3,5,0,6,1,1,0,0,21,54,10,10,"126,407m","132,265m",229,222,137,119,9.5%,5.9%,43.7%,56.3%,https://www.football-lab.jp/tosu/report/?year=2022&month=03&date=06
H,浦和,W,1,0,1.003,1.117,13,14,2,2,0,0,505,478,22,18,15,4,2,0,4,6,26,29,12,11,16,29,18,29,1,2,0,2,0,1,0,0,33,44,7,15,"117,194m","126,039m",193,235,131,134,9.9%,10.4%,52.1%,47.9%,https://www.football-lab.jp/tosu/report/?year=2022&month=03&date=13
A,横浜FM,D,0,0,1.102,0.783,13,9,3,2,0,0,394,349,5,17,17,14,2,2,2,5,41,43,6,7,33,25,22,16,1,3,2,2,0,1,0,0,18,22,4,9,"123,591m","126,273m",181,184,170,167,7.6%,5.4%,51%,49%,https://www.football-lab.jp/tosu/report/?year=2022&month=03&date=18
A,福岡,D,0,0,1.138,0.495,11,6,2,1,0,0,306,618,15,15,13,13,4,1,6,3,22,20,15,7,21,18,25,26,3,4,1,2,2,2,0,0,29,62,6,10,"115,921m","121,158m",217,240,115,108,9.6%,5.6%,38.7%,61.3%,https://www.football-lab.jp/tosu/report/?year=2022&month=04&date=01
H,札幌,W,5,0,0.605,1.659,8,15,1,7,0,0,623,536,10,18,17,10,1,1,1,2,19,20,13,6,12,12,20,17,3,5,1,1,0,1,0,0,40,47,9,11,"121,101m","130,071m",162,280,114,107,7.0%,14.0%,53.9%,46.1%,https://www.football-lab.jp/tosu/report/?year=2022&month=04&date=06
A,京都,L,1,3,1.148,1.387,11,10,4,3,0,1,289,570,8,15,9,14,4,2,4,3,17,29,8,8,16,23,20,7,3,3,2,4,3,1,0,0,36,45,14,12,"117,100m","115,148m",225,197,108,122,10.2%,8.2%,40.1%,59.9%,https://www.football-lab.jp/tosu/report/?year=2022&month=04&date=10
H,清水,D,0,0,0.723,0.844,7,13,3,2,0,0,391,537,4,14,6,7,2,1,2,5,27,22,7,13,14,24,26,11,3,1,1,2,0,0,0,0,22,42,7,10,"116,302m","123,071m",201,239,115,115,6.1%,11.3%,43.5%,56.5%,https://www.football-lab.jp/tosu/report/?year=2022&month=04&date=17
A,柏,W,4,1,1.357,1.704,15,14,5,5,0,0,429,448,12,12,14,15,0,0,4,7,35,36,17,9,19,18,24,28,1,1,0,0,0,2,0,0,29,30,8,8,"118,333m","128,020m",211,262,136,140,11.0%,10.0%,50.2%,49.8%,https://www.football-lab.jp/tosu/report/?year=2022&month=04&date=29
H,Ｃ大阪,D,1,1,1.596,0.758,12,14,6,5,1,0,354,565,12,22,10,7,2,1,3,11,22,25,9,26,20,22,36,18,0,3,1,2,1,1,0,0,26,49,11,20,"117,270m","122,894m",204,248,116,123,10.3%,11.4%,43.6%,56.4%,https://www.football-lab.jp/tosu/report/?year=2022&month=05&date=03
A,FC東京,W,1,0,0.469,1.16,8,9,2,3,0,0,482,333,12,21,17,8,3,3,3,9,35,25,11,9,16,13,28,29,2,4,2,3,3,2,0,0,28,26,8,8,"106,654m","118,267m",197,253,118,102,6.8%,8.8%,59%,41%,https://www.football-lab.jp/tosu/report/?year=2022&month=05&date=08
A,神戸,L,0,4,1.303,1.208,11,12,6,3,0,0,382,633,8,15,9,11,4,2,0,6,16,20,11,12,9,11,22,8,5,1,2,4,0,0,0,0,22,60,13,16,"118,466m","120,526m",182,209,106,102,10.4%,11.8%,43.7%,56.3%,https://www.football-lab.jp/tosu/report/?year=2022&month=05&date=14
H,川崎Ｆ,D,0,0,1.161,0.857,15,10,4,0,0,0,423,530,15,17,16,10,3,2,5,2,14,14,9,10,24,26,16,17,1,1,2,3,0,2,1,0,39,36,18,10,"110,391m","120,795m",185,229,117,108,12.8%,9.3%,46.9%,53.1%,https://www.football-lab.jp/tosu/report/?year=2022&month=05&date=21
