HOME/AWAY,Opponent,勝敗,fctk_得点,fctk_失点,fctk_ゴール期待値,Opponent_ゴール期待値,fctk_シュート,Opponent_シュート,fctk_枠内シュート,Opponent_枠内シュート,fctk_PKによるシュート,Opponent_PKによるシュート,fctk_パス,Opponent_パス,fctk_クロス,Opponent_クロス,fctk_直接ＦＫ,Opponent_直接ＦＫ,fctk_間接ＦＫ,Opponent_間接ＦＫ,fctk_ＣＫ,Opponent_ＣＫ,fctk_スローイン,Opponent_スローイン,fctk_ドリブル,Opponent_ドリブル,fctk_タックル,Opponent_タックル,fctk_クリア,Opponent_クリア,fctk_インターセプト,Opponent_インターセプト,fctk_オフサイド,Opponent_オフサイド,fctk_警告,Opponent_警告,fctk_退場,Opponent_退場,fctk_３０ｍライン進入,Opponent_３０ｍライン進入,fctk_ペナルティエリア進入,Opponent_ペナルティエリア進入,fctk_総移動距離,Opponent_総移動距離,fctk_スプリント,Opponent_スプリント,fctk_攻撃回数,Opponent_攻撃回数,fctk_チャンス構築率,Opponent_チャンス構築率,fctk_ボール保持率,Opponent_ボール保持率,URL
H,浦和,W,2,0,0.819,0.168,10,4,3,0,0,0,496,464,13,10,11,15,3,0,2,0,23,31,15,12,31,29,21,20,4,3,0,3,1,2,0,0,33,34,11,4,"119,891m","117,913m",163,167,122,128,8.2%,3.1%,51.3%,48.7%,https://www.football-lab.jp/fctk/report/?year=2023&month=02&date=18
A,柏,D,1,1,1.636,0.818,18,5,4,3,0,0,379,361,11,4,21,16,3,1,3,2,26,26,14,12,36,21,15,21,3,5,0,3,6,0,1,0,29,18,9,8,"110,262m","113,434m",127,103,137,129,13.1%,3.9%,50.8%,49.2%,https://www.football-lab.jp/fctk/report/?year=2023&month=02&date=26
A,京都,L,0,2,0.974,1.409,6,8,1,3,0,1,364,330,9,14,21,10,3,1,6,5,27,20,16,11,18,24,14,18,1,2,1,2,0,1,0,0,27,27,10,9,"109,256m","117,492m",130,150,135,124,4.4%,6.5%,51.9%,48.1%,https://www.football-lab.jp/fctk/report/?year=2023&month=03&date=04
H,横浜FC,W,3,1,2.142,1.214,16,12,6,6,0,0,444,556,11,17,13,12,2,1,6,6,25,23,13,12,33,29,19,15,4,3,1,2,1,2,0,0,29,36,16,9,"119,923m","119,869m",148,125,129,124,12.4%,9.7%,47%,53%,https://www.football-lab.jp/fctk/report/?year=2023&month=03&date=12
A,名古屋,D,0,0,0.382,0.543,7,6,0,1,0,0,571,380,10,11,20,10,3,0,5,2,21,26,9,8,20,21,17,16,4,4,0,3,3,1,0,0,36,28,6,7,"109,998m","112,409m",116,132,115,109,6.1%,5.5%,59.8%,40.2%,https://www.football-lab.jp/fctk/report/?year=2023&month=03&date=18
A,鳥栖,L,0,1,0.18,0.574,4,8,1,3,0,0,532,460,16,23,17,12,4,4,3,4,32,24,17,17,25,22,16,17,4,3,4,4,0,1,0,0,24,38,11,14,"114,460m","124,333m",146,165,143,137,2.8%,5.8%,53.8%,46.2%,https://www.football-lab.jp/fctk/report/?year=2023&month=04&date=01
H,湘南,D,2,2,1.18,3.327,11,19,7,9,0,0,369,465,9,21,19,12,0,2,7,12,27,35,16,12,16,26,40,19,1,0,2,0,0,3,0,0,21,49,8,19,"114,741m","118,652m",146,147,135,141,8.1%,13.5%,46.3%,53.7%,https://www.football-lab.jp/fctk/report/?year=2023&month=04&date=09
H,Ｃ大阪,L,1,2,0.605,1.407,10,15,3,4,0,0,512,419,16,13,16,11,0,3,6,5,25,26,13,6,20,19,11,22,2,3,3,0,0,1,0,0,46,39,9,10,"114,677m","114,177m",128,124,124,114,8.1%,13.2%,54.1%,45.9%,https://www.football-lab.jp/fctk/report/?year=2023&month=04&date=15
A,広島,W,2,1,0.229,1.132,3,12,3,2,0,0,301,456,4,26,19,20,3,3,0,8,12,33,7,15,11,21,41,5,5,2,3,3,2,2,0,0,12,46,4,17,"113,151m","107,511m",134,125,111,138,2.7%,8.7%,45.6%,54.4%,https://www.football-lab.jp/fctk/report/?year=2023&month=04&date=22
H,新潟,W,2,1,1.356,0.355,8,8,5,3,1,0,460,659,12,17,11,6,2,3,3,2,17,24,8,10,13,20,19,14,3,1,3,2,1,3,0,0,34,46,9,10,"123,621m","119,705m",140,131,112,111,7.1%,7.2%,41.5%,58.5%,https://www.football-lab.jp/fctk/report/?year=2023&month=04&date=29
A,福岡,L,0,1,0.07,1.529,2,15,0,4,0,0,571,333,9,10,13,13,1,1,2,3,35,27,7,12,20,29,13,22,2,2,1,1,2,2,0,0,35,32,6,13,"109,096m","106,531m",113,132,136,124,1.5%,12.1%,57.7%,42.3%,https://www.football-lab.jp/fctk/report/?year=2023&month=05&date=03
A,札幌,L,1,5,1.732,3.773,15,20,5,10,0,1,439,456,9,13,14,14,1,2,3,2,22,20,14,10,22,19,20,17,0,5,1,1,2,1,0,0,35,45,6,25,"113,007m","115,859m",121,144,127,128,11.8%,15.6%,48.9%,51.1%,https://www.football-lab.jp/fctk/report/?year=2023&month=05&date=06
