HOME/AWAY,Opponent,勝敗,fuku_得点,fuku_失点,Opponent_ゴール期待値,fuku_ゴール期待値,Opponent_シュート,fuku_シュート,Opponent_枠内シュート,fuku_枠内シュート,Opponent_PKによるシュート,fuku_PKによるシュート,Opponent_パス,fuku_パス,Opponent_クロス,fuku_クロス,Opponent_直接ＦＫ,fuku_直接ＦＫ,Opponent_間接ＦＫ,fuku_間接ＦＫ,Opponent_ＣＫ,fuku_ＣＫ,Opponent_スローイン,fuku_スローイン,Opponent_ドリブル,fuku_ドリブル,Opponent_タックル,fuku_タックル,Opponent_クリア,fuku_クリア,Opponent_インターセプト,fuku_インターセプト,Opponent_オフサイド,fuku_オフサイド,Opponent_警告,fuku_警告,Opponent_退場,fuku_退場,Opponent_３０ｍライン進入,fuku_３０ｍライン進入,Opponent_ペナルティエリア進入,fuku_ペナルティエリア進入,Opponent_総移動距離,fuku_総移動距離,Opponent_スプリント,fuku_スプリント,Opponent_攻撃回数,fuku_攻撃回数,Opponent_チャンス構築率,fuku_チャンス構築率,Opponent_ボール保持率,fuku_ボール保持率,URL
A,神戸,L,0,1,0.899,0.813,11,10,4,3,0,0,466,353,17,16,13,11,0,1,6,3,28,27,7,10,10,17,30,28,0,0,1,0,1,2,0,0,29,28,13,7,"112,346m","107,882m",126,128,116,116,9.5%,8.6%,57.2%,42.8%,https://www.football-lab.jp/fuku/report/?year=2023&month=02&date=18
H,Ｃ大阪,W,2,1,0.871,1.269,10,15,6,4,0,0,600,453,12,21,13,6,0,1,4,2,28,23,6,14,12,22,26,18,3,2,1,0,1,2,0,0,39,47,11,15,"116,903m","118,269m",119,124,119,114,8.4%,13.2%,56.8%,43.2%,https://www.football-lab.jp/fuku/report/?year=2023&month=02&date=25
H,柏,W,1,0,0.762,0.702,8,8,2,2,0,0,402,416,6,15,11,12,4,3,4,6,31,34,10,11,15,17,42,22,1,0,3,4,1,0,0,0,28,29,5,6,"111,068m","111,328m",119,110,123,134,6.5%,6.0%,50%,50%,https://www.football-lab.jp/fuku/report/?year=2023&month=03&date=04
A,鹿島,D,0,0,1.092,0.419,14,5,1,0,0,0,411,365,16,17,21,12,0,2,4,1,23,29,13,9,29,15,26,38,2,0,2,0,2,4,1,0,37,33,15,7,"104,851m","108,157m",115,104,121,108,11.6%,4.6%,53.2%,46.8%,https://www.football-lab.jp/fuku/report/?year=2023&month=03&date=12
H,湘南,W,2,1,0.443,1.65,5,15,2,5,0,0,549,353,15,12,10,11,0,2,3,1,25,23,9,7,20,22,24,20,0,1,2,0,2,2,0,0,44,26,12,10,"116,966m","112,530m",112,115,143,136,3.5%,11.0%,58.5%,41.5%,https://www.football-lab.jp/fuku/report/?year=2023&month=03&date=19
A,横浜FC,D,1,1,1.183,1.507,8,9,5,5,1,1,494,333,11,7,15,11,2,1,4,1,31,32,13,9,12,28,19,23,0,3,1,2,3,2,0,0,34,19,5,8,"114,816m","110,756m",101,121,129,121,6.2%,7.4%,58%,42%,https://www.football-lab.jp/fuku/report/?year=2023&month=04&date=01
H,京都,W,2,1,0.695,3.163,10,14,5,5,0,1,293,295,11,11,13,17,1,0,4,5,31,21,6,9,11,19,16,30,0,1,0,1,1,0,0,0,18,26,10,12,"106,706m","100,345m",142,140,111,108,9.0%,13.0%,48.2%,51.8%,https://www.football-lab.jp/fuku/report/?year=2023&month=04&date=09
A,新潟,L,2,3,1.01,1.984,10,12,4,3,0,1,658,308,12,12,15,5,3,1,5,6,13,20,10,12,12,22,23,19,2,3,1,3,0,0,0,0,43,33,4,10,"112,118m","110,180m",87,116,120,119,8.3%,10.1%,62.2%,37.8%,https://www.football-lab.jp/fuku/report/?year=2023&month=04&date=15
A,札幌,D,2,2,1.058,2.116,11,11,2,3,0,1,464,305,20,12,16,6,1,2,5,4,19,24,25,11,19,17,16,24,0,1,2,1,1,2,0,0,45,19,13,11,"106,925m","104,526m",114,122,122,107,9.0%,10.3%,56.9%,43.1%,https://www.football-lab.jp/fuku/report/?year=2023&month=04&date=23
H,川崎Ｆ,L,1,3,0.956,1.087,11,11,4,3,0,0,603,416,16,12,9,13,0,2,3,2,22,34,8,11,18,20,27,23,1,1,2,0,1,2,0,0,45,24,21,7,"119,364m","114,107m",113,118,115,121,9.6%,9.1%,56.9%,43.1%,https://www.football-lab.jp/fuku/report/?year=2023&month=04&date=29
H,FC東京,W,1,0,0.07,1.529,2,15,0,4,0,0,571,333,9,10,13,13,1,1,2,3,35,27,7,12,20,29,13,22,2,2,1,1,2,2,0,0,35,32,6,13,"109,096m","106,531m",113,132,136,124,1.5%,12.1%,57.7%,42.3%,https://www.football-lab.jp/fuku/report/?year=2023&month=05&date=03
A,広島,L,1,3,1.151,1.436,12,11,4,2,0,0,389,369,11,13,18,14,1,2,3,2,22,19,6,14,15,23,18,15,2,1,2,1,1,2,0,0,37,22,10,11,"107,627m","105,958m",146,151,129,123,9.3%,8.9%,49.7%,50.3%,https://www.football-lab.jp/fuku/report/?year=2023&month=05&date=07
