HOME/AWAY,Opponent,勝敗,kasw_得点,kasw_失点,kasw_ゴール期待値,Opponent_ゴール期待値,kasw_シュート,Opponent_シュート,kasw_枠内シュート,Opponent_枠内シュート,kasw_PKによるシュート,Opponent_PKによるシュート,kasw_パス,Opponent_パス,kasw_クロス,Opponent_クロス,kasw_直接ＦＫ,Opponent_直接ＦＫ,kasw_間接ＦＫ,Opponent_間接ＦＫ,kasw_ＣＫ,Opponent_ＣＫ,kasw_スローイン,Opponent_スローイン,kasw_ドリブル,Opponent_ドリブル,kasw_タックル,Opponent_タックル,kasw_クリア,Opponent_クリア,kasw_インターセプト,Opponent_インターセプト,kasw_オフサイド,Opponent_オフサイド,kasw_警告,Opponent_警告,kasw_退場,Opponent_退場,kasw_３０ｍライン進入,Opponent_３０ｍライン進入,kasw_ペナルティエリア進入,Opponent_ペナルティエリア進入,kasw_総移動距離,Opponent_総移動距離,kasw_スプリント,Opponent_スプリント,kasw_攻撃回数,Opponent_攻撃回数,kasw_チャンス構築率,Opponent_チャンス構築率,kasw_ボール保持率,Opponent_ボール保持率,URL
H,Ｇ大阪,D,2,2,1.92,0.704,15,10,5,4,1,0,411,605,15,3,10,13,2,1,5,3,19,31,20,16,27,15,26,29,2,1,1,1,2,3,0,0,34,31,14,7,"117,971m","119,159m",127,100,105,121,14.3%,8.3%,41.9%,58.1%,https://www.football-lab.jp/kasw/report/?year=2023&month=02&date=18
H,FC東京,D,1,1,0.818,1.636,5,18,3,4,0,0,361,379,4,11,16,21,1,3,2,3,26,26,12,14,21,36,21,15,5,3,3,0,0,6,0,1,18,29,8,9,"113,434m","110,262m",103,127,129,137,3.9%,13.1%,49.2%,50.8%,https://www.football-lab.jp/kasw/report/?year=2023&month=02&date=26
A,福岡,L,0,1,0.762,0.702,8,8,2,2,0,0,402,416,6,15,11,12,4,3,4,6,31,34,10,11,15,17,42,22,1,0,3,4,1,0,0,0,28,29,5,6,"111,068m","111,328m",119,110,123,134,6.5%,6.0%,50%,50%,https://www.football-lab.jp/kasw/report/?year=2023&month=03&date=04
H,名古屋,L,0,3,1.25,0.872,17,12,7,9,0,0,558,451,18,7,7,12,2,1,10,0,20,25,16,12,28,23,18,34,1,1,1,2,2,1,0,0,63,36,14,9,"121,193m","124,641m",147,161,115,117,14.8%,10.3%,55.2%,44.8%,https://www.football-lab.jp/kasw/report/?year=2023&month=03&date=12
A,広島,L,0,1,0.286,0.877,4,12,2,5,0,0,340,559,5,15,13,19,4,0,1,6,27,30,1,11,26,17,28,19,1,2,0,4,2,0,0,0,18,50,3,15,"111,443m","110,229m",118,120,125,133,3.2%,9.0%,43.2%,56.8%,https://www.football-lab.jp/kasw/report/?year=2023&month=03&date=19
H,浦和,L,0,3,0.608,1.197,9,9,2,5,0,0,354,561,9,13,11,14,1,2,6,3,27,33,7,11,19,16,24,14,2,1,2,1,1,2,0,0,23,31,2,4,"116,125m","115,762m",117,127,107,116,8.4%,7.8%,39.9%,60.1%,https://www.football-lab.jp/kasw/report/?year=2023&month=03&date=31
H,鹿島,W,1,0,0.799,1.092,6,12,1,2,0,0,325,568,16,16,9,15,2,2,5,4,16,39,13,13,19,19,32,15,4,0,2,2,3,1,0,0,29,46,8,10,"118,734m","117,230m",138,138,124,137,4.8%,8.8%,40.1%,59.9%,https://www.football-lab.jp/kasw/report/?year=2023&month=04&date=09
A,鳥栖,D,1,1,2.162,0.819,24,10,9,4,0,0,494,537,23,10,9,6,1,2,9,6,26,20,10,7,22,11,21,27,1,0,2,1,0,1,0,0,44,23,17,9,"117,463m","123,302m",131,99,118,111,20.3%,9.0%,50.9%,49.1%,https://www.football-lab.jp/kasw/report/?year=2023&month=04&date=15
A,Ｃ大阪,L,0,1,0.628,0.969,8,10,2,2,0,0,535,386,18,10,9,13,4,3,7,4,24,22,11,4,18,10,17,26,1,1,3,4,3,1,0,0,42,18,8,5,"111,030m","114,816m",108,105,119,119,6.7%,8.4%,53.8%,46.2%,https://www.football-lab.jp/kasw/report/?year=2023&month=04&date=23
H,京都,D,1,1,1.579,0.645,15,8,4,3,0,0,336,333,23,15,16,12,2,3,3,10,31,33,9,16,15,17,35,33,0,0,3,2,3,4,0,0,31,25,13,9,"109,850m","116,929m",128,133,133,140,11.3%,5.7%,50.3%,49.7%,https://www.football-lab.jp/kasw/report/?year=2023&month=04&date=29
