HOME/AWAY,Opponent,勝敗,kobe_得点,kobe_失点,kobe_ゴール期待値,Opponent_ゴール期待値,kobe_シュート,Opponent_シュート,kobe_枠内シュート,Opponent_枠内シュート,kobe_PKによるシュート,Opponent_PKによるシュート,kobe_パス,Opponent_パス,kobe_クロス,Opponent_クロス,kobe_直接ＦＫ,Opponent_直接ＦＫ,kobe_間接ＦＫ,Opponent_間接ＦＫ,kobe_ＣＫ,Opponent_ＣＫ,kobe_スローイン,Opponent_スローイン,kobe_ドリブル,Opponent_ドリブル,kobe_タックル,Opponent_タックル,kobe_クリア,Opponent_クリア,kobe_インターセプト,Opponent_インターセプト,kobe_オフサイド,Opponent_オフサイド,kobe_警告,Opponent_警告,kobe_退場,Opponent_退場,kobe_３０ｍライン進入,Opponent_３０ｍライン進入,kobe_ペナルティエリア進入,Opponent_ペナルティエリア進入,kobe_総移動距離,Opponent_総移動距離,kobe_スプリント,Opponent_スプリント,kobe_攻撃回数,Opponent_攻撃回数,kobe_チャンス構築率,Opponent_チャンス構築率,kobe_ボール保持率,Opponent_ボール保持率,URL
H,福岡,W,1,0,0.899,0.813,11,10,4,3,0,0,466,353,17,16,13,11,0,1,6,3,28,27,7,10,10,17,30,28,0,0,1,0,1,2,0,0,29,28,13,7,"112,346m","107,882m",126,128,116,116,9.5%,8.6%,57.2%,42.8%,https://www.football-lab.jp/kobe/report/?year=2023&month=02&date=18
A,札幌,W,3,1,2.659,1.683,19,13,9,5,0,1,308,529,13,13,16,8,4,0,3,2,17,38,9,10,14,16,34,15,4,2,0,4,0,1,0,0,21,30,15,14,"118,131m","111,468m",130,97,132,140,14.4%,9.3%,42.1%,57.9%,https://www.football-lab.jp/kobe/report/?year=2023&month=02&date=25
H,Ｇ大阪,W,4,0,1.234,0.276,12,6,5,0,0,0,357,588,15,9,15,8,1,0,2,3,26,22,14,10,21,18,17,22,8,1,0,1,1,1,0,0,30,36,12,7,"120,408m","114,036m",118,114,128,128,9.4%,4.7%,40.3%,59.7%,https://www.football-lab.jp/kobe/report/?year=2023&month=03&date=04
H,浦和,L,0,1,1.206,0.902,11,9,3,1,0,0,463,346,19,4,12,9,3,3,11,4,24,26,12,13,14,15,11,25,3,0,3,3,1,1,0,0,41,19,17,6,"110,959m","108,509m",130,117,117,112,9.4%,8.0%,55.8%,44.2%,https://www.football-lab.jp/kobe/report/?year=2023&month=03&date=11
A,鳥栖,W,1,0,0.92,0.389,14,3,4,1,0,0,393,563,25,12,8,8,2,3,6,3,24,24,13,10,14,29,19,17,0,1,3,2,0,1,0,0,44,22,15,4,"120,266m","122,786m",135,111,127,128,11.0%,2.3%,44%,56%,https://www.football-lab.jp/kobe/report/?year=2023&month=03&date=18
A,京都,W,3,0,1.561,1.821,12,15,5,2,0,0,395,380,25,16,15,10,2,2,1,5,31,32,12,20,21,13,32,24,3,0,2,2,1,2,0,0,39,35,19,13,"110,258m","111,506m",101,110,133,131,9.0%,11.5%,50.6%,49.4%,https://www.football-lab.jp/kobe/report/?year=2023&month=04&date=01
H,新潟,D,0,0,0.738,0.623,11,11,4,0,0,0,408,640,23,13,10,11,1,1,4,6,18,22,18,14,14,14,15,19,3,1,1,1,2,2,0,0,42,46,11,12,"119,379m","116,040m",122,114,110,119,10.0%,9.2%,42.8%,57.2%,https://www.football-lab.jp/kobe/report/?year=2023&month=04&date=09
A,鹿島,W,5,1,2.935,1.053,18,10,10,2,1,0,410,427,22,12,10,12,1,1,7,5,20,27,13,9,24,13,21,22,1,2,1,1,3,1,0,0,36,41,14,9,"120,190m","115,428m",137,139,127,125,14.2%,8.0%,50.1%,49.9%,https://www.football-lab.jp/kobe/report/?year=2023&month=04&date=15
H,横浜FM,L,2,3,1.617,0.712,13,11,4,4,0,0,382,546,31,14,9,16,2,7,6,9,30,16,11,13,11,11,28,36,4,0,7,2,2,0,0,0,32,33,15,11,"121,424m","120,907m",139,134,111,113,11.7%,9.7%,45.6%,54.4%,https://www.football-lab.jp/kobe/report/?year=2023&month=04&date=22
H,湘南,W,2,0,1.46,0.958,17,13,8,6,0,0,317,389,14,20,9,6,2,4,6,10,26,37,13,5,10,14,32,17,5,0,4,2,2,0,0,0,34,35,10,12,"110,822m","111,456m",126,133,126,134,13.5%,9.7%,48.8%,51.2%,https://www.football-lab.jp/kobe/report/?year=2023&month=04&date=29
