HOME/AWAY,Opponent,勝敗,shon_得点,shon_失点,Opponent_ゴール期待値,shon_ゴール期待値,Opponent_シュート,shon_シュート,Opponent_枠内シュート,shon_枠内シュート,Opponent_PKによるシュート,shon_PKによるシュート,Opponent_パス,shon_パス,Opponent_クロス,shon_クロス,Opponent_直接ＦＫ,shon_直接ＦＫ,Opponent_間接ＦＫ,shon_間接ＦＫ,Opponent_ＣＫ,shon_ＣＫ,Opponent_スローイン,shon_スローイン,Opponent_ドリブル,shon_ドリブル,Opponent_タックル,shon_タックル,Opponent_クリア,shon_クリア,Opponent_インターセプト,shon_インターセプト,Opponent_オフサイド,shon_オフサイド,Opponent_警告,shon_警告,Opponent_退場,shon_退場,Opponent_３０ｍライン進入,shon_３０ｍライン進入,Opponent_ペナルティエリア進入,shon_ペナルティエリア進入,Opponent_総移動距離,shon_総移動距離,Opponent_スプリント,shon_スプリント,Opponent_攻撃回数,shon_攻撃回数,Opponent_チャンス構築率,shon_チャンス構築率,Opponent_ボール保持率,shon_ボール保持率,URL
A,鳥栖,W,5,1,1.652,2.302,12,21,2,14,0,0,581,334,12,13,12,11,2,3,3,5,28,24,14,6,26,27,20,19,2,5,3,2,1,1,0,0,37,40,11,14,"126,784m","128,359m",146,174,127,126,9.4%,16.7%,60.9%,39.1%,https://www.football-lab.jp/shon/report/?year=2023&month=02&date=18
H,横浜FC,D,2,2,1.754,1.967,22,24,7,6,0,0,462,297,18,10,12,9,3,2,9,9,25,17,18,11,20,13,17,26,0,2,2,3,0,2,0,0,32,30,16,16,"123,771m","121,420m",150,156,134,121,16.4%,19.8%,58.2%,41.8%,https://www.football-lab.jp/shon/report/?year=2023&month=02&date=24
A,川崎Ｆ,D,1,1,0.886,1.145,10,13,2,3,0,0,498,420,17,23,13,11,4,1,0,8,25,33,5,13,19,18,34,16,2,1,1,5,2,2,0,0,43,44,17,17,"109,184m","116,435m",148,145,118,136,8.5%,9.6%,54.6%,45.4%,https://www.football-lab.jp/shon/report/?year=2023&month=03&date=04
H,京都,L,0,2,1.325,1.819,12,18,6,5,0,0,272,446,13,18,11,15,4,3,4,7,25,29,9,10,25,10,24,14,0,2,3,2,0,1,0,0,26,43,9,13,"115,805m","113,497m",180,146,120,140,10.0%,12.9%,41.9%,58.1%,https://www.football-lab.jp/shon/report/?year=2023&month=03&date=12
A,福岡,L,1,2,1.65,0.443,15,5,5,2,0,0,353,549,12,15,11,10,2,0,1,3,23,25,7,9,22,20,20,24,1,0,0,2,2,2,0,0,26,44,10,12,"112,530m","116,966m",115,112,136,143,11.0%,3.5%,41.5%,58.5%,https://www.football-lab.jp/shon/report/?year=2023&month=03&date=19
H,Ｇ大阪,W,4,1,2.326,1.85,20,14,5,6,1,0,564,462,17,17,9,9,0,2,9,4,23,18,25,6,23,25,15,21,1,1,2,0,0,0,0,0,47,35,12,11,"121,838m","128,204m",135,158,149,145,13.4%,9.7%,54.8%,45.2%,https://www.football-lab.jp/shon/report/?year=2023&month=04&date=01
A,FC東京,D,2,2,1.18,3.327,11,19,7,9,0,0,369,465,9,21,19,12,0,2,7,12,27,35,16,12,16,26,40,19,1,0,2,0,0,3,0,0,21,49,8,19,"114,741m","118,652m",146,147,135,141,8.1%,13.5%,46.3%,53.7%,https://www.football-lab.jp/shon/report/?year=2023&month=04&date=09
H,横浜FM,D,1,1,1.714,1.809,17,14,10,4,0,0,553,376,16,22,19,12,1,4,2,9,24,24,15,7,15,22,28,12,1,1,4,1,1,3,0,0,43,38,15,17,"118,644m","122,018m",117,150,135,133,12.6%,10.5%,55.9%,44.1%,https://www.football-lab.jp/shon/report/?year=2023&month=04&date=15
A,名古屋,D,2,2,2.856,1.725,16,11,8,3,0,1,259,492,6,24,19,9,1,5,5,6,23,33,5,13,19,13,38,19,2,2,5,1,4,3,0,0,14,47,6,11,"120,580m","121,010m",147,159,123,123,13.0%,8.9%,39.8%,60.2%,https://www.football-lab.jp/shon/report/?year=2023&month=04&date=23
A,神戸,L,0,2,1.46,0.958,17,13,8,6,0,0,317,389,14,20,9,6,2,4,6,10,26,37,13,5,10,14,32,17,5,0,4,2,2,0,0,0,34,35,10,12,"110,822m","111,456m",126,133,126,134,13.5%,9.7%,48.8%,51.2%,https://www.football-lab.jp/shon/report/?year=2023&month=04&date=29
