HOME/AWAY,Opponent,勝敗,uraw_得点,uraw_失点,Opponent_ゴール期待値,uraw_ゴール期待値,Opponent_シュート,uraw_シュート,Opponent_枠内シュート,uraw_枠内シュート,Opponent_PKによるシュート,uraw_PKによるシュート,Opponent_パス,uraw_パス,Opponent_クロス,uraw_クロス,Opponent_直接ＦＫ,uraw_直接ＦＫ,Opponent_間接ＦＫ,uraw_間接ＦＫ,Opponent_ＣＫ,uraw_ＣＫ,Opponent_スローイン,uraw_スローイン,Opponent_ドリブル,uraw_ドリブル,Opponent_タックル,uraw_タックル,Opponent_クリア,uraw_クリア,Opponent_インターセプト,uraw_インターセプト,Opponent_オフサイド,uraw_オフサイド,Opponent_警告,uraw_警告,Opponent_退場,uraw_退場,Opponent_３０ｍライン進入,uraw_３０ｍライン進入,Opponent_ペナルティエリア進入,uraw_ペナルティエリア進入,Opponent_総移動距離,uraw_総移動距離,Opponent_スプリント,uraw_スプリント,Opponent_攻撃回数,uraw_攻撃回数,Opponent_チャンス構築率,uraw_チャンス構築率,Opponent_ボール保持率,uraw_ボール保持率,URL,Opponent_гӮҙгғјгғ«жңҹеҫ…еҖӨ,uraw_гӮҙгғјгғ«жңҹеҫ…еҖӨ,Opponent_гӮ·гғҘгғјгғҲ,uraw_гӮ·гғҘгғјгғҲ,Opponent_жһ еҶ…гӮ·гғҘгғјгғҲ,uraw_жһ еҶ…гӮ·гғҘгғјгғҲ,Opponent_PKгҒ«гӮҲгӮӢгӮ·гғҘгғјгғҲ,uraw_PKгҒ«гӮҲгӮӢгӮ·гғҘгғјгғҲ,Opponent_гғ‘гӮ№,uraw_гғ‘гӮ№,Opponent_гӮҜгғӯгӮ№,uraw_гӮҜгғӯгӮ№,Opponent_зӣҙжҺҘпјҰпј«,uraw_зӣҙжҺҘпјҰпј«,Opponent_й–“жҺҘпјҰпј«,uraw_й–“жҺҘпјҰпј«,Opponent_пјЈпј«,uraw_пјЈпј«,Opponent_гӮ№гғӯгғјгӮӨгғі,uraw_гӮ№гғӯгғјгӮӨгғі,Opponent_гғүгғӘгғ–гғ«,uraw_гғүгғӘгғ–гғ«,Opponent_гӮҝгғғгӮҜгғ«,uraw_гӮҝгғғгӮҜгғ«,Opponent_гӮҜгғӘгӮў,uraw_гӮҜгғӘгӮў,Opponent_гӮӨгғігӮҝгғјгӮ»гғ—гғҲ,uraw_гӮӨгғігӮҝгғјгӮ»гғ—гғҲ,Opponent_гӮӘгғ•гӮөгӮӨгғү,uraw_гӮӘгғ•гӮөгӮӨгғү,Opponent_иӯҰе‘Ҡ,uraw_иӯҰе‘Ҡ,Opponent_йҖҖе ҙ,uraw_йҖҖе ҙ,Opponent_пј“пјҗпҪҚгғ©гӮӨгғійҖІе…Ҙ,uraw_пј“пјҗпҪҚгғ©гӮӨгғійҖІе…Ҙ,Opponent_гғҡгғҠгғ«гғҶгӮЈгӮЁгғӘгӮўйҖІе…Ҙ,uraw_гғҡгғҠгғ«гғҶгӮЈгӮЁгғӘгӮўйҖІе…Ҙ,Opponent_з·Ҹз§»еӢ•и·қйӣў,uraw_з·Ҹз§»еӢ•и·қйӣў,Opponent_гӮ№гғ—гғӘгғігғҲ,uraw_гӮ№гғ—гғӘгғігғҲ,Opponent_ж”»ж’ғеӣһж•°,uraw_ж”»ж’ғеӣһж•°,Opponent_гғҒгғЈгғігӮ№ж§ӢзҜүзҺҮ,uraw_гғҒгғЈгғігӮ№ж§ӢзҜүзҺҮ,Opponent_гғңгғјгғ«дҝқжҢҒзҺҮ,uraw_гғңгғјгғ«дҝқжҢҒзҺҮ
A,FC東京,L,0,2,0.819,0.168,10,4,3,0,0,0,496,464,13,10,11,15,3,0,2,0,23,31,15,12,31,29,21,20,4,3,0,3,1,2,0,0,33,34,11,4,"119,891m","117,913m",163,167,122,128,8.2%,3.1%,51.3%,48.7%,https://www.football-lab.jp/uraw/report/?year=2023&month=02&date=18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,横浜FM,L,0,2,2.027,0.566,13,9,5,2,0,0,625,452,24,13,13,5,1,3,13,4,29,17,9,7,22,23,15,26,3,3,3,1,0,2,0,0,40,36,21,8,"127,747m","123,552m",140,164,132,111,9.8%,8.1%,53%,47%,https://www.football-lab.jp/uraw/report/?year=2023&month=02&date=25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,Ｃ大阪,W,2,1,0.606,1.862,8,13,1,5,0,1,509,523,13,7,11,12,4,1,2,1,18,22,9,15,19,14,14,17,1,0,1,4,1,0,0,0,29,41,5,14,"116,921m","117,719m",115,134,107,108,7.5%,12.0%,50.6%,49.4%,https://www.football-lab.jp/uraw/report/?year=2023&month=03&date=04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,神戸,W,1,0,1.206,0.902,11,9,3,1,0,0,463,346,19,4,12,9,3,3,11,4,24,26,12,13,14,15,11,25,3,0,3,3,1,1,0,0,41,19,17,6,"110,959m","108,509m",130,117,117,112,9.4%,8.0%,55.8%,44.2%,https://www.football-lab.jp/uraw/report/?year=2023&month=03&date=11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,新潟,W,2,1,0.278,1.296,6,13,2,4,0,0,578,532,7,13,14,14,0,2,3,5,23,20,7,6,19,22,17,12,2,4,2,0,1,1,0,0,29,31,5,13,"117,170m","117,851m",102,135,109,112,5.5%,11.6%,50.6%,49.4%,https://www.football-lab.jp/uraw/report/?year=2023&month=03&date=18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,柏,W,3,0,0.608,1.197,9,9,2,5,0,0,354,561,9,13,11,14,1,2,6,3,27,33,7,11,19,16,24,14,2,1,2,1,1,2,0,0,23,31,2,4,"116,125m","115,762m",117,127,107,116,8.4%,7.8%,39.9%,60.1%,https://www.football-lab.jp/uraw/report/?year=2023&month=03&date=31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,名古屋,D,0,0,1.236,0.643,16,8,4,2,0,0,417,494,17,9,12,11,2,1,11,2,30,22,14,7,21,20,14,31,1,0,1,2,0,2,0,0,36,33,9,6,"114,083m","113,011m",152,155,132,114,12.1%,7.0%,45.3%,54.7%,https://www.football-lab.jp/uraw/report/?year=2023&month=04&date=09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,札幌,W,4,1,0.578,2.193,8,14,1,5,0,1,323,530,11,13,7,13,2,2,4,2,19,16,12,11,7,16,22,19,1,1,2,2,5,1,1,1,27,61,11,11,"106,608m","112,367m",107,108,98,102,8.2%,13.7%,37.3%,62.7%,https://www.football-lab.jp/uraw/report/?year=2023&month=04&date=15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,川崎Ｆ,D,1,1,0.883,1.271,8,12,2,4,0,0,404,651,11,15,6,14,3,3,4,7,18,23,7,8,19,20,27,10,0,1,3,3,0,0,0,0,34,46,10,16,"119,242m","115,121m",116,131,98,113,8.2%,10.6%,39.9%,60.1%,https://www.football-lab.jp/uraw/report/?year=2023&month=04&date=23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,鳥栖,L,0,2,0.385,2.133,6,23,4,5,0,0,451,620,6,21,7,11,2,3,2,10,18,18,7,13,8,13,33,7,0,3,3,2,0,0,0,0,34,49,6,19,"122,968m","114,802m",106,113,94,109,6.4%,21.1%,41.1%,58.9%,https://www.football-lab.jp/uraw/report/?year=2023&month=05&date=10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,Ｇ大阪,W,3,1,1.362,2.37,16,16,4,6,0,1,379,692,12,16,3,8,1,0,2,9,27,24,11,14,28,22,17,15,4,1,0,1,2,0,0,0,26,58,8,14,"114,729m","112,560m",92,115,108,114,14.8%,14.0%,38.7%,61.3%,https://www.football-lab.jp/uraw/report/?year=2023&month=05&date=14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,福岡,D,0,0,1.076,0.708,11,10,4,2,0,0,368,549,10,13,8,8,2,1,6,4,19,19,14,6,22,19,13,16,3,4,1,2,1,1,0,0,30,30,5,7,"110,227m","111,551m",144,114,115,112,9.6%,8.9%,43.6%,56.4%,https://www.football-lab.jp/uraw/report/?year=2023&month=05&date=20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,京都,W,2,0,1.713,1.02,16,13,5,3,0,0,362,314,14,8,12,17,1,0,6,6,28,19,16,4,8,19,19,26,0,1,0,1,0,3,0,0,26,16,11,6,"110,397m","105,147m",108,99,108,115,14.8%,11.3%,49.9%,50.1%,https://www.football-lab.jp/uraw/report/?year=2023&month=05&date=27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,広島,W,2,1,0.847,1.412,10,15,4,6,0,0,367,456,13,11,10,9,2,1,5,3,26,30,8,13,15,12,30,26,1,3,1,2,1,0,0,0,36,40,11,16,"110,502m","107,128m",117,124,121,117,8.3%,12.8%,44.6%,55.4%,https://www.football-lab.jp/uraw/report/?year=2023&month=05&date=31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,鹿島,D,0,0,0.584,0.95,9,12,3,2,0,0,483,458,18,22,16,10,1,5,6,6,24,19,14,9,14,15,22,18,1,2,5,1,3,3,0,0,32,45,5,11,"112,986m","110,868m",124,114,113,99,8.0%,12.1%,48.6%,51.4%,https://www.football-lab.jp/uraw/report/?year=2023&month=06&date=04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,横浜FC,D,0,0,0.555,1.704,7,18,2,5,0,0,328,594,12,14,7,7,2,1,3,9,23,12,11,14,11,19,18,15,0,0,1,2,2,2,0,0,27,40,8,14,"122,978m","112,776m",171,140,113,107,6.2%,16.8%,41.8%,58.2%,https://www.football-lab.jp/uraw/report/?year=2023&month=06&date=11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,川崎Ｆ,D,1,1,0.74,0.975,12,9,1,5,0,0,568,457,15,19,11,10,1,2,4,5,19,17,11,12,15,13,19,26,3,1,2,1,1,1,1,0,54,52,7,12,"109,413m","112,876m",89,119,107,101,11.2%,8.9%,54.3%,45.7%,https://www.football-lab.jp/uraw/report/?year=2023&month=06&date=24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,湘南,W,4,1,1.308,2.584,10,19,1,10,0,0,415,468,13,15,5,12,2,2,3,3,19,24,7,20,15,13,18,15,2,1,2,2,0,0,0,0,28,45,9,19,"116,655m","113,292m",110,136,114,120,8.8%,15.8%,46.1%,53.9%,https://www.football-lab.jp/uraw/report/?year=2023&month=06&date=28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,鳥栖,W,2,1,0.901,1.381,9,16,3,6,0,0,620,271,23,11,7,10,4,2,5,7,27,16,8,7,5,13,16,28,1,4,2,4,0,0,0,0,39,28,8,14,"121,403m","115,129m",121,150,108,102,8.3%,15.7%,62.6%,37.4%,https://www.football-lab.jp/uraw/report/?year=2023&month=07&date=01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
