HOME/AWAY,Opponent,勝敗,y-fc_得点,y-fc_失点,y-fc_ゴール期待値,Opponent_ゴール期待値,y-fc_シュート,Opponent_シュート,y-fc_枠内シュート,Opponent_枠内シュート,y-fc_PKによるシュート,Opponent_PKによるシュート,y-fc_パス,Opponent_パス,y-fc_クロス,Opponent_クロス,y-fc_直接ＦＫ,Opponent_直接ＦＫ,y-fc_間接ＦＫ,Opponent_間接ＦＫ,y-fc_ＣＫ,Opponent_ＣＫ,y-fc_スローイン,Opponent_スローイン,y-fc_ドリブル,Opponent_ドリブル,y-fc_タックル,Opponent_タックル,y-fc_クリア,Opponent_クリア,y-fc_インターセプト,Opponent_インターセプト,y-fc_オフサイド,Opponent_オフサイド,y-fc_警告,Opponent_警告,y-fc_退場,Opponent_退場,y-fc_３０ｍライン進入,Opponent_３０ｍライン進入,y-fc_ペナルティエリア進入,Opponent_ペナルティエリア進入,y-fc_総移動距離,Opponent_総移動距離,y-fc_スプリント,Opponent_スプリント,y-fc_攻撃回数,Opponent_攻撃回数,y-fc_チャンス構築率,Opponent_チャンス構築率,y-fc_ボール保持率,Opponent_ボール保持率,URL
H,名古屋,L,0,1,1.193,0.82,18,8,1,3,0,0,648,248,19,7,14,13,2,1,9,3,33,13,14,5,23,19,13,44,0,2,1,2,4,1,0,0,47,17,9,6,"120,681m","123,116m",121,144,136,112,13.2%,7.1%,67.7%,32.3%,https://www.football-lab.jp/y-fc/report/?year=2023&month=02&date=18
A,湘南,D,2,2,1.754,1.967,22,24,7,6,0,0,462,297,18,10,12,9,3,2,9,9,25,17,18,11,20,13,17,26,0,2,2,3,0,2,0,0,32,30,16,16,"123,771m","121,420m",150,156,134,121,16.4%,19.8%,58.2%,41.8%,https://www.football-lab.jp/y-fc/report/?year=2023&month=02&date=24
H,鹿島,L,1,3,1.214,1.664,4,19,1,3,1,0,432,323,8,20,10,18,7,1,3,5,31,28,4,18,18,20,27,18,0,7,1,7,2,0,0,0,16,40,6,18,"117,360m","115,108m",134,173,127,121,3.1%,15.7%,53.7%,46.3%,https://www.football-lab.jp/y-fc/report/?year=2023&month=03&date=04
A,FC東京,L,1,3,1.214,2.142,12,16,6,6,0,0,556,444,17,11,12,13,1,2,6,6,23,25,12,13,29,33,15,19,3,4,2,1,2,1,0,0,36,29,9,16,"119,869m","119,923m",125,148,124,129,9.7%,12.4%,53%,47%,https://www.football-lab.jp/y-fc/report/?year=2023&month=03&date=12
H,京都,L,1,4,0.698,1.848,10,15,3,5,0,0,484,315,15,9,15,7,2,4,5,3,28,30,13,6,19,22,13,31,0,1,4,2,1,2,0,0,38,29,10,11,"120,241m","123,047m",110,147,134,121,7.5%,12.4%,59.3%,40.7%,https://www.football-lab.jp/y-fc/report/?year=2023&month=03&date=18
H,福岡,D,1,1,1.183,1.507,8,9,5,5,1,1,494,333,11,7,15,11,2,1,4,1,31,32,13,9,12,28,19,23,0,3,1,2,3,2,0,0,34,19,5,8,"114,816m","110,756m",101,121,129,121,6.2%,7.4%,58%,42%,https://www.football-lab.jp/y-fc/report/?year=2023&month=04&date=01
A,横浜FM,L,0,5,1.309,1.768,16,16,5,8,0,0,456,615,15,16,13,12,5,3,8,3,24,15,21,14,19,23,17,21,1,1,3,5,1,2,0,0,33,46,13,15,"123,934m","122,290m",149,173,124,111,12.9%,14.4%,47.1%,52.9%,https://www.football-lab.jp/y-fc/report/?year=2023&month=04&date=08
H,広島,L,0,3,0.721,3.361,7,33,4,12,0,0,434,439,13,19,12,13,2,3,4,7,23,18,9,9,8,29,25,11,4,3,3,2,2,1,0,0,31,46,9,18,"117,379m","114,701m",137,148,139,133,5.0%,24.8%,50.5%,49.5%,https://www.football-lab.jp/y-fc/report/?year=2023&month=04&date=15
A,Ｇ大阪,D,1,1,0.581,2.567,11,28,4,8,0,0,349,698,10,32,6,8,2,1,4,7,23,22,13,22,19,21,38,10,3,1,1,2,1,1,0,0,27,65,7,36,"120,530m","114,099m",110,112,122,134,9.0%,20.9%,37%,63%,https://www.football-lab.jp/y-fc/report/?year=2023&month=04&date=23
H,札幌,L,1,4,2.33,2.197,12,14,5,6,0,0,317,379,8,12,12,19,2,0,3,8,24,26,10,15,13,11,18,16,2,0,0,2,2,1,0,0,18,25,6,8,"110,068m","109,817m",126,139,125,135,9.6%,10.4%,49.5%,50.5%,https://www.football-lab.jp/y-fc/report/?year=2023&month=04&date=29
