HOME/AWAY,Opponent,勝敗,y-fm_得点,y-fm_失点,Opponent_ゴール期待値,y-fm_ゴール期待値,Opponent_シュート,y-fm_シュート,Opponent_枠内シュート,y-fm_枠内シュート,Opponent_PKによるシュート,y-fm_PKによるシュート,Opponent_パス,y-fm_パス,Opponent_クロス,y-fm_クロス,Opponent_直接ＦＫ,y-fm_直接ＦＫ,Opponent_間接ＦＫ,y-fm_間接ＦＫ,Opponent_ＣＫ,y-fm_ＣＫ,Opponent_スローイン,y-fm_スローイン,Opponent_ドリブル,y-fm_ドリブル,Opponent_タックル,y-fm_タックル,Opponent_クリア,y-fm_クリア,Opponent_インターセプト,y-fm_インターセプト,Opponent_オフサイド,y-fm_オフサイド,Opponent_警告,y-fm_警告,Opponent_退場,y-fm_退場,Opponent_３０ｍライン進入,y-fm_３０ｍライン進入,Opponent_ペナルティエリア進入,y-fm_ペナルティエリア進入,Opponent_総移動距離,y-fm_総移動距離,Opponent_スプリント,y-fm_スプリント,Opponent_攻撃回数,y-fm_攻撃回数,Opponent_チャンス構築率,y-fm_チャンス構築率,Opponent_ボール保持率,y-fm_ボール保持率,URL
A,川崎Ｆ,W,2,1,1.675,1.09,17,9,5,4,0,0,715,359,16,4,16,16,4,2,5,4,25,14,21,6,16,28,14,33,3,2,2,4,1,1,1,0,52,25,13,6,"119,868m","125,529m",141,123,136,128,12.5%,7.0%,63.6%,36.4%,https://www.football-lab.jp/y-fm/report/?year=2023&month=02&date=17
H,浦和,W,2,0,0.566,2.027,9,13,2,5,0,0,452,625,13,24,5,13,3,1,4,13,17,29,7,9,23,22,26,15,3,3,1,3,2,0,0,0,36,40,8,21,"123,552m","127,747m",164,140,111,132,8.1%,9.8%,47%,53%,https://www.football-lab.jp/y-fm/report/?year=2023&month=02&date=25
H,広島,D,1,1,1.747,1.02,14,9,4,5,0,0,403,530,24,19,16,12,3,3,3,9,29,23,7,15,22,20,24,15,2,0,3,3,4,2,0,1,36,39,13,9,"121,815m","124,362m",157,149,139,134,10.1%,6.7%,46.5%,53.5%,https://www.football-lab.jp/y-fm/report/?year=2023&month=03&date=03
A,札幌,L,0,2,1.303,0.615,17,6,6,2,0,0,341,597,13,18,12,16,2,3,7,3,23,28,11,6,10,9,29,16,2,0,3,2,1,0,0,0,34,32,10,11,"112,552m","110,942m",149,117,122,124,13.9%,4.8%,38.4%,61.6%,https://www.football-lab.jp/y-fm/report/?year=2023&month=03&date=12
H,鹿島,W,2,1,1.102,0.811,11,11,4,4,0,0,385,501,24,13,12,13,5,4,4,7,20,30,13,6,24,10,24,25,3,1,4,5,4,2,1,0,40,39,14,9,"117,505m","120,202m",137,94,112,121,9.8%,9.1%,47.5%,52.5%,https://www.football-lab.jp/y-fm/report/?year=2023&month=03&date=18
A,Ｃ大阪,L,1,2,1.09,1.852,10,15,4,3,0,0,310,623,10,22,8,20,7,3,6,5,17,29,8,11,24,21,22,12,4,1,3,6,1,1,0,0,24,40,8,14,"114,560m","116,178m",145,141,125,137,8.0%,10.9%,42.2%,57.8%,https://www.football-lab.jp/y-fm/report/?year=2023&month=04&date=01
H,横浜FC,W,5,0,1.309,1.768,16,16,5,8,0,0,456,615,15,16,13,12,5,3,8,3,24,15,21,14,19,23,17,21,1,1,3,5,1,2,0,0,33,46,13,15,"123,934m","122,290m",149,173,124,111,12.9%,14.4%,47.1%,52.9%,https://www.football-lab.jp/y-fm/report/?year=2023&month=04&date=08
A,湘南,D,1,1,1.809,1.714,14,17,4,10,0,0,376,553,22,16,12,19,4,1,9,2,24,24,7,15,22,15,12,28,1,1,1,4,3,1,0,0,38,43,17,15,"122,018m","118,644m",150,117,133,135,10.5%,12.6%,44.1%,55.9%,https://www.football-lab.jp/y-fm/report/?year=2023&month=04&date=15
A,神戸,W,3,2,1.617,0.712,13,11,4,4,0,0,382,546,31,14,9,16,2,7,6,9,30,16,11,13,11,11,28,36,4,0,7,2,2,0,0,0,32,33,15,11,"121,424m","120,907m",139,134,111,113,11.7%,9.7%,45.6%,54.4%,https://www.football-lab.jp/y-fm/report/?year=2023&month=04&date=22
H,名古屋,D,1,1,1.222,0.667,18,8,6,3,0,0,282,562,17,9,16,16,1,5,11,1,20,20,13,11,24,13,13,24,3,1,5,1,2,1,0,0,34,37,12,6,"108,379m","108,325m",139,110,119,113,15.1%,7.1%,38.7%,61.3%,https://www.football-lab.jp/y-fm/report/?year=2023&month=04&date=29
A,鳥栖,W,3,1,2.701,1.714,25,14,5,4,0,0,495,508,24,10,6,9,1,4,9,0,31,15,13,5,8,18,12,29,4,1,4,1,0,1,0,0,33,31,18,16,"122,802m","119,315m",144,141,122,105,20.5%,13.3%,49%,51%,https://www.football-lab.jp/y-fm/report/?year=2023&month=05&date=03
