HOME/AWAY,Opponent,勝敗,g-os_得点,g-os_失点,Opponent_ゴール期待値,g-os_ゴール期待値,Opponent_シュート,g-os_シュート,Opponent_枠内シュート,g-os_枠内シュート,Opponent_PKによるシュート,g-os_PKによるシュート,Opponent_パス,g-os_パス,Opponent_クロス,g-os_クロス,Opponent_直接ＦＫ,g-os_直接ＦＫ,Opponent_間接ＦＫ,g-os_間接ＦＫ,Opponent_ＣＫ,g-os_ＣＫ,Opponent_スローイン,g-os_スローイン,Opponent_ドリブル,g-os_ドリブル,Opponent_タックル,g-os_タックル,Opponent_クリア,g-os_クリア,Opponent_インターセプト,g-os_インターセプト,Opponent_オフサイド,g-os_オフサイド,Opponent_警告,g-os_警告,Opponent_退場,g-os_退場,Opponent_３０ｍライン進入,g-os_３０ｍライン進入,Opponent_ペナルティエリア進入,g-os_ペナルティエリア進入,Opponent_総移動距離,g-os_総移動距離,Opponent_スプリント,g-os_スプリント,Opponent_攻撃回数,g-os_攻撃回数,Opponent_チャンス構築率,g-os_チャンス構築率,Opponent_ボール保持率,g-os_ボール保持率,URL
A,町田,D,1,1,2.357,1.288,17,15,3,5,1,0,274,558,20,28,11,12,1,1,4,2,20,22,16,13,18,11,34,33,1,0,1,1,3,0,1,0,29,51,12,16,"119,145m","120,895m",137,122,126,123,13.5%,12.2%,38.9%,61.1%,https://www.football-lab.jp/g-os/report/?year=2024&month=02&date=24
H,新潟,W,1,0,0.416,1.982,5,16,1,4,0,1,607,444,3,20,14,10,3,0,2,6,16,27,7,14,16,20,20,16,3,0,0,3,0,2,0,0,18,32,3,13,"111,193m","115,503m",89,106,106,112,4.7%,14.3%,55.9%,44.1%,https://www.football-lab.jp/g-os/report/?year=2024&month=03&date=02
H,磐田,W,2,1,2.238,1.675,18,12,4,6,0,0,550,480,24,14,10,10,0,3,7,1,32,12,11,14,16,29,18,43,4,4,3,0,1,2,0,0,29,40,13,12,"114,506m","113,501m",95,104,123,109,14.6%,11.0%,49.2%,50.8%,https://www.football-lab.jp/g-os/report/?year=2024&month=03&date=16
A,広島,D,1,1,1.631,1.259,21,9,3,3,0,0,508,321,21,11,19,11,2,1,8,3,34,19,13,9,21,20,16,43,1,2,1,2,0,0,0,0,53,18,18,11,"111,805m","113,368m",128,131,140,121,15.0%,7.4%,56.4%,43.6%,https://www.football-lab.jp/g-os/report/?year=2024&month=03&date=30
H,京都,D,0,0,0.719,2.286,14,23,4,2,0,0,391,389,19,12,15,14,3,2,6,6,26,22,13,14,23,17,29,26,3,1,2,3,1,0,0,0,36,34,12,16,"110,377m","109,322m",124,108,133,126,10.5%,18.3%,47.4%,52.6%,https://www.football-lab.jp/g-os/report/?year=2024&month=04&date=03
A,札幌,L,0,1,0.949,1.265,12,13,2,1,0,0,474,420,14,6,15,15,3,0,6,4,15,16,11,8,19,18,14,25,0,1,0,3,1,3,0,0,37,32,11,8,"110,965m","107,389m",102,88,119,118,10.1%,11.0%,51.4%,48.6%,https://www.football-lab.jp/g-os/report/?year=2024&month=04&date=06
A,横浜FM,L,0,2,1.142,1.409,12,22,5,9,0,0,470,419,11,25,10,9,4,4,3,11,15,16,17,24,23,28,33,19,0,0,4,4,2,1,0,0,42,47,15,16,"121,330m","116,308m",137,138,116,127,10.3%,17.3%,51.1%,48.9%,https://www.football-lab.jp/g-os/report/?year=2024&month=04&date=10
H,鳥栖,W,2,1,0.695,3.758,11,28,5,9,0,0,306,651,12,38,7,7,2,1,3,16,9,24,7,22,26,10,47,14,1,1,1,2,2,0,1,0,29,84,8,36,"118,117m","117,201m",105,109,87,109,12.6%,25.7%,37.7%,62.3%,https://www.football-lab.jp/g-os/report/?year=2024&month=04&date=14
A,浦和,W,1,0,0.891,0.359,15,6,4,2,0,0,691,395,15,6,11,9,2,2,11,0,22,11,11,14,21,22,7,26,1,5,2,2,0,0,0,0,63,28,13,8,"119,009m","116,370m",144,100,112,98,13.4%,6.1%,60.8%,39.2%,https://www.football-lab.jp/g-os/report/?year=2024&month=04&date=20
H,鹿島,L,1,2,1.237,0.599,12,7,4,4,0,0,365,478,10,14,18,15,0,2,4,6,19,20,10,19,12,11,25,25,5,2,2,1,4,1,0,0,33,27,6,16,"110,352m","110,204m",138,122,106,105,11.3%,6.7%,45.3%,54.7%,https://www.football-lab.jp/g-os/report/?year=2024&month=04&date=28
