HOME/AWAY,Opponent,勝敗,iwat_得点,iwat_失点,iwat_ゴール期待値,Opponent_ゴール期待値,iwat_シュート,Opponent_シュート,iwat_枠内シュート,Opponent_枠内シュート,iwat_PKによるシュート,Opponent_PKによるシュート,iwat_パス,Opponent_パス,iwat_クロス,Opponent_クロス,iwat_直接ＦＫ,Opponent_直接ＦＫ,iwat_間接ＦＫ,Opponent_間接ＦＫ,iwat_ＣＫ,Opponent_ＣＫ,iwat_スローイン,Opponent_スローイン,iwat_ドリブル,Opponent_ドリブル,iwat_タックル,Opponent_タックル,iwat_クリア,Opponent_クリア,iwat_インターセプト,Opponent_インターセプト,iwat_オフサイド,Opponent_オフサイド,iwat_警告,Opponent_警告,iwat_退場,Opponent_退場,iwat_３０ｍライン進入,Opponent_３０ｍライン進入,iwat_ペナルティエリア進入,Opponent_ペナルティエリア進入,iwat_総移動距離,Opponent_総移動距離,iwat_スプリント,Opponent_スプリント,iwat_攻撃回数,Opponent_攻撃回数,iwat_チャンス構築率,Opponent_チャンス構築率,iwat_ボール保持率,Opponent_ボール保持率,URL
H,神戸,L,0,2,0.324,0.97,7,12,2,5,0,0,459,466,14,33,10,14,1,4,1,8,27,29,9,16,21,23,39,27,4,2,4,1,1,0,0,0,32,45,4,17,"116,646m","119,373m",102,143,129,139,5.4%,8.6%,47.5%,52.5%,https://www.football-lab.jp/iwat/report/?year=2024&month=02&date=24
A,川崎Ｆ,W,5,4,2.226,2.634,9,15,6,8,2,1,310,840,10,15,12,9,3,2,1,7,17,28,5,18,20,12,49,9,0,3,2,2,2,3,0,0,18,76,9,20,"127,628m","117,390m",94,108,113,124,8.0%,12.1%,30.2%,69.8%,https://www.football-lab.jp/iwat/report/?year=2024&month=03&date=01
H,柏,L,0,1,0.927,1.314,10,9,0,3,0,0,486,382,17,9,12,11,0,6,7,8,20,33,11,7,25,22,20,30,0,1,6,0,1,1,0,0,32,33,8,9,"112,931m","113,488m",100,160,124,129,8.1%,7.0%,50.7%,49.3%,https://www.football-lab.jp/iwat/report/?year=2024&month=03&date=09
A,Ｇ大阪,L,1,2,2.238,1.675,18,12,4,6,0,0,550,480,24,14,10,10,0,3,7,1,32,12,11,14,16,29,18,43,4,4,3,0,1,2,0,0,29,40,13,12,"114,506m","113,501m",95,104,123,109,14.6%,11.0%,49.2%,50.8%,https://www.football-lab.jp/iwat/report/?year=2024&month=03&date=16
A,鹿島,L,0,1,1.382,1.815,16,13,4,2,0,1,436,512,27,10,9,11,4,2,4,5,23,20,10,11,9,20,19,33,3,1,1,4,2,1,0,0,45,32,19,11,"109,943m","110,655m",100,125,116,115,13.8%,11.3%,46.8%,53.2%,https://www.football-lab.jp/iwat/report/?year=2024&month=03&date=30
H,新潟,W,2,0,2.171,1.03,18,13,5,4,1,0,343,608,17,13,6,13,1,0,8,5,23,19,10,10,24,10,18,21,1,1,0,1,1,2,0,0,31,40,10,13,"114,024m","113,819m",95,114,115,112,15.7%,11.6%,38.7%,61.3%,https://www.football-lab.jp/iwat/report/?year=2024&month=04&date=03
A,京都,W,3,0,1.806,1.419,16,19,6,4,1,0,272,321,17,20,11,12,1,2,14,9,24,13,12,19,12,12,43,41,0,1,1,1,0,2,0,0,24,36,9,14,"109,496m","106,329m",107,117,117,102,13.7%,18.6%,46.6%,53.4%,https://www.football-lab.jp/iwat/report/?year=2024&month=04&date=07
H,名古屋,L,0,1,1.07,0.499,13,7,1,2,0,0,606,306,23,5,10,19,3,2,6,2,22,9,15,3,15,16,11,34,1,3,2,3,3,2,0,1,44,25,13,5,"112,015m","108,090m",83,100,100,96,13.0%,7.3%,61.7%,38.3%,https://www.football-lab.jp/iwat/report/?year=2024&month=04&date=13
A,福岡,D,2,2,0.853,0.925,8,13,3,3,0,0,354,531,15,23,15,10,1,2,2,4,19,35,6,18,18,14,36,14,2,1,2,1,1,2,0,0,23,39,8,12,"113,154m","113,241m",90,120,119,129,6.7%,10.1%,40%,60%,https://www.football-lab.jp/iwat/report/?year=2024&month=04&date=20
H,町田,W,2,0,1.345,1.493,7,22,4,3,1,0,315,464,7,40,9,11,2,1,4,9,17,34,5,21,18,16,64,17,2,1,1,2,1,1,0,0,22,58,3,21,"113,671m","114,989m",75,110,112,131,6.3%,16.8%,44%,56%,https://www.football-lab.jp/iwat/report/?year=2024&month=04&date=27
A,横浜FM,D,1,1,0.879,3.259,13,24,1,5,0,0,291,574,24,17,13,12,5,3,6,9,13,11,12,19,24,11,39,32,1,2,3,5,1,3,0,0,30,53,15,20,"110,350m","110,591m",98,93,105,103,12.4%,23.3%,37.6%,62.4%,https://www.football-lab.jp/iwat/report/?year=2024&month=05&date=03
A,東京Ｖ,L,2,3,1.812,3.23,11,16,3,8,1,1,460,408,22,11,14,16,1,3,1,12,24,25,10,18,25,16,38,35,2,0,2,0,4,3,1,0,39,32,9,7,"114,748m","121,054m",73,105,114,119,9.6%,13.4%,51.6%,48.4%,https://www.football-lab.jp/iwat/report/?year=2024&month=05&date=06
H,鳥栖,L,0,3,2.707,1.755,18,13,2,7,0,0,449,460,20,18,17,12,1,3,8,5,19,24,14,12,11,13,21,25,0,0,3,0,0,1,0,0,36,36,17,12,"114,254m","116,190m",97,114,115,119,15.7%,10.9%,51.2%,48.8%,https://www.football-lab.jp/iwat/report/?year=2024&month=05&date=11
A,札幌,L,0,1,0.689,1.255,9,16,4,5,0,0,414,425,12,11,20,17,1,1,4,9,25,28,14,14,28,17,27,19,4,1,1,1,0,2,0,0,18,46,7,20,"117,252m","118,722m",115,116,125,129,7.2%,12.4%,49.1%,50.9%,https://www.football-lab.jp/iwat/report/?year=2024&month=05&date=15
H,浦和,D,1,1,0.923,2.197,11,20,2,5,0,0,291,744,18,15,10,13,1,1,3,5,17,16,7,12,27,12,32,18,2,0,1,1,0,0,0,0,24,67,7,16,"116,490m","110,601m",94,106,100,99,11.0%,20.2%,32.5%,67.5%,https://www.football-lab.jp/iwat/report/?year=2024&month=05&date=19
H,湘南,W,3,2,1.514,1.221,13,8,5,4,0,1,407,381,15,10,27,13,1,3,2,6,20,28,4,4,26,17,19,31,2,1,3,1,3,1,0,0,22,36,9,6,"110,179m","112,528m",107,138,115,114,11.3%,7.0%,50.3%,49.7%,https://www.football-lab.jp/iwat/report/?year=2024&month=05&date=25
A,広島,L,0,2,0.983,0.905,10,13,1,4,0,0,436,455,17,20,16,14,1,1,2,5,15,18,13,9,8,12,26,27,2,0,1,1,1,0,0,0,28,54,12,13,"110,792m","111,082m",92,98,115,115,8.7%,11.3%,49.4%,50.6%,https://www.football-lab.jp/iwat/report/?year=2024&month=06&date=01
A,FC東京,D,1,1,0.736,1.723,10,19,5,1,0,0,293,572,16,20,14,23,2,3,3,8,23,21,7,21,21,7,30,22,1,2,3,2,1,2,0,0,29,55,6,8,"113,593m","118,254m",104,97,110,123,9.1%,15.4%,36.6%,63.4%,https://www.football-lab.jp/iwat/report/?year=2024&month=06&date=16
H,Ｃ大阪,D,1,1,1.469,1.963,16,20,7,4,0,0,267,540,17,21,9,9,1,2,8,8,18,21,10,16,13,13,48,24,1,1,2,1,0,0,0,0,26,63,7,16,"110,954m","109,514m",87,97,110,115,14.5%,17.4%,36.2%,63.8%,https://www.football-lab.jp/iwat/report/?year=2024&month=06&date=22
H,東京Ｖ,W,3,0,1.629,1.206,10,12,4,3,1,0,398,450,11,8,12,14,4,1,3,4,20,18,11,8,19,16,27,10,1,3,0,4,2,3,0,0,28,41,11,7,"107,831m","110,189m",86,88,102,104,9.8%,11.5%,49.3%,50.7%,https://www.football-lab.jp/iwat/report/?year=2024&month=06&date=26
A,浦和,L,0,3,0.831,2.205,8,25,1,8,0,0,269,693,8,15,11,9,2,3,2,6,15,17,8,10,16,10,31,6,2,1,3,2,0,1,0,0,14,64,4,13,"107,552m","109,786m",60,102,99,102,8.1%,24.5%,29.4%,70.6%,https://www.football-lab.jp/iwat/report/?year=2024&month=06&date=30
H,川崎Ｆ,D,2,2,1.326,1.975,11,19,5,4,0,0,299,682,14,27,7,11,1,0,5,4,20,18,9,14,14,11,30,21,3,2,0,1,1,0,0,0,20,83,10,19,"106,577m","109,008m",68,94,94,99,11.7%,19.2%,35.6%,64.4%,https://www.football-lab.jp/iwat/report/?year=2024&month=07&date=06
A,湘南,L,0,5,0.363,3.467,4,21,0,10,0,1,264,683,6,24,9,8,1,0,3,12,14,18,9,16,18,15,27,12,0,0,0,1,1,1,1,0,12,89,2,24,"102,101m","107,841m",84,113,87,93,4.6%,22.6%,32.6%,67.4%,https://www.football-lab.jp/iwat/report/?year=2024&month=07&date=14
H,京都,L,1,2,1.104,0.853,11,11,1,2,0,0,359,387,16,20,18,10,2,2,1,3,18,25,7,16,11,13,25,19,1,1,2,2,1,2,0,0,21,36,11,15,"101,342m","104,496m",57,85,109,112,10.1%,9.8%,48.6%,51.4%,https://www.football-lab.jp/iwat/report/?year=2024&month=07&date=20
A,新潟,D,2,2,1.065,1.431,10,15,2,6,0,0,403,530,12,19,9,13,1,1,5,6,14,24,8,16,16,14,18,17,5,1,1,1,3,1,1,0,26,46,6,15,"112,992m","117,156m",90,101,105,108,9.5%,13.9%,45.2%,54.8%,https://www.football-lab.jp/iwat/report/?year=2024&month=08&date=07
H,鹿島,W,2,1,1.172,1.285,8,9,4,3,0,1,338,525,18,15,11,11,2,1,6,3,16,18,8,9,7,13,15,11,2,1,1,2,0,1,0,0,22,51,7,13,"111,782m","108,315m",100,122,95,98,8.4%,9.2%,42.8%,57.2%,https://www.football-lab.jp/iwat/report/?year=2024&month=08&date=11
A,町田,L,0,4,0.785,3.122,9,17,3,6,0,1,396,310,17,17,17,8,5,2,6,7,21,22,13,11,12,14,19,20,1,2,2,5,1,0,0,0,26,35,7,15,"106,856m","115,484m",88,106,110,110,8.2%,15.5%,55.8%,44.2%,https://www.football-lab.jp/iwat/report/?year=2024&month=08&date=17
H,札幌,L,0,2,0.951,0.986,12,6,3,2,0,0,332,402,18,12,9,16,1,1,8,5,15,21,22,11,18,17,28,19,2,2,1,1,2,2,0,0,34,24,9,8,"102,081m","103,188m",110,120,110,119,10.9%,5.0%,47.5%,52.5%,https://www.football-lab.jp/iwat/report/?year=2024&month=08&date=25
A,柏,W,2,0,0.841,0.863,8,13,5,4,0,0,242,537,10,25,9,17,0,1,2,8,16,31,9,11,22,13,52,16,1,0,1,0,1,1,0,0,11,61,7,13,"106,622m","108,388m",90,94,100,118,8.0%,11.0%,39.2%,60.8%,https://www.football-lab.jp/iwat/report/?year=2024&month=09&date=14
H,福岡,D,0,0,0.949,0.253,10,6,3,2,0,0,294,347,14,14,12,10,2,3,7,4,27,15,7,7,14,15,16,19,1,2,3,2,1,3,0,0,22,29,2,6,"98,429m","98,215m",107,94,109,90,9.2%,6.7%,46.9%,53.1%,https://www.football-lab.jp/iwat/report/?year=2024&month=09&date=21
A,名古屋,L,0,2,0.562,1.772,11,14,3,4,0,0,352,327,18,8,11,12,1,1,8,2,21,15,11,6,8,11,15,35,1,0,0,1,1,2,0,0,23,27,6,12,"103,125m","107,112m",135,119,99,95,11.1%,14.7%,53.5%,46.5%,https://www.football-lab.jp/iwat/report/?year=2024&month=09&date=28
H,広島,L,1,2,1.364,2.456,8,23,3,6,0,0,271,483,15,24,12,18,0,0,2,11,11,16,9,19,19,6,46,18,0,1,0,0,2,1,0,0,20,60,7,20,"106,171m","105,198m",134,121,106,120,7.5%,19.2%,40.4%,59.6%,https://www.football-lab.jp/iwat/report/?year=2024&month=10&date=06
A,Ｃ大阪,W,2,1,1.093,2.559,12,22,7,3,0,1,270,573,12,13,7,18,4,0,1,8,19,27,13,10,19,19,32,13,4,3,0,4,3,0,0,0,21,38,9,11,"109,299m","113,358m",95,89,113,126,10.6%,17.5%,37.4%,62.6%,https://www.football-lab.jp/iwat/report/?year=2024&month=10&date=19
