HOME/AWAY,Opponent,勝敗,ka-f_得点,ka-f_失点,Opponent_ゴール期待値,ka-f_ゴール期待値,Opponent_シュート,ka-f_シュート,Opponent_枠内シュート,ka-f_枠内シュート,Opponent_PKによるシュート,ka-f_PKによるシュート,Opponent_パス,ka-f_パス,Opponent_クロス,ka-f_クロス,Opponent_直接ＦＫ,ka-f_直接ＦＫ,Opponent_間接ＦＫ,ka-f_間接ＦＫ,Opponent_ＣＫ,ka-f_ＣＫ,Opponent_スローイン,ka-f_スローイン,Opponent_ドリブル,ka-f_ドリブル,Opponent_タックル,ka-f_タックル,Opponent_クリア,ka-f_クリア,Opponent_インターセプト,ka-f_インターセプト,Opponent_オフサイド,ka-f_オフサイド,Opponent_警告,ka-f_警告,Opponent_退場,ka-f_退場,Opponent_３０ｍライン進入,ka-f_３０ｍライン進入,Opponent_ペナルティエリア進入,ka-f_ペナルティエリア進入,Opponent_総移動距離,ka-f_総移動距離,Opponent_スプリント,ka-f_スプリント,Opponent_攻撃回数,ka-f_攻撃回数,Opponent_チャンス構築率,ka-f_チャンス構築率,Opponent_ボール保持率,ka-f_ボール保持率,URL
A,湘南,W,2,1,0.808,0.692,10,9,1,4,0,0,352,536,13,8,12,23,1,3,3,1,24,25,6,10,27,22,22,12,3,3,3,1,4,1,0,0,27,37,10,11,"110,669m","105,829m",103,111,117,124,8.5%,7.3%,41.6%,58.4%,https://www.football-lab.jp/ka-f/report/?year=2024&month=02&date=24
H,磐田,L,4,5,2.226,2.634,9,15,6,8,2,1,310,840,10,15,12,9,3,2,1,7,17,28,5,18,20,12,49,9,0,3,2,2,2,3,0,0,18,76,9,20,"127,628m","117,390m",94,108,113,124,8.0%,12.1%,30.2%,69.8%,https://www.football-lab.jp/ka-f/report/?year=2024&month=03&date=01
H,京都,L,0,1,0.952,1.254,8,10,4,3,0,0,320,594,12,24,9,12,5,0,2,7,26,27,5,14,26,26,35,17,2,0,0,5,2,2,0,0,26,51,10,14,"118,300m","117,129m",146,133,122,129,6.6%,7.8%,40.7%,59.3%,https://www.football-lab.jp/ka-f/report/?year=2024&month=03&date=09
A,鹿島,L,1,2,1.827,0.642,13,8,3,2,0,0,348,455,17,13,11,10,1,3,8,5,32,14,7,5,19,21,21,18,2,2,3,1,1,3,0,1,32,32,15,7,"105,895m","105,027m",135,133,123,103,10.6%,7.8%,45.9%,54.1%,https://www.football-lab.jp/ka-f/report/?year=2024&month=03&date=17
H,FC東京,W,3,0,0.223,2.375,5,20,1,7,0,0,435,429,17,14,16,17,3,3,4,5,22,23,13,10,21,28,18,22,7,5,3,3,1,0,1,0,23,45,6,20,"110,812m","110,995m",123,157,126,125,4.0%,16.0%,47.1%,52.9%,https://www.football-lab.jp/ka-f/report/?year=2024&month=03&date=30
A,横浜FM,D,0,0,1.841,1.044,19,14,4,1,0,0,455,307,23,17,15,14,2,1,14,5,26,25,14,13,20,29,20,33,0,3,1,2,0,4,0,1,45,32,13,13,"116,367m","110,522m",134,157,135,126,14.1%,11.1%,53.9%,46.1%,https://www.football-lab.jp/ka-f/report/?year=2024&month=04&date=03
H,町田,L,0,1,1.307,1.626,8,17,3,1,0,0,235,573,11,18,11,13,1,3,5,8,24,28,8,12,17,9,27,21,2,1,3,1,2,2,1,0,27,45,6,15,"113,823m","113,157m",127,99,110,111,7.3%,15.3%,37.6%,62.4%,https://www.football-lab.jp/ka-f/report/?year=2024&month=04&date=07
A,Ｃ大阪,L,0,1,1.047,0.719,13,15,5,5,0,0,369,485,13,11,14,11,2,2,6,7,27,25,19,8,18,24,25,20,4,3,2,2,0,2,0,0,23,36,14,12,"110,631m","109,435m",102,112,124,121,10.5%,12.4%,46.3%,53.7%,https://www.football-lab.jp/ka-f/report/?year=2024&month=04&date=13
H,東京Ｖ,D,0,0,1.433,0.895,16,14,5,5,0,0,339,501,12,16,15,15,2,3,6,9,16,21,6,20,15,21,31,14,4,0,3,2,2,1,0,0,19,46,15,18,"115,331m","110,691m",144,139,120,127,13.3%,11.0%,42.2%,57.8%,https://www.football-lab.jp/ka-f/report/?year=2024&month=04&date=20
A,広島,D,2,2,3.224,1.445,24,12,8,3,0,0,398,441,21,16,15,11,0,2,8,3,25,13,13,10,13,11,16,35,2,3,2,0,2,3,0,0,37,39,14,18,"108,590m","109,583m",106,138,122,108,19.7%,11.1%,45.2%,54.8%,https://www.football-lab.jp/ka-f/report/?year=2024&month=04&date=28
H,浦和,W,3,1,0.952,1.782,14,17,6,6,0,0,603,405,9,16,8,10,3,1,11,7,21,22,14,6,13,18,22,22,2,2,1,3,1,0,0,0,49,41,13,17,"114,852m","116,212m",153,146,98,103,14.3%,16.5%,56.8%,43.2%,https://www.football-lab.jp/ka-f/report/?year=2024&month=05&date=03
A,福岡,D,1,1,1.048,0.863,11,10,5,3,0,0,312,594,18,15,7,14,0,1,6,6,18,16,18,16,23,18,34,19,6,2,0,0,0,1,0,0,37,50,9,16,"113,277m","110,696m",125,134,99,115,11.1%,8.7%,37.6%,62.4%,https://www.football-lab.jp/ka-f/report/?year=2024&month=05&date=06
H,札幌,W,3,0,0.91,1.79,16,15,4,7,0,1,500,474,12,9,15,9,1,6,4,4,16,28,9,5,12,11,23,14,3,2,6,1,2,2,0,0,46,43,11,14,"111,163m","113,329m",112,107,117,117,13.7%,12.8%,51.4%,48.6%,https://www.football-lab.jp/ka-f/report/?year=2024&month=05&date=11
A,鳥栖,L,2,5,3.006,2.583,16,17,8,7,0,0,410,638,6,20,8,5,1,1,4,7,18,26,9,14,12,9,25,12,2,4,1,1,1,0,0,0,26,50,10,28,"126,880m","118,965m",149,152,105,111,15.2%,15.3%,40.2%,59.8%,https://www.football-lab.jp/ka-f/report/?year=2024&month=05&date=15
