HOME/AWAY,Opponent,勝敗,mcd_得点,mcd_失点,mcd_ゴール期待値,Opponent_ゴール期待値,mcd_シュート,Opponent_シュート,mcd_枠内シュート,Opponent_枠内シュート,mcd_PKによるシュート,Opponent_PKによるシュート,mcd_パス,Opponent_パス,mcd_クロス,Opponent_クロス,mcd_直接ＦＫ,Opponent_直接ＦＫ,mcd_間接ＦＫ,Opponent_間接ＦＫ,mcd_ＣＫ,Opponent_ＣＫ,mcd_スローイン,Opponent_スローイン,mcd_ドリブル,Opponent_ドリブル,mcd_タックル,Opponent_タックル,mcd_クリア,Opponent_クリア,mcd_インターセプト,Opponent_インターセプト,mcd_オフサイド,Opponent_オフサイド,mcd_警告,Opponent_警告,mcd_退場,Opponent_退場,mcd_３０ｍライン進入,Opponent_３０ｍライン進入,mcd_ペナルティエリア進入,Opponent_ペナルティエリア進入,mcd_総移動距離,Opponent_総移動距離,mcd_スプリント,Opponent_スプリント,mcd_攻撃回数,Opponent_攻撃回数,mcd_チャンス構築率,Opponent_チャンス構築率,mcd_ボール保持率,Opponent_ボール保持率,URL
H,Ｇ大阪,D,1,1,2.357,1.288,17,15,3,5,1,0,274,558,20,28,11,12,1,1,4,2,20,22,16,13,18,11,34,33,1,0,1,1,3,0,1,0,29,51,12,16,"119,145m","120,895m",137,122,126,123,13.5%,12.2%,38.9%,61.1%,https://www.football-lab.jp/mcd/report/?year=2024&month=02&date=24
A,名古屋,W,1,0,2.091,0.345,14,7,1,2,0,0,325,409,22,11,13,22,1,1,6,1,30,21,12,8,16,20,21,40,1,3,1,1,3,3,0,1,36,31,13,6,"115,477m","113,997m",114,136,129,120,10.9%,5.8%,46%,54%,https://www.football-lab.jp/mcd/report/?year=2024&month=03&date=02
H,鹿島,W,1,0,1.066,0.482,12,10,3,1,0,0,283,548,13,12,10,16,4,4,4,4,21,24,11,7,17,12,24,21,1,3,4,4,2,1,0,0,31,34,13,8,"121,611m","118,706m",136,135,114,120,10.5%,8.3%,38.1%,61.9%,https://www.football-lab.jp/mcd/report/?year=2024&month=03&date=09
A,札幌,W,2,1,1.16,0.799,7,9,2,3,0,0,301,585,14,18,12,16,0,1,4,6,20,24,11,15,23,15,28,18,3,1,1,0,1,1,0,0,30,45,20,11,"119,244m","116,151m",120,128,123,132,5.7%,6.8%,39.1%,60.9%,https://www.football-lab.jp/mcd/report/?year=2024&month=03&date=16
H,鳥栖,W,3,1,2.554,0.743,16,12,6,4,1,0,360,540,16,8,9,11,0,6,0,1,21,17,16,5,18,18,6,21,2,1,6,0,1,3,0,0,35,33,16,12,"120,781m","120,200m",151,160,115,117,13.9%,10.3%,43.4%,56.6%,https://www.football-lab.jp/mcd/report/?year=2024&month=03&date=30
H,広島,L,1,2,0.487,1.844,5,15,0,4,0,1,317,453,8,16,7,20,2,2,2,4,20,24,12,7,19,11,22,15,3,2,2,3,4,0,0,0,27,40,4,10,"120,574m","116,322m",138,142,122,141,4.1%,10.6%,45.9%,54.1%,https://www.football-lab.jp/mcd/report/?year=2024&month=04&date=03
A,川崎Ｆ,W,1,0,1.307,1.626,8,17,3,1,0,0,235,573,11,18,11,13,1,3,5,8,24,28,8,12,17,9,27,21,2,1,3,1,2,2,1,0,27,45,6,15,"113,823m","113,157m",127,99,110,111,7.3%,15.3%,37.6%,62.4%,https://www.football-lab.jp/mcd/report/?year=2024&month=04&date=07
H,神戸,L,1,2,1.209,1.43,16,16,5,5,0,0,315,276,26,13,11,10,1,0,7,4,35,22,12,15,14,13,18,46,1,1,0,1,3,0,0,0,36,28,10,6,"110,024m","109,349m",115,125,119,109,13.4%,14.7%,52.1%,47.9%,https://www.football-lab.jp/mcd/report/?year=2024&month=04&date=13
A,FC東京,W,2,1,0.507,2.606,6,17,3,5,0,1,277,517,10,19,10,18,4,2,3,6,28,32,4,16,22,13,30,23,1,2,2,4,1,0,0,0,21,39,8,13,"123,889m","119,020m",168,159,116,123,5.2%,13.8%,39.1%,60.9%,https://www.football-lab.jp/mcd/report/?year=2024&month=04&date=21
A,磐田,L,0,2,1.493,1.345,22,7,3,4,0,1,464,315,40,7,11,9,1,2,9,4,34,17,21,5,16,18,17,64,1,2,2,1,1,1,0,0,58,22,21,3,"114,989m","113,671m",110,75,131,112,16.8%,6.3%,56%,44%,https://www.football-lab.jp/mcd/report/?year=2024&month=04&date=27
