HOME/AWAY,Opponent,勝敗,fuku_得点,fuku_失点,fuku_ゴール期待値,Opponent_ゴール期待値,fuku_シュート,Opponent_シュート,fuku_枠内シュート,Opponent_枠内シュート,fuku_PKによるシュート,Opponent_PKによるシュート,fuku_パス,Opponent_パス,fuku_クロス,Opponent_クロス,fuku_直接ＦＫ,Opponent_直接ＦＫ,fuku_間接ＦＫ,Opponent_間接ＦＫ,fuku_ＣＫ,Opponent_ＣＫ,fuku_スローイン,Opponent_スローイン,fuku_ドリブル,Opponent_ドリブル,fuku_タックル,Opponent_タックル,fuku_クリア,Opponent_クリア,fuku_インターセプト,Opponent_インターセプト,fuku_オフサイド,Opponent_オフサイド,fuku_警告,Opponent_警告,fuku_退場,Opponent_退場,fuku_３０ｍライン進入,Opponent_３０ｍライン進入,fuku_ペナルティエリア進入,Opponent_ペナルティエリア進入,fuku_総移動距離,Opponent_総移動距離,fuku_スプリント,Opponent_スプリント,fuku_攻撃回数,Opponent_攻撃回数,fuku_チャンス構築率,Opponent_チャンス構築率,fuku_ボール保持率,Opponent_ボール保持率,URL
H,柏,L,0,1,0.559,1.37,9,13,3,5,0,0,348,750,12,14,10,13,2,0,2,6,22,23,7,11,10,10,17,19,0,2,0,2,4,0,1,0,22,56,12,11,"120,819m","118,001m",110,124,97,109,9.3%,11.9%,34.3%,65.7%,https://www.football-lab.jp/fuku/report/?year=2025&month=02&date=15
A,Ｇ大阪,L,1,2,1.184,0.709,15,7,5,2,0,0,509,417,27,10,14,13,0,4,8,3,26,15,16,10,23,26,11,40,0,0,3,0,2,0,0,0,53,18,25,6,"119,941m","116,179m",112,88,117,111,12.8%,6.3%,50.7%,49.3%,https://www.football-lab.jp/fuku/report/?year=2025&month=02&date=22
H,川崎Ｆ,L,1,2,1.125,0.841,12,8,4,5,0,0,391,648,4,16,11,8,4,1,2,7,22,22,10,9,14,22,23,16,1,1,1,4,2,3,0,0,21,50,7,13,"117,283m","115,295m",114,119,114,114,10.5%,7.0%,39.8%,60.2%,https://www.football-lab.jp/fuku/report/?year=2025&month=02&date=26
A,神戸,W,1,0,1.035,0.61,10,10,1,1,0,0,367,456,13,11,11,22,5,1,3,2,22,26,18,4,11,18,35,21,1,1,1,5,2,1,1,0,32,31,10,10,"111,465m","110,151m",98,85,117,117,8.5%,8.5%,47.2%,52.8%,https://www.football-lab.jp/fuku/report/?year=2025&month=03&date=01
A,京都,W,1,0,1.431,0.581,17,8,6,4,0,0,286,390,14,9,9,10,5,4,2,2,14,27,9,3,11,23,31,24,1,1,4,5,0,1,0,0,28,25,10,8,"112,900m","113,166m",136,145,110,124,15.5%,6.5%,43.1%,56.9%,https://www.football-lab.jp/fuku/report/?year=2025&month=03&date=09
H,FC東京,W,1,0,2.132,0.653,24,5,5,3,0,0,452,488,18,12,11,13,4,1,3,0,33,25,11,10,23,10,15,22,4,3,1,4,0,1,0,0,52,25,19,13,"123,625m","117,821m",145,125,119,116,20.2%,4.3%,51.8%,48.2%,https://www.football-lab.jp/fuku/report/?year=2025&month=03&date=15
H,町田,D,2,2,1.2,1.282,13,12,4,4,0,0,315,480,12,11,14,15,2,1,5,4,18,29,6,7,16,16,32,18,0,2,1,2,1,1,0,0,31,38,7,12,"113,545m","114,227m",106,111,112,124,11.6%,9.7%,42.3%,57.7%,https://www.football-lab.jp/fuku/report/?year=2025&month=03&date=29
A,新潟,W,1,0,1.235,1.147,11,17,5,5,0,0,377,738,18,20,6,4,3,2,5,8,11,19,10,14,18,16,29,19,2,1,2,3,1,0,0,0,35,50,15,10,"120,288m","119,490m",72,97,107,107,10.3%,15.9%,36%,64%,https://www.football-lab.jp/fuku/report/?year=2025&month=04&date=02
H,浦和,W,1,0,0.899,0.741,9,11,3,5,0,0,420,495,5,10,11,13,0,2,2,4,18,14,4,12,11,15,16,15,4,2,2,0,1,1,0,0,30,34,9,8,"116,656m","112,221m",124,117,100,96,9.0%,11.5%,47.9%,52.1%,https://www.football-lab.jp/fuku/report/?year=2025&month=04&date=06
H,横浜FM,W,2,1,1.91,0.538,14,6,4,2,0,0,386,558,18,10,8,16,2,4,4,4,22,22,8,8,14,23,30,21,1,1,4,3,1,1,0,0,41,36,15,3,"116,214m","113,135m",125,111,97,107,14.4%,5.6%,43.8%,56.2%,https://www.football-lab.jp/fuku/report/?year=2025&month=04&date=12
