HOME/AWAY,Opponent,勝敗,hiro_得点,hiro_失点,Opponent_ゴール期待値,hiro_ゴール期待値,Opponent_シュート,hiro_シュート,Opponent_枠内シュート,hiro_枠内シュート,Opponent_PKによるシュート,hiro_PKによるシュート,Opponent_パス,hiro_パス,Opponent_クロス,hiro_クロス,Opponent_直接ＦＫ,hiro_直接ＦＫ,Opponent_間接ＦＫ,hiro_間接ＦＫ,Opponent_ＣＫ,hiro_ＣＫ,Opponent_スローイン,hiro_スローイン,Opponent_ドリブル,hiro_ドリブル,Opponent_タックル,hiro_タックル,Opponent_クリア,hiro_クリア,Opponent_インターセプト,hiro_インターセプト,Opponent_オフサイド,hiro_オフサイド,Opponent_警告,hiro_警告,Opponent_退場,hiro_退場,Opponent_３０ｍライン進入,hiro_３０ｍライン進入,Opponent_ペナルティエリア進入,hiro_ペナルティエリア進入,Opponent_総移動距離,hiro_総移動距離,Opponent_スプリント,hiro_スプリント,Opponent_攻撃回数,hiro_攻撃回数,Opponent_チャンス構築率,hiro_チャンス構築率,Opponent_ボール保持率,hiro_ボール保持率,URL
A,町田,W,2,1,0.622,0.977,8,14,1,5,0,0,241,410,10,16,10,21,1,2,3,7,19,35,5,10,13,14,33,19,1,1,2,1,2,1,0,0,23,31,6,8,"112,578m","107,948m",131,125,104,119,7.7%,11.8%,44.1%,55.9%,https://www.football-lab.jp/hiro/report/?year=2025&month=02&date=16
H,横浜FM,W,1,0,0.874,1.266,7,7,1,3,0,1,602,441,7,19,20,14,0,2,1,3,11,20,15,8,12,16,24,15,2,3,2,0,2,1,0,0,26,33,5,5,"124,981m","121,462m",120,133,121,125,5.8%,5.6%,56.9%,43.1%,https://www.football-lab.jp/hiro/report/?year=2025&month=02&date=23
A,清水,D,1,1,1.434,0.657,15,13,2,2,0,0,403,583,16,11,7,12,0,0,5,6,18,27,13,8,20,22,37,20,6,4,0,0,1,3,0,0,35,44,15,8,"119,627m","113,550m",137,125,131,140,11.5%,9.3%,42%,58%,https://www.football-lab.jp/hiro/report/?year=2025&month=02&date=26
H,横浜FC,W,1,0,0.13,1.268,3,15,0,2,0,0,401,553,13,20,7,13,0,2,2,3,25,26,12,9,14,22,34,14,2,3,2,0,0,0,0,0,31,56,4,11,"110,002m","109,991m",106,102,113,117,2.7%,12.8%,43.8%,56.2%,https://www.football-lab.jp/hiro/report/?year=2025&month=03&date=02
H,柏,D,1,1,0.884,2.14,9,17,3,4,0,0,627,410,14,17,7,15,1,3,5,5,24,22,15,13,18,20,22,15,2,1,3,1,2,1,0,0,46,30,25,11,"120,783m","117,354m",148,123,120,122,7.5%,13.9%,60.5%,39.5%,https://www.football-lab.jp/hiro/report/?year=2025&month=03&date=16
A,京都,L,0,1,0.44,1.093,6,15,2,3,0,0,268,569,2,28,11,16,1,2,1,9,15,35,1,13,26,14,46,9,0,0,2,1,0,0,0,0,11,46,5,16,"120,328m","112,713m",159,163,119,139,5.0%,10.8%,39.6%,60.4%,https://www.football-lab.jp/hiro/report/?year=2025&month=03&date=29
H,鹿島,W,1,0,1.009,2.017,14,12,1,4,0,0,582,352,19,27,14,10,1,1,8,5,27,19,14,10,16,18,15,38,1,2,1,1,1,1,0,0,51,25,10,17,"118,990m","117,012m",130,135,127,119,11.0%,10.1%,58.1%,41.9%,https://www.football-lab.jp/hiro/report/?year=2025&month=04&date=02
H,Ｃ大阪,W,2,1,1.329,1.325,14,10,2,4,0,0,501,458,11,10,10,9,0,4,3,3,21,35,9,9,24,20,20,14,3,2,4,0,1,3,0,0,30,36,11,10,"121,133m","115,299m",140,129,120,126,11.7%,7.9%,48.4%,51.6%,https://www.football-lab.jp/hiro/report/?year=2025&month=04&date=06
H,岡山,L,0,1,1.138,1.319,9,13,2,3,0,0,294,532,9,22,11,11,2,1,5,9,20,33,11,12,14,17,42,15,1,1,1,2,0,1,0,0,28,36,6,10,"117,342m","109,440m",132,120,106,123,8.5%,10.6%,39.4%,60.6%,https://www.football-lab.jp/hiro/report/?year=2025&month=04&date=12
A,名古屋,L,1,2,0.34,1.009,6,11,2,3,0,0,284,577,8,25,10,18,1,1,0,8,19,22,5,13,13,10,37,12,1,1,1,1,2,1,0,0,18,37,4,12,"114,845m","107,345m",119,108,97,119,6.2%,9.2%,37.6%,62.4%,https://www.football-lab.jp/hiro/report/?year=2025&month=04&date=20
A,浦和,L,0,1,0.845,0.85,9,12,5,2,0,0,420,511,7,23,11,10,3,0,5,6,21,22,13,10,23,16,28,19,2,2,0,3,0,1,0,0,38,44,11,8,"119,059m","115,340m",173,164,122,123,7.4%,9.8%,48.7%,51.3%,https://www.football-lab.jp/hiro/report/?year=2025&month=04&date=25
H,新潟,L,0,1,0.767,1.13,8,14,2,2,0,0,549,556,5,20,11,9,0,1,2,5,16,21,8,8,30,20,27,10,3,1,1,1,1,0,0,0,21,55,7,16,"125,280m","116,576m",109,126,118,120,6.8%,11.7%,52.9%,47.1%,https://www.football-lab.jp/hiro/report/?year=2025&month=04&date=29
H,福岡,W,2,1,1.682,2.336,9,17,2,7,1,1,429,428,4,22,9,17,3,2,1,8,12,27,4,15,12,19,21,7,1,3,2,3,1,2,0,0,22,44,4,22,"119,988m","114,291m",126,128,111,121,8.1%,14.0%,52.1%,47.9%,https://www.football-lab.jp/hiro/report/?year=2025&month=05&date=03
A,湘南,W,1,0,0.877,1.072,12,6,3,2,0,1,605,347,14,14,13,9,1,0,2,3,22,31,11,11,13,29,22,21,2,1,0,1,1,0,0,0,43,36,8,12,"118,333m","112,439m",149,133,122,126,9.8%,4.8%,61.7%,38.3%,https://www.football-lab.jp/hiro/report/?year=2025&month=05&date=07
A,Ｇ大阪,W,1,0,0.856,1.641,11,14,5,3,0,0,375,579,7,20,11,7,1,1,3,3,17,18,7,9,17,11,19,22,1,1,1,1,0,1,1,0,28,53,6,21,"103,282m","107,760m",111,105,104,105,10.6%,13.3%,43.5%,56.5%,https://www.football-lab.jp/hiro/report/?year=2025&month=05&date=11
H,東京Ｖ,W,2,1,0.951,1.421,4,14,2,4,1,0,367,584,8,21,7,14,2,0,2,8,21,32,8,10,21,16,28,12,3,3,0,2,1,0,0,0,22,41,5,16,"113,048m","107,272m",96,87,113,130,3.5%,10.8%,42.4%,57.6%,https://www.football-lab.jp/hiro/report/?year=2025&month=05&date=17
A,FC東京,W,3,0,0.295,1.929,7,17,1,6,0,1,544,377,10,14,11,12,2,1,2,7,31,22,13,15,19,23,13,22,1,1,1,2,1,1,0,0,33,28,7,13,"115,962m","115,378m",125,129,124,118,5.6%,14.4%,58%,42%,https://www.football-lab.jp/hiro/report/?year=2025&month=05&date=25
H,川崎Ｆ,L,1,2,1.487,3.1,13,18,6,7,0,0,559,543,13,23,5,4,0,0,3,5,29,27,12,15,16,21,28,30,3,6,0,0,2,1,0,0,47,45,14,21,"113,957m","110,749m",101,108,119,114,10.9%,15.8%,53.4%,46.6%,https://www.football-lab.jp/hiro/report/?year=2025&month=05&date=31
A,鹿島,D,1,1,2.014,0.667,18,7,4,3,0,0,663,304,20,18,13,6,2,0,12,3,27,26,16,6,11,27,19,48,1,1,0,2,2,2,0,0,47,32,16,7,"113,152m","110,611m",113,143,128,111,14.1%,6.3%,62.8%,37.2%,https://www.football-lab.jp/hiro/report/?year=2025&month=06&date=14
A,横浜FC,W,4,0,1.671,1.164,13,10,0,7,0,0,466,329,11,10,16,9,0,2,6,7,25,14,7,4,15,10,12,21,2,0,2,0,2,2,0,0,30,22,9,9,"109,753m","107,471m",124,116,141,122,9.2%,8.2%,58.3%,41.7%,https://www.football-lab.jp/hiro/report/?year=2025&month=06&date=22
H,名古屋,L,1,2,1.434,0.864,11,15,3,4,0,0,297,512,6,13,16,9,5,4,2,8,22,31,5,10,12,9,32,12,2,3,4,5,3,2,0,0,15,44,6,8,"114,346m","110,909m",102,100,111,123,9.9%,12.2%,41.9%,58.1%,https://www.football-lab.jp/hiro/report/?year=2025&month=06&date=28
A,神戸,L,0,1,1.364,1.149,9,14,6,3,0,0,395,387,12,19,10,8,4,1,3,3,24,36,9,9,16,14,29,23,1,2,1,4,0,1,0,0,41,39,11,17,"109,988m","103,357m",92,90,132,131,6.8%,10.7%,52.2%,47.8%,https://www.football-lab.jp/hiro/report/?year=2025&month=07&date=02
A,岡山,W,1,0,0.486,1.851,9,17,5,5,0,0,256,463,9,16,7,12,1,1,5,13,24,30,12,11,10,16,30,14,0,0,1,1,2,0,0,0,21,35,4,14,"110,510m","106,261m",153,124,124,136,7.3%,12.5%,40.9%,59.1%,https://www.football-lab.jp/hiro/report/?year=2025&month=07&date=05
A,新潟,W,2,0,1.614,2.356,11,18,1,7,0,0,522,433,8,18,13,10,3,1,5,2,15,21,12,8,12,23,28,17,1,4,1,3,2,0,0,0,32,50,10,18,"115,347m","111,778m",101,106,113,107,9.7%,16.8%,54.8%,45.2%,https://www.football-lab.jp/hiro/report/?year=2025&month=07&date=20
H,清水,D,0,0,0.971,1.819,14,14,2,3,0,0,451,337,11,14,18,13,1,1,5,3,16,22,16,7,12,26,23,20,4,2,1,1,2,0,0,0,41,26,8,14,"105,357m","104,242m",108,109,130,121,10.8%,11.6%,56.5%,43.5%,https://www.football-lab.jp/hiro/report/?year=2025&month=08&date=10
H,Ｇ大阪,W,1,0,0.098,0.971,3,12,0,4,0,0,434,368,8,16,15,13,3,2,3,8,9,21,2,3,8,13,18,11,0,2,2,3,4,0,1,0,27,41,5,20,"99,108m","102,779m",77,100,97,95,3.1%,12.6%,55.6%,44.4%,https://www.football-lab.jp/hiro/report/?year=2025&month=08&date=16
H,神戸,L,0,1,1.822,1.377,18,14,5,2,0,0,384,330,16,16,13,4,1,6,7,3,31,32,10,8,11,18,28,33,2,1,6,1,0,0,0,1,34,24,12,16,"110,264m","99,061m",100,93,145,127,12.4%,11.0%,51.3%,48.7%,https://www.football-lab.jp/hiro/report/?year=2025&month=08&date=20
A,東京Ｖ,W,3,0,2.13,1.553,19,13,6,4,0,0,504,355,19,14,9,12,3,1,10,5,25,22,20,3,12,25,23,30,4,1,1,3,3,0,0,0,39,29,20,14,"115,714m","111,262m",94,95,131,125,14.5%,10.4%,57.3%,42.7%,https://www.football-lab.jp/hiro/report/?year=2025&month=08&date=23
A,Ｃ大阪,D,1,1,2.172,1.14,15,11,5,2,1,0,362,366,10,21,13,9,5,3,8,6,26,19,9,6,15,14,38,25,1,2,3,5,1,2,0,0,38,42,14,10,"115,594m","109,301m",116,137,125,105,12.0%,10.5%,51.9%,48.1%,https://www.football-lab.jp/hiro/report/?year=2025&month=08&date=31
