HOME/AWAY,Opponent,勝敗,kasw_得点,kasw_失点,Opponent_ゴール期待値,kasw_ゴール期待値,Opponent_シュート,kasw_シュート,Opponent_枠内シュート,kasw_枠内シュート,Opponent_PKによるシュート,kasw_PKによるシュート,Opponent_パス,kasw_パス,Opponent_クロス,kasw_クロス,Opponent_直接ＦＫ,kasw_直接ＦＫ,Opponent_間接ＦＫ,kasw_間接ＦＫ,Opponent_ＣＫ,kasw_ＣＫ,Opponent_スローイン,kasw_スローイン,Opponent_ドリブル,kasw_ドリブル,Opponent_タックル,kasw_タックル,Opponent_クリア,kasw_クリア,Opponent_インターセプト,kasw_インターセプト,Opponent_オフサイド,kasw_オフサイド,Opponent_警告,kasw_警告,Opponent_退場,kasw_退場,Opponent_３０ｍライン進入,kasw_３０ｍライン進入,Opponent_ペナルティエリア進入,kasw_ペナルティエリア進入,Opponent_総移動距離,kasw_総移動距離,Opponent_スプリント,kasw_スプリント,Opponent_攻撃回数,kasw_攻撃回数,Opponent_チャンス構築率,kasw_チャンス構築率,Opponent_ボール保持率,kasw_ボール保持率,URL
A,福岡,W,1,0,0.559,1.37,9,13,3,5,0,0,348,750,12,14,10,13,2,0,2,6,22,23,7,11,10,10,17,19,0,2,0,2,4,0,1,0,22,56,12,11,"120,819m","118,001m",110,124,97,109,9.3%,11.9%,34.3%,65.7%,https://www.football-lab.jp/kasw/report/?year=2025&month=02&date=15
H,川崎Ｆ,D,1,1,1.06,0.769,9,11,2,3,0,0,393,694,14,10,11,9,0,2,4,7,21,12,11,12,13,26,11,23,2,0,2,0,0,1,0,0,20,62,10,14,"114,533m","114,075m",113,144,118,116,7.6%,9.5%,34.9%,65.1%,https://www.football-lab.jp/kasw/report/?year=2025&month=02&date=22
H,Ｃ大阪,W,2,1,1.043,1.307,11,12,3,5,0,0,444,609,10,20,12,9,0,1,5,4,20,30,12,11,26,16,17,29,4,4,1,0,1,2,0,0,36,57,14,20,"130,119m","126,253m",124,131,107,116,10.3%,10.3%,41.5%,58.5%,https://www.football-lab.jp/kasw/report/?year=2025&month=02&date=26
A,浦和,W,2,0,1.445,0.363,15,5,5,3,0,0,539,579,16,11,9,7,4,2,7,4,26,26,12,13,15,12,19,27,1,4,2,4,0,1,0,0,49,35,11,4,"124,682m","125,282m",149,137,115,119,13.0%,4.2%,46.4%,53.6%,https://www.football-lab.jp/kasw/report/?year=2025&month=03&date=02
H,鹿島,L,1,3,1.504,1.141,12,11,4,4,0,0,323,635,15,15,12,11,2,1,5,8,28,28,10,8,27,21,32,17,1,0,1,2,1,1,0,0,33,46,11,12,"121,036m","120,993m",145,127,129,135,9.3%,8.1%,37.5%,62.5%,https://www.football-lab.jp/kasw/report/?year=2025&month=03&date=08
A,広島,D,1,1,2.14,0.884,17,9,4,3,0,0,410,627,17,14,15,7,3,1,5,5,22,24,13,15,20,18,15,22,1,2,1,3,1,2,0,0,30,46,11,25,"117,354m","120,783m",123,148,122,120,13.9%,7.5%,39.5%,60.5%,https://www.football-lab.jp/kasw/report/?year=2025&month=03&date=16
H,東京Ｖ,D,0,0,0.592,0.633,11,8,4,1,0,0,374,601,16,6,14,11,2,1,7,6,36,24,16,12,26,14,18,33,2,4,1,2,1,1,0,0,41,29,8,5,"125,900m","121,020m",154,154,132,121,8.3%,6.6%,39.6%,60.4%,https://www.football-lab.jp/kasw/report/?year=2025&month=03&date=29
A,京都,D,1,1,2.73,0.36,17,7,2,2,0,0,550,395,19,9,11,13,0,1,9,2,42,22,10,6,20,17,16,59,1,2,1,0,2,3,0,0,53,28,9,13,"125,076m","120,949m",153,123,131,115,13.0%,6.1%,55.8%,44.2%,https://www.football-lab.jp/kasw/report/?year=2025&month=04&date=02
H,Ｇ大阪,W,1,0,0.944,0.697,7,11,1,1,0,0,425,722,9,20,9,8,0,3,2,8,19,19,8,14,24,17,36,23,2,1,3,0,2,0,0,0,29,77,9,31,"120,315m","123,856m",127,139,105,107,6.7%,10.3%,38.4%,61.6%,https://www.football-lab.jp/kasw/report/?year=2025&month=04&date=06
A,FC東京,D,1,1,1.195,1.79,10,12,4,4,0,0,329,754,5,22,12,8,5,1,3,8,17,23,6,16,17,15,24,20,4,2,1,5,1,3,0,0,16,66,4,25,"126,865m","123,460m",167,182,109,111,9.2%,10.8%,36.7%,63.3%,https://www.football-lab.jp/kasw/report/?year=2025&month=04&date=11
A,湘南,W,1,0,0.917,1.102,18,13,4,4,0,0,470,468,14,12,12,6,1,2,13,5,23,23,15,12,30,18,15,25,1,2,2,1,1,1,0,0,35,38,5,16,"122,811m","121,888m",161,169,112,102,16.1%,12.7%,51.7%,48.3%,https://www.football-lab.jp/kasw/report/?year=2025&month=04&date=20
H,新潟,D,1,1,1.625,0.948,11,10,2,6,1,0,484,695,9,20,5,4,1,2,5,2,23,22,14,12,10,14,24,14,3,4,2,1,0,1,0,0,26,71,11,15,"121,973m","122,738m",115,156,122,112,9.0%,8.9%,40.8%,59.2%,https://www.football-lab.jp/kasw/report/?year=2025&month=04&date=26
A,名古屋,W,2,1,0.724,0.787,13,10,2,3,0,0,457,466,20,10,13,8,0,2,8,2,27,24,7,10,21,25,12,38,0,3,2,0,0,2,0,0,31,27,9,9,"120,413m","121,726m",145,185,121,109,10.7%,9.2%,47.4%,52.6%,https://www.football-lab.jp/kasw/report/?year=2025&month=04&date=29
H,清水,W,1,0,1.639,0.934,17,9,1,1,0,0,388,580,15,14,13,7,1,1,9,6,34,23,12,7,12,26,23,42,0,0,1,1,1,2,0,0,37,33,18,9,"122,591m","125,554m",135,137,131,121,13.0%,7.4%,39.9%,60.1%,https://www.football-lab.jp/kasw/report/?year=2025&month=05&date=06
H,岡山,W,2,0,0.543,2.011,8,16,4,5,0,0,311,600,10,15,7,7,2,3,5,7,32,22,6,18,14,8,17,15,0,0,2,2,1,1,0,0,23,37,8,20,"115,110m","112,894m",124,148,105,99,7.6%,16.2%,36.1%,63.9%,https://www.football-lab.jp/kasw/report/?year=2025&month=05&date=10
A,横浜FM,W,2,0,0.773,2.083,10,22,1,5,0,0,543,554,21,17,7,8,4,2,9,3,22,22,12,13,14,16,13,26,1,1,2,4,2,0,0,0,43,50,13,19,"126,889m","128,419m",112,154,106,103,9.4%,21.4%,46.5%,53.5%,https://www.football-lab.jp/kasw/report/?year=2025&month=05&date=14
A,町田,L,0,3,2.461,0.879,10,8,3,3,1,0,343,613,17,14,4,6,1,0,2,7,35,28,8,7,19,16,32,30,3,3,0,1,1,0,0,0,33,43,11,9,"121,353m","116,143m",125,119,136,138,7.4%,5.8%,39.4%,60.6%,https://www.football-lab.jp/kasw/report/?year=2025&month=05&date=17
