HOME/AWAY,Opponent,勝敗,niig_得点,niig_失点,Opponent_ゴール期待値,niig_ゴール期待値,Opponent_シュート,niig_シュート,Opponent_枠内シュート,niig_枠内シュート,Opponent_PKによるシュート,niig_PKによるシュート,Opponent_パス,niig_パス,Opponent_クロス,niig_クロス,Opponent_直接ＦＫ,niig_直接ＦＫ,Opponent_間接ＦＫ,niig_間接ＦＫ,Opponent_ＣＫ,niig_ＣＫ,Opponent_スローイン,niig_スローイン,Opponent_ドリブル,niig_ドリブル,Opponent_タックル,niig_タックル,Opponent_クリア,niig_クリア,Opponent_インターセプト,niig_インターセプト,Opponent_オフサイド,niig_オフサイド,Opponent_警告,niig_警告,Opponent_退場,niig_退場,Opponent_３０ｍライン進入,niig_３０ｍライン進入,Opponent_ペナルティエリア進入,niig_ペナルティエリア進入,Opponent_総移動距離,niig_総移動距離,Opponent_スプリント,niig_スプリント,Opponent_攻撃回数,niig_攻撃回数,Opponent_チャンス構築率,niig_チャンス構築率,Opponent_ボール保持率,niig_ボール保持率,URL
A,横浜FM,D,1,1,1.378,1.272,6,15,2,5,1,0,523,433,12,7,13,14,1,1,3,3,28,18,10,11,10,14,18,23,1,2,1,1,0,1,0,0,37,27,7,10,"120,452m","123,322m",105,106,110,103,5.5%,14.6%,52.4%,47.6%,https://www.football-lab.jp/niig/report/?year=2025&month=02&date=15
A,清水,L,0,2,1.212,0.389,12,6,3,4,0,0,616,395,17,7,11,9,0,1,7,6,14,22,16,10,18,22,14,27,2,3,1,0,0,2,0,1,42,26,9,7,"119,982m","112,975m",112,92,113,118,10.6%,5.1%,57.1%,42.9%,https://www.football-lab.jp/niig/report/?year=2025&month=02&date=22
A,鹿島,L,1,2,0.971,1.403,13,12,4,5,0,0,403,631,13,12,12,4,1,1,5,3,27,26,10,8,27,27,11,17,2,0,1,1,0,1,0,0,35,31,10,6,"120,094m","120,578m",123,121,119,110,10.9%,10.9%,39.3%,60.7%,https://www.football-lab.jp/niig/report/?year=2025&month=02&date=26
H,Ｃ大阪,D,2,2,1.499,1.178,10,16,4,5,0,0,559,439,12,12,4,10,4,1,5,9,28,25,16,9,21,35,21,24,0,1,1,4,3,0,0,0,43,34,11,17,"121,974m","123,831m",129,146,120,129,8.3%,12.4%,51.9%,48.1%,https://www.football-lab.jp/niig/report/?year=2025&month=03&date=02
H,東京Ｖ,D,2,2,0.77,0.742,9,8,3,4,0,0,423,681,9,9,19,14,1,0,1,3,13,26,7,4,21,12,24,8,2,1,0,1,1,3,0,0,22,38,8,9,"124,496m","122,581m",117,95,105,111,8.6%,7.2%,42.6%,57.4%,https://www.football-lab.jp/niig/report/?year=2025&month=03&date=08
A,町田,L,0,1,1.587,0.294,13,5,4,1,0,0,434,561,23,8,7,10,1,2,6,2,17,21,15,7,19,22,15,18,5,0,2,1,1,0,0,0,49,27,13,7,"119,561m","122,499m",121,116,118,121,11.0%,4.1%,45.6%,54.4%,https://www.football-lab.jp/niig/report/?year=2025&month=03&date=15
H,Ｇ大阪,D,3,3,2.075,1.076,15,12,6,5,1,0,473,720,13,19,5,12,0,1,5,3,19,15,5,13,21,14,20,18,1,2,1,0,0,0,0,0,40,37,15,16,"122,689m","128,291m",110,115,108,99,13.9%,12.1%,42.7%,57.3%,https://www.football-lab.jp/niig/report/?year=2025&month=03&date=29
H,福岡,L,0,1,1.235,1.147,11,17,5,5,0,0,377,738,18,20,6,4,3,2,5,8,11,19,10,14,18,16,29,19,2,1,2,3,1,0,0,0,35,50,15,10,"120,288m","119,490m",72,97,107,107,10.3%,15.9%,36%,64%,https://www.football-lab.jp/niig/report/?year=2025&month=04&date=02
A,神戸,W,1,0,1.329,0.468,15,6,3,2,0,0,647,402,33,8,8,2,4,0,3,4,28,21,17,8,17,10,15,48,3,1,0,4,0,0,0,0,68,19,14,6,"120,895m","126,277m",127,121,119,112,12.6%,5.4%,59.9%,40.1%,https://www.football-lab.jp/niig/report/?year=2025&month=04&date=06
H,横浜FC,D,0,0,1.257,0.821,11,12,1,2,0,0,357,640,11,14,7,6,1,2,3,5,15,23,4,7,16,14,18,15,2,2,1,1,0,0,0,0,24,42,8,11,"114,610m","117,916m",101,81,116,121,9.5%,9.9%,38.6%,61.4%,https://www.football-lab.jp/niig/report/?year=2025&month=04&date=13
H,京都,L,1,2,0.781,2.186,9,13,2,3,0,1,343,333,18,9,8,19,4,0,8,3,29,16,8,9,22,19,20,24,0,1,0,4,2,0,0,0,39,27,19,12,"113,924m","115,263m",145,116,120,114,7.5%,11.4%,50.6%,49.4%,https://www.football-lab.jp/niig/report/?year=2025&month=04&date=19
A,柏,D,1,1,0.948,1.625,10,11,6,2,0,1,695,484,20,9,4,5,2,1,2,5,22,23,12,14,14,10,14,24,4,3,1,2,1,0,0,0,71,26,15,11,"122,738m","121,973m",156,115,112,122,8.9%,9.0%,59.2%,40.8%,https://www.football-lab.jp/niig/report/?year=2025&month=04&date=26
A,広島,W,1,0,1.13,0.767,14,8,2,2,0,0,556,549,20,5,9,11,1,0,5,2,21,16,8,8,20,30,10,27,1,3,1,1,0,1,0,0,55,21,16,7,"116,576m","125,280m",126,109,120,118,11.7%,6.8%,47.1%,52.9%,https://www.football-lab.jp/niig/report/?year=2025&month=04&date=29
H,FC東京,L,2,3,1.043,1.69,14,14,4,4,0,0,483,561,12,19,9,7,0,2,2,3,26,21,13,16,15,22,19,20,1,0,2,0,0,1,0,0,43,40,11,18,"125,997m","125,697m",155,168,112,97,12.5%,14.4%,46.5%,53.5%,https://www.football-lab.jp/niig/report/?year=2025&month=05&date=03
H,浦和,D,1,1,0.882,1.403,9,12,2,4,0,0,534,599,16,11,9,8,2,2,3,5,18,20,13,11,15,9,14,25,3,1,2,2,1,3,0,0,35,35,11,8,"119,624m","122,216m",148,123,101,102,8.9%,11.8%,46.7%,53.3%,https://www.football-lab.jp/niig/report/?year=2025&month=05&date=11
A,岡山,L,1,2,2.997,0.678,21,8,6,3,1,0,421,549,20,12,11,11,1,2,7,2,30,28,17,12,27,19,19,28,3,1,2,1,1,1,0,0,39,26,18,10,"121,944m","117,905m",141,116,127,120,16.5%,6.7%,43.6%,56.4%,https://www.football-lab.jp/niig/report/?year=2025&month=05&date=18
H,湘南,W,2,1,0.558,1.879,11,11,3,4,0,0,561,520,16,6,6,6,2,3,5,3,11,18,8,8,18,20,13,35,4,1,3,2,0,0,0,0,49,29,16,10,"118,150m","120,955m",159,142,101,103,10.9%,10.7%,49.9%,50.1%,https://www.football-lab.jp/niig/report/?year=2025&month=05&date=25
A,名古屋,L,0,3,2.301,0.276,20,6,4,2,0,0,337,476,15,13,16,10,0,3,8,3,21,26,10,10,21,11,21,26,0,3,3,0,1,1,0,0,23,31,8,6,"112,037m","109,498m",135,107,107,106,18.7%,5.7%,42.2%,57.8%,https://www.football-lab.jp/niig/report/?year=2025&month=05&date=31
