HOME/AWAY,Opponent,勝敗,okay_得点,okay_失点,okay_ゴール期待値,Opponent_ゴール期待値,okay_シュート,Opponent_シュート,okay_枠内シュート,Opponent_枠内シュート,okay_PKによるシュート,Opponent_PKによるシュート,okay_パス,Opponent_パス,okay_クロス,Opponent_クロス,okay_直接ＦＫ,Opponent_直接ＦＫ,okay_間接ＦＫ,Opponent_間接ＦＫ,okay_ＣＫ,Opponent_ＣＫ,okay_スローイン,Opponent_スローイン,okay_ドリブル,Opponent_ドリブル,okay_タックル,Opponent_タックル,okay_クリア,Opponent_クリア,okay_インターセプト,Opponent_インターセプト,okay_オフサイド,Opponent_オフサイド,okay_警告,Opponent_警告,okay_退場,Opponent_退場,okay_３０ｍライン進入,Opponent_３０ｍライン進入,okay_ペナルティエリア進入,Opponent_ペナルティエリア進入,okay_総移動距離,Opponent_総移動距離,okay_スプリント,Opponent_スプリント,okay_攻撃回数,Opponent_攻撃回数,okay_チャンス構築率,Opponent_チャンス構築率,okay_ボール保持率,Opponent_ボール保持率,URL
H,京都,W,2,0,0.97,1.292,9,18,3,5,0,0,277,526,12,14,6,11,2,4,4,11,17,26,9,7,11,12,43,7,6,1,4,2,1,2,0,0,26,37,8,10,"122,217m","121,177m",162,148,125,147,7.2%,12.2%,37.1%,62.9%,https://www.football-lab.jp/okay/report/?year=2025&month=02&date=15
A,横浜FC,L,0,1,0.88,1.403,9,9,1,4,0,0,389,345,15,14,9,12,1,2,7,4,30,26,4,10,28,20,20,22,1,2,2,1,1,0,0,0,30,30,3,7,"108,744m","105,326m",102,113,135,143,6.7%,6.3%,52.3%,47.7%,https://www.football-lab.jp/okay/report/?year=2025&month=02&date=22
H,Ｇ大阪,W,2,0,1.551,0.378,14,6,4,0,0,0,392,561,20,10,6,5,0,4,3,3,36,31,12,10,21,24,25,18,1,0,4,0,0,1,0,0,35,32,14,9,"120,172m","113,956m",149,112,129,122,10.9%,4.9%,41.9%,58.1%,https://www.football-lab.jp/okay/report/?year=2025&month=02&date=26
H,清水,D,1,1,1.744,1.851,15,14,6,4,0,1,328,550,16,14,5,14,2,1,7,8,19,28,6,14,21,23,41,29,0,0,1,2,1,1,0,0,25,43,10,9,"112,531m","108,537m",143,125,110,134,13.6%,10.4%,41.4%,58.6%,https://www.football-lab.jp/okay/report/?year=2025&month=03&date=02
A,浦和,L,0,1,0.414,0.858,7,10,2,1,0,0,360,600,19,15,8,7,3,3,3,5,19,29,10,12,31,16,25,29,0,1,3,3,0,2,0,0,28,47,9,22,"125,397m","122,797m",148,156,118,127,5.9%,7.9%,40.9%,59.1%,https://www.football-lab.jp/okay/report/?year=2025&month=03&date=08
H,川崎Ｆ,D,0,0,1.452,1.111,19,10,3,1,0,0,376,426,25,14,7,8,2,2,6,7,29,23,13,16,24,11,28,34,8,2,2,2,0,2,0,0,40,39,13,16,"118,316m","112,903m",146,120,134,134,14.2%,7.5%,47.6%,52.4%,https://www.football-lab.jp/okay/report/?year=2025&month=03&date=16
H,横浜FM,W,1,0,1.426,0.892,10,12,3,5,0,0,251,561,16,16,10,15,3,2,8,2,21,36,12,14,18,19,32,37,1,1,2,3,0,2,0,0,26,34,8,14,"117,026m","110,344m",157,121,108,118,9.3%,10.2%,35.6%,64.4%,https://www.football-lab.jp/okay/report/?year=2025&month=03&date=29
A,Ｃ大阪,L,1,2,1.306,1.146,18,13,6,5,0,0,433,393,19,7,12,12,0,1,6,5,29,25,12,11,24,14,22,34,0,0,1,0,1,0,0,0,37,22,11,9,"128,973m","126,505m",143,159,111,113,16.2%,11.5%,51.5%,48.5%,https://www.football-lab.jp/okay/report/?year=2025&month=04&date=02
H,FC東京,W,1,0,0.512,1.458,6,12,2,2,0,0,301,515,14,10,9,9,1,3,6,6,33,34,9,12,15,12,32,20,1,2,3,0,1,1,0,0,22,43,6,13,"114,610m","107,740m",122,130,123,116,4.9%,10.3%,39.4%,60.6%,https://www.football-lab.jp/okay/report/?year=2025&month=04&date=06
A,広島,W,1,0,1.138,1.319,9,13,2,3,0,0,294,532,9,22,11,11,2,1,5,9,20,33,11,12,14,17,42,15,1,1,1,2,0,1,0,0,28,36,6,10,"117,342m","109,440m",132,120,106,123,8.5%,10.6%,39.4%,60.6%,https://www.football-lab.jp/okay/report/?year=2025&month=04&date=12
H,鹿島,L,1,2,1.257,1.656,11,10,4,4,0,1,300,439,12,18,9,14,5,1,5,2,20,30,7,13,14,12,26,28,3,2,1,4,4,1,0,0,18,28,12,10,"112,107m","105,065m",102,96,101,118,10.9%,8.5%,42.9%,57.1%,https://www.football-lab.jp/okay/report/?year=2025&month=04&date=20
A,福岡,D,1,1,1.745,0.904,12,13,2,6,0,0,611,326,26,9,10,12,5,2,3,4,33,21,12,13,17,14,20,37,0,2,2,5,2,2,0,0,43,28,20,7,"125,742m","124,592m",119,106,139,124,8.6%,10.5%,59.1%,40.9%,https://www.football-lab.jp/okay/report/?year=2025&month=04&date=25
H,東京Ｖ,L,0,1,1.267,1.128,14,7,1,3,0,0,370,453,19,13,13,8,2,2,7,3,38,27,13,10,11,19,21,38,1,1,2,2,1,0,0,0,27,20,10,10,"116,954m","116,145m",117,126,127,111,11.0%,6.3%,44.2%,55.8%,https://www.football-lab.jp/okay/report/?year=2025&month=04&date=29
A,神戸,L,0,2,0.391,1.642,5,21,1,6,0,0,320,384,9,17,10,16,4,4,5,6,34,31,6,10,25,13,27,28,2,3,4,4,0,0,0,0,15,26,5,15,"113,713m","112,317m",155,126,146,147,3.4%,14.3%,48.7%,51.3%,https://www.football-lab.jp/okay/report/?year=2025&month=05&date=03
A,名古屋,D,0,0,0.49,1.449,7,11,1,2,0,0,311,497,20,16,8,16,8,2,5,4,19,20,10,7,10,17,31,35,2,3,2,8,2,0,0,0,34,24,9,8,"117,104m","116,529m",129,123,103,116,6.8%,9.5%,43.1%,56.9%,https://www.football-lab.jp/okay/report/?year=2025&month=05&date=06
A,柏,L,0,2,0.543,2.011,8,16,4,5,0,0,311,600,10,15,7,7,2,3,5,7,32,22,6,18,14,8,17,15,0,0,2,2,1,1,0,0,23,37,8,20,"115,110m","112,894m",124,148,105,99,7.6%,16.2%,36.1%,63.9%,https://www.football-lab.jp/okay/report/?year=2025&month=05&date=10
