HOME/AWAY,Opponent,勝敗,tk-v_得点,tk-v_失点,tk-v_ゴール期待値,Opponent_ゴール期待値,tk-v_シュート,Opponent_シュート,tk-v_枠内シュート,Opponent_枠内シュート,tk-v_PKによるシュート,Opponent_PKによるシュート,tk-v_パス,Opponent_パス,tk-v_クロス,Opponent_クロス,tk-v_直接ＦＫ,Opponent_直接ＦＫ,tk-v_間接ＦＫ,Opponent_間接ＦＫ,tk-v_ＣＫ,Opponent_ＣＫ,tk-v_スローイン,Opponent_スローイン,tk-v_ドリブル,Opponent_ドリブル,tk-v_タックル,Opponent_タックル,tk-v_クリア,Opponent_クリア,tk-v_インターセプト,Opponent_インターセプト,tk-v_オフサイド,Opponent_オフサイド,tk-v_警告,Opponent_警告,tk-v_退場,Opponent_退場,tk-v_３０ｍライン進入,Opponent_３０ｍライン進入,tk-v_ペナルティエリア進入,Opponent_ペナルティエリア進入,tk-v_総移動距離,Opponent_総移動距離,tk-v_スプリント,Opponent_スプリント,tk-v_攻撃回数,Opponent_攻撃回数,tk-v_チャンス構築率,Opponent_チャンス構築率,tk-v_ボール保持率,Opponent_ボール保持率,URL
H,清水,L,0,1,0.725,0.592,6,8,2,2,0,0,521,435,15,7,11,13,1,0,6,5,23,27,9,13,25,15,19,27,0,2,0,1,1,1,0,0,28,26,8,7,"118,025m","114,656m",116,80,113,116,5.3%,6.9%,53.8%,46.2%,https://www.football-lab.jp/tk-v/report/?year=2025&month=02&date=16
A,鹿島,L,0,4,0.497,2.037,5,15,2,9,0,1,480,463,10,12,10,11,1,0,2,6,24,37,12,9,32,21,22,14,2,1,0,1,2,0,0,0,30,26,5,12,"118,862m","120,502m",142,134,131,147,3.8%,10.2%,52.3%,47.7%,https://www.football-lab.jp/tk-v/report/?year=2025&month=02&date=22
A,町田,W,1,0,0.801,0.751,6,10,4,3,0,0,404,424,9,11,9,14,3,3,1,5,32,31,6,6,13,15,31,14,3,1,3,3,2,3,0,0,22,23,5,8,"122,170m","122,041m",149,110,126,141,4.8%,7.1%,50.6%,49.4%,https://www.football-lab.jp/tk-v/report/?year=2025&month=02&date=26
H,Ｇ大阪,L,0,1,0.822,1.967,12,20,4,4,0,0,417,424,14,15,7,8,0,0,6,14,30,15,7,6,17,23,27,28,0,1,0,0,2,1,0,0,33,35,13,12,"115,007m","111,056m",122,97,115,122,10.4%,16.4%,47.9%,52.1%,https://www.football-lab.jp/tk-v/report/?year=2025&month=03&date=02
A,新潟,D,2,2,0.77,0.742,9,8,3,4,0,0,423,681,9,9,19,14,1,0,1,3,13,26,7,4,21,12,24,8,2,1,0,1,1,3,0,0,22,38,8,9,"124,496m","122,581m",117,95,105,111,8.6%,7.2%,42.6%,57.4%,https://www.football-lab.jp/tk-v/report/?year=2025&month=03&date=08
H,名古屋,W,2,1,0.724,0.752,9,10,3,4,0,0,412,450,14,16,13,12,0,0,5,6,30,34,13,5,19,15,37,24,1,4,0,0,1,1,0,0,37,21,6,9,"118,918m","117,511m",149,122,123,135,7.3%,7.4%,51.5%,48.5%,https://www.football-lab.jp/tk-v/report/?year=2025&month=03&date=15
A,柏,D,0,0,0.592,0.633,11,8,4,1,0,0,374,601,16,6,14,11,2,1,7,6,36,24,16,12,26,14,18,33,2,4,1,2,1,1,0,0,41,29,8,5,"125,900m","121,020m",154,154,132,121,8.3%,6.6%,39.6%,60.4%,https://www.football-lab.jp/tk-v/report/?year=2025&month=03&date=29
H,FC東京,D,2,2,1.355,1.478,17,11,6,5,0,0,235,557,6,13,10,15,1,4,6,5,21,40,11,11,27,19,28,14,1,3,4,1,2,0,0,0,22,31,7,11,"116,532m","114,196m",163,150,109,132,15.6%,8.3%,34.6%,65.4%,https://www.football-lab.jp/tk-v/report/?year=2025&month=04&date=02
A,横浜FM,D,0,0,0.832,0.252,11,6,0,1,0,0,462,505,19,13,13,18,1,2,3,2,26,30,14,18,25,25,22,21,1,2,2,1,3,2,0,0,31,40,12,6,"122,330m","121,265m",119,110,130,128,8.5%,4.7%,48.9%,51.1%,https://www.football-lab.jp/tk-v/report/?year=2025&month=04&date=05
H,神戸,L,0,1,0.605,0.995,11,9,3,2,0,0,334,473,10,17,6,11,1,0,4,8,33,45,10,10,23,23,41,17,3,4,0,1,2,1,1,0,21,38,4,9,"114,793m","115,591m",114,103,127,143,8.7%,6.3%,47.4%,52.6%,https://www.football-lab.jp/tk-v/report/?year=2025&month=04&date=12
