HOME/AWAY,Opponent,勝敗,uraw_得点,uraw_失点,Opponent_ゴール期待値,uraw_ゴール期待値,Opponent_シュート,uraw_シュート,Opponent_枠内シュート,uraw_枠内シュート,Opponent_PKによるシュート,uraw_PKによるシュート,Opponent_パス,uraw_パス,Opponent_クロス,uraw_クロス,Opponent_直接ＦＫ,uraw_直接ＦＫ,Opponent_間接ＦＫ,uraw_間接ＦＫ,Opponent_ＣＫ,uraw_ＣＫ,Opponent_スローイン,uraw_スローイン,Opponent_ドリブル,uraw_ドリブル,Opponent_タックル,uraw_タックル,Opponent_クリア,uraw_クリア,Opponent_インターセプト,uraw_インターセプト,Opponent_オフサイド,uraw_オフサイド,Opponent_警告,uraw_警告,Opponent_退場,uraw_退場,Opponent_３０ｍライン進入,uraw_３０ｍライン進入,Opponent_ペナルティエリア進入,uraw_ペナルティエリア進入,Opponent_総移動距離,uraw_総移動距離,Opponent_スプリント,uraw_スプリント,Opponent_攻撃回数,uraw_攻撃回数,Opponent_チャンス構築率,uraw_チャンス構築率,Opponent_ボール保持率,uraw_ボール保持率,URL
A,神戸,D,0,0,1.981,1.13,8,18,2,4,0,0,300,343,15,25,15,9,2,2,3,9,21,25,8,21,16,16,39,23,2,1,2,1,0,2,0,0,15,27,4,7,"106,637m","107,215m",89,108,108,121,7.4%,14.9%,46.6%,53.4%,https://www.football-lab.jp/uraw/report/?year=2025&month=02&date=15
A,京都,D,1,1,1.255,0.78,13,10,7,5,0,0,402,399,19,16,9,14,6,2,6,3,24,19,7,14,29,14,24,23,1,1,2,6,0,0,0,0,30,28,13,9,"121,965m","115,336m",158,129,131,131,9.9%,7.6%,50.1%,49.9%,https://www.football-lab.jp/uraw/report/?year=2025&month=02&date=22
A,湘南,L,1,2,2.917,0.579,16,8,6,3,0,0,485,508,15,18,4,8,0,2,10,4,22,22,13,9,25,13,19,27,3,2,2,0,0,0,0,0,39,43,13,12,"122,262m","120,256m",152,167,111,104,14.4%,7.7%,50.6%,49.4%,https://www.football-lab.jp/uraw/report/?year=2025&month=02&date=26
H,柏,L,0,2,0.363,1.445,5,15,3,5,0,0,579,539,11,16,7,9,2,4,4,7,26,26,13,12,12,15,27,19,4,1,4,2,1,0,0,0,35,49,4,11,"125,282m","124,682m",137,149,119,115,4.2%,13.0%,53.6%,46.4%,https://www.football-lab.jp/uraw/report/?year=2025&month=03&date=02
H,岡山,W,1,0,0.414,0.858,7,10,2,1,0,0,360,600,19,15,8,7,3,3,3,5,19,29,10,12,31,16,25,29,0,1,3,3,0,2,0,0,28,47,9,22,"125,397m","122,797m",148,156,118,127,5.9%,7.9%,40.9%,59.1%,https://www.football-lab.jp/uraw/report/?year=2025&month=03&date=08
A,鹿島,D,1,1,0.852,1.549,10,14,3,7,0,0,510,358,20,17,11,7,0,2,9,4,26,27,14,9,21,11,29,32,1,3,2,0,2,0,0,0,35,37,11,12,"117,267m","117,461m",156,173,120,110,8.3%,12.7%,55.4%,44.6%,https://www.football-lab.jp/uraw/report/?year=2025&month=03&date=16
A,Ｃ大阪,D,1,1,0.987,1.28,11,16,3,3,0,0,500,547,18,27,10,3,1,4,8,6,15,27,13,16,21,23,31,22,0,4,4,1,1,1,0,0,32,51,14,12,"127,720m","124,071m",158,175,98,103,11.2%,15.5%,45.8%,54.2%,https://www.football-lab.jp/uraw/report/?year=2025&month=03&date=28
H,清水,W,2,1,1.213,0.39,18,7,5,2,0,0,578,456,28,7,12,8,2,0,14,1,25,24,16,7,19,18,12,44,2,4,0,2,1,1,0,0,53,20,16,7,"119,444m","121,998m",135,127,118,102,15.3%,6.9%,51.3%,48.7%,https://www.football-lab.jp/uraw/report/?year=2025&month=04&date=02
A,福岡,L,0,1,0.899,0.741,9,11,3,5,0,0,420,495,5,10,11,13,0,2,2,4,18,14,4,12,11,15,16,15,4,2,2,0,1,1,0,0,30,34,9,8,"116,656m","112,221m",124,117,100,96,9.0%,11.5%,47.9%,52.1%,https://www.football-lab.jp/uraw/report/?year=2025&month=04&date=06
A,町田,W,2,0,0.993,0.723,15,10,2,5,0,0,518,415,20,4,6,8,1,3,2,5,29,15,14,7,4,9,11,29,2,1,3,1,2,0,0,0,43,24,10,10,"118,265m","122,138m",130,174,104,101,14.4%,9.9%,53.4%,46.6%,https://www.football-lab.jp/uraw/report/?year=2025&month=04&date=13
